index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
42,traj_0042,-0.6049731414896031,-0.027654447406677912,-0.04500000178813934,0.0,0.005155863971752049,0,0.0051560916520339,0.0363454608677771,0.0051560916520339,1.50017466455166e-05,0.1657906309583278,0,True
43,traj_0043,0.7525682654434402,-0.13432847818469656,0.0,0.0,0.006802077168681917,0,0.0082403173786823,0.0068056296982393,0.0068056296982393,1.8397303555903287e-05,0.3766203628106296,0,True
44,traj_0044,-0.8633986572152286,-0.10906505259372734,-0.02500000037252903,0.0,0.005369370086611438,0,0.0053908766965153,0.038254847957638,0.0053908766965153,2.306943797885308e-05,0.1447004821372177,0,True
45,traj_0045,0.6607971800785093,-0.09161844320326915,0.0,0.019999999552965164,0.00629274113784828,0,0.0086126528101176,0.0062922744789721,0.0062922744789721,1.101244179011086e-05,0.4459495239819051,0,True
46,traj_0046,0.7904688847363486,-0.11448024303254091,0.0,0.006039513799924533,0.0054800781994099835,0,0.0083730645032494,0.0054790310043063,0.0054790310043063,2.2482348892081478e-05,0.3853624575138942,0,True
47,traj_0047,0.01970419224277775,-0.020134016410537053,0.0,0.0,0.008919970607614586,0,0.0089201735933533,0.0127610189687897,0.0089201735933533,8.201373789216244e-06,0.4549026049649449,0,True
48,traj_0048,-0.2724221661778947,-0.10931652415477944,-0.029999999329447743,0.0,0.005494057515836195,0,0.0054932097655116,0.0376384232859109,0.0054932097655116,1.7574583885222684e-05,0.3724519025121728,0,True
49,traj_0049,-0.46462888042865774,-0.029960588644146663,-0.05000000074505806,0.0,0.0058308607510027454,0,0.0058304885321954,0.0363070918208481,0.0058304885321954,1.614546964098097e-05,0.2411437905163096,0,True
50,traj_0050,0.3593662080083744,-0.03415337364966034,0.0,0.045000001788139336,0.005343247903721576,0,0.0089904672497196,0.0053451820448184,0.0053451820448184,1.6079880006765066e-05,0.4462946068829223,0,True
51,traj_0051,0.28543010665774404,-0.15926304349410642,0.0,0.0,0.00823071889278419,0,0.0082306697507491,0.0140656026730765,0.0082306697507491,2.0574649810528496e-05,0.4458186283509402,0,True
52,traj_0052,-0.6577103389013266,-0.1251880538582276,-0.02500000037252903,0.0,0.005467106435498811,0,0.0054669276960035,0.0382556124008565,0.0054669276960035,1.7408664639114605e-05,0.2217782536152038,0,True
53,traj_0053,-0.08409957338044916,-0.04391633111375219,0.0,0.0,0.00855088673998155,0,0.0085501713972964,0.0297026088556394,0.0085501713972964,9.372413289629873e-06,0.4458092915636962,0,True
54,traj_0054,-0.5441614916639237,-0.05544385864823445,-0.03999999910593033,0.0,0.005432828269300612,0,0.0054324311723466,0.0364243518676498,0.0054324311723466,1.0956108284649288e-05,0.2100802261884714,0,True
55,traj_0055,0.128303420986565,-0.05554438594167049,0.0,0.008512413500304116,0.005419881213720173,0,0.0089434971375675,0.0054200465557055,0.0054200465557055,1.532533987338324e-05,0.4463260093853804,0,True
56,traj_0056,-0.1247387969812489,-0.03074380848478578,0.0,0.0,0.006579296053407964,0,0.0067619882687695,0.0335482262308978,0.0067619882687695,8.567810848792675e-06,0.4336412309908894,0,True
57,traj_0057,-0.26203637672045876,-0.05655222705925449,-0.04500000178813934,0.0,0.005907629667199328,0,0.0059100245567929,0.0369340104049053,0.0059100245567929,4.058067856953184e-06,0.3637367002304938,0,True
58,traj_0058,-0.1280297398586625,-0.08965504997565273,0.0,0.0,0.008117492280963623,0,0.0082290425136347,0.037964736861033,0.0082290425136347,1.56465489968038e-05,0.4461348118826822,0,True
59,traj_0059,0.8154904933245053,-0.02059271075129454,0.0,0.04500000178813934,0.0062035681410182505,1,0.0090045051433664,0.0062029567172047,0.0062029567172047,1.3884443876226308e-05,0.4461360167235888,0,True
60,traj_0060,0.183911070074686,-0.13691394537563426,0.0,0.0,0.008400824332200157,0,0.0084007611789044,0.0113994550045542,0.0084007611789044,1.861132698919101e-05,0.4459820113095356,0,True
61,traj_0061,0.27471124003853387,-0.03136741348980823,0.0,0.05000000074505806,0.006038592373240259,0,0.0089848412174456,0.0060382352289501,0.0060382352289501,1.2595184587857847e-05,0.4463069523003964,0,True
62,traj_0062,0.4407860849716354,-0.04418796806654589,0.0,0.03999999910593033,0.005646271226732426,0,0.0090097362241359,0.0056452924437845,0.0056452924437845,1.3172515166107892e-05,0.4462794540182157,0,True
63,traj_0063,0.3942052242155636,-0.000982681731366536,0.0,0.0638477329113915,0.005875397624941877,0,0.0089373837950769,0.0058743552040958,0.0058743552040958,1.589045471546992e-05,0.4462854663779862,0,True
64,traj_0064,0.7132905970708117,-0.00648305631778151,0.0,0.050000000745058074,0.005728991431713397,0,0.0089682623772756,0.0057286665801789,0.0057286665801789,7.584160008518252e-06,0.4461963291072781,0,True
65,traj_0065,-0.35554337226949706,-0.03304361728149227,-0.05000000074505806,0.0,0.0055194837008422275,0,0.0055191372388439,0.0364575061316724,0.0055191372388439,1.5730844834171012e-05,0.3036327954165962,0,True
66,traj_0066,0.6197040216812765,-0.045987631096537654,0.0,0.03500000014901161,0.005362509613249102,0,0.0089492799537843,0.0053612634827767,0.0053612634827767,1.7585373688111415e-05,0.4461672978651982,0,True
67,traj_0067,0.44263187604780097,-0.04616932329482128,0.0,0.03999999910593033,0.005932946660747419,0,0.0089964874859973,0.0059319284539613,0.0059319284539613,1.5829910642704663e-05,0.4462725357328156,0,True
68,traj_0068,-0.4803437313064906,-0.14392192913045326,-0.02500000037252903,0.0,0.005727512099587785,0,0.0057268638240905,0.0382455046654027,0.0057268638240905,2.5417238127462455e-05,0.3003393977810531,0,True
