t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,axis0_raw,axis1_raw,theta_cmd,s_cmd,task_scale,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.1,17.477,0,-0.08,0,0,5,0,0,0,-0.08,1,0.00168013127,-0.07997785254,0.09447315721,-0.005823858779,0.01534861369,0.00532235429,0.0007378865419,0.0006439744471,0.2610668838,0.1868390441,0.2610668838,0.1868390441,0,0.01926461695,0.008124939952,0.008441886026,0.4481707572,0.104048,0.001701653996,0.0008181966386,0.0001200668967,0.001785942613,0.002051826622,ok,4,1,1.406828144,1.600946208,-1.42038764,1.569257951,0.08496158455,0.01769559558,0.1303409442,-1.363753163,1.607178354,1.276230029,1.486433449,-0.008467536619,0.06546480638,-0.566548547,1.406121236,1.5964645,-1.417514704,1.569585204,0.0816980229,0.01749121764,0.1342633831,-1.364556356,1.609299703,1.278716154,1.486247301,-0.010790973,0.0654629703,-0.5637186473
0.11,17.487,0,-0.08,0,0,5,0,0,0,-0.08,1,0.004091254324,-0.0800741345,-0.5904285788,0.01342556184,0.01802143977,0.007165769804,0.001421238308,0.001271462528,0.06173134968,-0.1311072856,0.06173134968,-0.1311072856,0,0.01894741002,0.005199160519,0.00844322616,0.2844907082,0.142093,0.002009299231,0.0003483758362,0.0006434272585,0.003239110962,0.003671042064,ok,4,1,1.406763097,1.598473799,-1.418305544,1.569027481,0.08243947219,0.01742258056,0.1335097791,-1.364159636,1.607574301,1.278637058,1.486677662,-0.01024270352,0.06560544136,-0.5645215875,1.406163058,1.596738312,-1.417832075,1.569585204,0.08196980381,0.01751766224,0.1339462654,-1.363864003,1.607020179,1.275792151,1.486247301,-0.008347555186,0.06543940371,-0.5664619204
0.12,17.497,0,-0.08,0,0,6,0,0,0,-0.08,1,-0.002943050573,-0.07986760774,-0.1320086422,-0.01609847042,0.0189190704,0.005832420025,0.001301365153,0.001067996862,-0.1364710033,-0.0528966561,-0.1364710033,-0.0528966561,0,0.01687200535,0.005038970184,0.00845199432,0.2537215109,0.094607,0.001231472387,0.0008232180781,0.0008415309965,0.003342554202,0.003382350739,ok,4,1,1.40600398,1.595992579,-1.419063547,1.570162646,0.08202919122,0.01770403563,0.134172469,-1.363938602,1.60824991,1.275272193,1.485911331,-0.008800809561,0.06530526328,-0.5654586572,1.406436689,1.598529794,-1.41990855,1.569585204,0.08374799752,0.01769068253,0.1318714447,-1.363826096,1.606895372,1.275632058,1.486247301,-0.008213774794,0.0654381134,-0.5666121183
0.13,17.507,0,-0.08,0,0,6,0,0,0,-0.08,1,-0.003044105798,-0.08003279039,0.3364842309,-0.009235802691,0.01763568828,0.005468663321,0.001085985726,0.0008936485938,0.06313493848,-0.1736533344,0.06313493848,-0.1736533344,0,0.01858271236,0.002863863306,0.008444766933,0.2676470503,0.0624,0.001864482995,0.0007701175053,8.631139183e-05,0.002492973393,0.002274434791,ok,4,1,1.405898627,1.596665311,-1.420168974,1.569834156,0.08324370663,0.01768970059,0.1323945281,-1.364315653,1.607752574,1.276134742,1.485935195,-0.008180551868,0.06537224087,-0.5667760133,1.406211141,1.597053118,-1.41819696,1.569585204,0.08228227448,0.01754806599,0.1335816703,-1.363311381,1.60520071,1.273458272,1.486247301,-0.006397269133,0.06542059333,-0.5686515448
0.14,17.517,0,-0.08,0,0,7,0,0,0,-0.08,1,-0.0003458331951,-0.07997776117,0.2855124089,-0.008588481512,0.01831379315,0.003462503002,0.0004543387375,0.0001401483892,0.3454474807,0.1774281114,0.3454474807,0.1774281114,0,0.02349550536,0.006123924674,0.008424788079,0.5591118804,0.058602,0.0007570982464,0.0006917348654,9.450358523e-05,0.00140050987,0.0004842809001,ok,4,1,1.406167479,1.597810216,-1.417552105,1.569493747,0.08262982041,0.01753882115,0.1329021896,-1.363467553,1.605637219,1.273948689,1.48633571,-0.006957339522,0.06545926676,-0.5680442188,1.405547412,1.592815806,-1.413280906,1.569585204,0.0780724332,0.01715461933,0.1384933084,-1.364082838,1.607740679,1.276716353,1.486247301,-0.009119857153,0.0654468525,-0.5655948418
0.15,17.527,0,-0.08,0,0,7,0,0,0,-0.08,1,0.005056249814,-0.08009766288,-0.559876353,0.01882820704,0.02182333343,0.005168547529,0.001886388729,0.001552194457,0.1312887967,-0.1781324893,0.1312887967,-0.1781324893,0,0.02379266538,0.002496560189,0.008423608986,0.3562901675,0.072132,0.003125288754,0.001064914438,0.0006823596521,0.004385986121,0.004556303813,ok,4,1,1.406280267,1.595941094,-1.413541141,1.568748855,0.07919857763,0.01701326606,0.1370890003,-1.363738094,1.60603759,1.27665398,1.486712864,-0.008672655223,0.06557523512,-0.5664345433,1.40550666,1.592559632,-1.412983521,1.569585204,0.07781777026,0.01713143037,0.1387904072,-1.363223693,1.604914818,1.273091079,1.486247301,-0.006090559924,0.06541842741,-0.5689958919
0.16,17.537,0,-0.08,0,0,8,0,0,0,-0.08,1,-0.002667605182,-0.07987142135,-0.1829727441,-0.02168829312,0.02339551735,0.00330210283,0.001315721191,0.001028110836,-0.06045793742,-0.3290375173,-0.06045793742,-0.3290375173,0,0.02248864829,-0.00163345993,0.008428783161,0.5091333786,0.101282,0.001726489191,0.0008357030101,0.0008986944216,0.003815702658,0.003261827641,ok,4,1,1.405529746,1.592521242,-1.414710011,1.570220522,0.07806312332,0.01735986931,0.1390336493,-1.363326991,1.60633192,1.272661984,1.485876535,-0.006709196274,0.06525918883,-0.5677756693,1.405685491,1.593683791,-1.414288525,1.569585204,0.07893529887,0.01723318969,0.1374866589,-1.362223844,1.601705249,1.268960254,1.486247301,-0.002642548358,0.06540833928,-0.572867003
0.17,17.547,0,-0.08,0,0,8,0,0,0,-0.08,1,-0.00508558771,-0.07995670191,0.6007735012,-0.03696181541,0.02310058917,-3.679546643e-05,0.001854178703,0.001501218829,-0.3323963881,-0.1774828881,-0.3323963881,-0.1774828881,0,0.01811464335,-0.002699038788,0.008446744429,0.5776433297,0.075194,0.002616751196,0.0009637422201,0.0006300600234,0.004476922856,0.004008781355,ok,4,1,1.40501471,1.59168072,-1.415026488,1.570265296,0.07865931311,0.01738701964,0.1378115281,-1.362881967,1.604322,1.269770651,1.485634026,-0.003464607364,0.06519279682,-0.5718022122,1.406272853,1.597457153,-1.418665271,1.569585204,0.08268331307,0.01758708751,0.133113733,-1.361965875,1.600877153,1.267894467,1.486247301,-0.001752933265,0.06540573646,-0.5738657813
0.18,17.557,0,-0.08,0,0,9,0,0,0,-0.08,1,-0.002037795647,-0.08014800229,0.7866800586,-0.005752226203,0.0195110114,-0.001979944377,0.0007338153098,0.0009325502922,0.04050065205,0.2301866859,0.04050065205,0.2301866859,0,0.02011852118,0.001472855912,0.008438278455,0.3885132681,0.0682,0.002362960814,0.0007851746951,0.0007773972036,0.001703067652,0.002298316841,ok,4,1,1.405655952,1.595094193,-1.418293613,1.569564084,0.08156354293,0.01741952299,0.1343293224,-1.362767789,1.601036844,1.269467292,1.486078711,-0.00201919045,0.06548945282,-0.5738405533,1.406008653,1.595727413,-1.416660359,1.569585204,0.08096640311,0.0174200302,0.135117047,-1.362975861,1.604119265,1.272067175,1.486247301,-0.005235904478,0.06541592688,-0.5699554206
0.19,17.567,0,-0.08,0,0,9,0,0,0,-0.08,1,0.007023763274,-0.08022777987,-0.1870426007,0.03582508407,0.0196764254,0.0001342483817,0.002869785028,0.002249450531,0.3545868397,0.3454174995,0.3545868397,0.3454174995,0,0.02499522799,0.005315510875,0.00841883737,0.6156128593,0.047175,0.003164563963,0.001199542961,0.001509360307,0.007545467294,0.00648781451,ok,4,1,1.406558141,1.597225629,-1.415242597,1.568366555,0.08120137509,0.01707483448,0.1342885238,-1.362597251,1.600954701,1.272673015,1.487168629,-0.004585430371,0.0658349463,-0.571239882,1.405341742,1.591522934,-1.411780049,1.569585204,0.07678718703,0.01703758808,0.1399927218,-1.363891536,1.60711083,1.275908431,1.486247301,-0.008444723321,0.06544034089,-0.5663528278
