t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
5.200000000000000178e-01,-3.627556076167693377e-01,-5.797019635791123005e-02,1.415269911755414833e+00,1.648019777555534526e+00,-1.544561395622681133e+00,1.787920023369861555e+00,4.734406494764654139e-01,-1.420678606136011046e-01,-2.075610104221817520e-01,-1.366935036811048665e+00,1.548446912725676139e+00,1.041713293481410840e+00,1.476238158957231539e+00,3.359998135027750799e-01,2.900488587317953670e-01,-8.680378996913530321e-01
5.400000000000000355e-01,-2.939465315856352179e-01,-5.160025453460986844e-02,1.449134955526155677e+00,1.641516364670205563e+00,-1.527210042406714541e+00,1.792321545320217924e+00,4.039506439483386835e-01,-1.332579545876844962e-01,-1.470793439540495628e-01,-1.399729546148839709e+00,1.549050366190752870e+00,1.079017472462915350e+00,1.522096458254161844e+00,2.690341024063925279e-01,2.272188379205598296e-01,-8.281326370234675105e-01
5.600000000000000533e-01,-2.289894263823885612e-01,-4.563666497992373283e-02,1.480536356047587265e+00,1.649336143134641386e+00,-1.521812101259828909e+00,1.794719901103670301e+00,3.516241353697193706e-01,-1.146969633308868725e-01,-1.047627394387972422e-01,-1.428147425902553502e+00,1.549194334537980167e+00,1.111000922933293333e+00,1.564881677395234094e+00,2.074117804337752002e-01,1.712582280773267962e-01,-7.888669049089310770e-01
5.799999999999999600e-01,-1.690845013563712085e-01,-4.011671223945882658e-02,1.508284739151031895e+00,1.649332082002821664e+00,-1.508068753159660380e+00,1.795753673005041851e+00,2.976501712251033438e-01,-9.753267795292755449e-02,-5.834971343347042372e-02,-1.452534046053824524e+00,1.549050258721963669e+00,1.138128974277117900e+00,1.604167397476512491e+00,1.514109587534535895e-01,1.222994517802973025e-01,-7.511770389969500972e-01
5.999999999999999778e-01,-1.153487876836795101e-01,-3.507242647589052520e-02,1.532567931466244815e+00,1.649336143134641164e+00,-1.494190002540144002e+00,1.796072826634560693e+00,2.501165504213395119e-01,-7.953261008649277486e-02,-1.720520752804579473e-02,-1.473245790888116025e+00,1.548746444117122589e+00,1.160747694174975919e+00,1.639560509624066187e+00,1.014921471756307370e-01,8.039561453252547230e-02,-7.160896957079976310e-01
6.199999999999999956e-01,-6.879534939281811701e-02,-3.053026417088874206e-02,1.553394611256536884e+00,1.649328996041569351e+00,-1.480956170355487211e+00,1.796301121687799984e+00,2.097402441428124209e-01,-6.207665928616917100e-02,1.793931557687929862e-02,-1.491024197646924954e+00,1.549284453642163495e+00,1.180175506655780415e+00,1.670714775657501372e+00,5.740322800326112113e-02,4.544714738459278841e-02,-6.835388439034533192e-01
6.400000000000000133e-01,-3.031427299582178936e-02,-2.651085848284550489e-02,1.570876043431616242e+00,1.649333250052506417e+00,-1.469150478579876573e+00,1.797006626625471393e+00,1.770595316727081314e-01,-4.646709428029323352e-02,4.654335320217190680e-02,-1.505112049277746777e+00,1.548011304126264642e+00,1.193517965767122213e+00,1.697340548054746545e+00,2.222010179725356777e-02,1.754081450814125656e-02,-6.579329844500868552e-01
6.600000000000000311e-01,-6.557932642807240420e-04,-2.302884211227652911e-02,1.585175813340731210e+00,1.649336143134641386e+00,-1.459437933315776093e+00,1.798681145709713158e+00,1.524150190092809498e-01,-3.386313708379561083e-02,6.828505599460707454e-02,-1.516973886479859868e+00,1.547695010052651643e+00,1.204094418544042311e+00,1.719210673800856792e+00,-5.937438681156770488e-03,-3.672719217632655023e-03,-6.368363165506375489e-01
6.800000000000000488e-01,1.958412623130600938e-02,-2.009274460854259398e-02,1.596468649123645944e+00,1.649336143134641386e+00,-1.452369383015057913e+00,1.801727640389624518e+00,1.360318527500547214e-01,-2.520596131653352404e-02,8.295135829951746920e-02,-1.526531384037171257e+00,1.547459753737616461e+00,1.211017617488443721e+00,1.736163271300178224e+00,-2.574598296496708252e-02,-1.829185818283927956e-02,-6.221659496176651372e-01
7.000000000000000666e-01,2.997548416637513258e-02,-1.770496511020566016e-02,1.604838966399406264e+00,1.648844196429421594e+00,-1.447882903275008459e+00,1.806453576923166215e+00,1.276616873647358485e-01,-2.125218481087556843e-02,9.096198455188335419e-02,-1.534075710352927002e+00,1.547497227243023410e+00,1.214579868001031127e+00,1.748102563756802841e+00,-3.699253449675234118e-02,-2.644514773948532238e-02,-6.143017143030254923e-01
7.199999999999999734e-01,3.026298060677873325e-02,-1.586182055888775422e-02,1.610552771961021534e+00,1.649336143134641386e+00,-1.447579957934191919e+00,1.813067685389845307e+00,1.285259703700442069e-01,-2.218700696592919991e-02,9.052296957942752853e-02,-1.539659229238150129e+00,1.547582478485706847e+00,1.214587117138825612e+00,1.754999160688521576e+00,-3.926858030280415413e-02,-2.822199987355866399e-02,-6.138837883534576934e-01
