t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
1.150000000000000050e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504296e+00,8.031240630042678630e-01,-1.085923637559074451e-01,-3.854331204106306585e-01,-8.741376355832306544e-01,1.649336143134640720e+00,6.214385351128364210e-01,7.611487470186935056e-01,1.267500584790713258e+00,9.314870750823190937e-01,-7.566843145286689110e-01
1.199999999999999956e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124872225e-01,1.553452483744550694e+00,-1.444207090212132227e+00,1.420585103067503852e+00,8.031240630042673079e-01,-1.085923637559078614e-01,-3.854331204106299924e-01,-8.741376355832316536e-01,1.649336143134641386e+00,6.214385351128383084e-01,7.611487470186933946e-01,1.267500584790711482e+00,9.314870750823185386e-01,-7.566843145286684669e-01
1.250000000000000000e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124873335e-01,1.553452483744550916e+00,-1.444207090212132227e+00,1.420585103067503852e+00,8.031240630042671969e-01,-1.085923637559075283e-01,-3.854331204106296038e-01,-8.741376355832313205e-01,1.649336143134641386e+00,6.214385351128381973e-01,7.611487470186930615e-01,1.267500584790712592e+00,9.314870750823186496e-01,-7.566843145286674677e-01
1.300000000000000044e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124870004e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067503407e+00,8.031240630042677520e-01,-1.085923637559073618e-01,-3.854331204106301589e-01,-8.741376355832304323e-01,1.649336143134641386e+00,6.214385351128390855e-01,7.611487470186897308e-01,1.267500584790714147e+00,9.314870750823185386e-01,-7.566843145286648031e-01
1.350000000000000089e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124871115e-01,1.553452483744551360e+00,-1.444207090212132671e+00,1.420585103067503407e+00,8.031240630042677520e-01,-1.085923637559074867e-01,-3.854331204106302144e-01,-8.741376355832304323e-01,1.649336143134641386e+00,6.214385351128384194e-01,7.611487470186899529e-01,1.267500584790714147e+00,9.314870750823188716e-01,-7.566843145286654693e-01
1.400000000000000133e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124876666e-01,1.553452483744550916e+00,-1.444207090212132671e+00,1.420585103067504296e+00,8.031240630042675299e-01,-1.085923637559077087e-01,-3.854331204106302700e-01,-8.741376355832307654e-01,1.649336143134641386e+00,6.214385351128377533e-01,7.611487470186917292e-01,1.267500584790713480e+00,9.314870750823190937e-01,-7.566843145286669126e-01
1.449999999999999900e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551138e+00,-1.444207090212132671e+00,1.420585103067504296e+00,8.031240630042677520e-01,-1.085923637559076532e-01,-3.854331204106306030e-01,-8.741376355832310985e-01,1.649336143134641386e+00,6.214385351128377533e-01,7.611487470186932836e-01,1.267500584790712148e+00,9.314870750823185386e-01,-7.566843145286682448e-01
1.499999999999999944e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124866674e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067502519e+00,8.031240630042677520e-01,-1.085923637559070287e-01,-3.854331204106299369e-01,-8.741376355832307654e-01,1.649336143134641386e+00,6.214385351128373092e-01,7.611487470186923954e-01,1.267500584790713036e+00,9.314870750823187606e-01,-7.566843145286675787e-01
1.549999999999999989e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124872225e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067503852e+00,8.031240630042678630e-01,-1.085923637559075700e-01,-3.854331204106306030e-01,-8.741376355832315426e-01,1.649336143134640942e+00,6.214385351128377533e-01,7.611487470186940607e-01,1.267500584790711926e+00,9.314870750823183165e-01,-7.566843145286686889e-01
1.600000000000000033e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124864453e-01,1.553452483744551360e+00,-1.444207090212132449e+00,1.420585103067502297e+00,8.031240630042674189e-01,-1.085923637559069871e-01,-3.854331204106295483e-01,-8.741376355832307654e-01,1.649336143134641386e+00,6.214385351128371981e-01,7.611487470186927284e-01,1.267500584790713258e+00,9.314870750823188716e-01,-7.566843145286679118e-01
1.650000000000000078e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124873335e-01,1.553452483744551582e+00,-1.444207090212132449e+00,1.420585103067503852e+00,8.031240630042679740e-01,-1.085923637559075144e-01,-3.854331204106303810e-01,-8.741376355832308764e-01,1.649336143134641386e+00,6.214385351128374202e-01,7.611487470186927284e-01,1.267500584790712592e+00,9.314870750823189827e-01,-7.566843145286681338e-01
1.700000000000000122e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124872225e-01,1.553452483744551138e+00,-1.444207090212132671e+00,1.420585103067503407e+00,8.031240630042677520e-01,-1.085923637559072230e-01,-3.854331204106299924e-01,-8.741376355832308764e-01,1.649336143134641386e+00,6.214385351128386414e-01,7.611487470186913962e-01,1.267500584790713480e+00,9.314870750823184276e-01,-7.566843145286663574e-01
1.750000000000000167e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124873335e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504296e+00,8.031240630042678630e-01,-1.085923637559074589e-01,-3.854331204106306585e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128383084e-01,7.611487470186928395e-01,1.267500584790712370e+00,9.314870750823188716e-01,-7.566843145286675787e-01
1.799999999999999933e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504074e+00,8.031240630042678630e-01,-1.085923637559074173e-01,-3.854331204106304920e-01,-8.741376355832310985e-01,1.649336143134641386e+00,6.214385351128378643e-01,7.611487470186923954e-01,1.267500584790712592e+00,9.314870750823188716e-01,-7.566843145286672456e-01
1.849999999999999978e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504074e+00,8.031240630042678630e-01,-1.085923637559074173e-01,-3.854331204106304920e-01,-8.741376355832308764e-01,1.649336143134641386e+00,6.214385351128389745e-01,7.611487470186915072e-01,1.267500584790712592e+00,9.314870750823185386e-01,-7.566843145286669126e-01
