index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
21,traj_0021,0.5987604376841263,-0.12750785335168244,0.0,0.0,0.005955621546527848,0,0.008376052941928,0.0059542547551045,0.0059542547551045,1.941313462019669e-05,0.4458172541958027,0,True
22,traj_0022,0.6617132939917254,-0.13466735546121958,0.0,0.0,0.0069477811886174325,0,0.0082907375556771,0.0069585444809727,0.0069585444809727,1.0442657551416904e-05,0.4457427756815468,0,True
23,traj_0023,-0.43436350284505865,-0.0673632026721318,-0.03999999910593032,0.0,0.005773689744580295,0,0.0057732338181399,0.0366332455315037,0.0057732338181399,8.703888872306342e-06,0.2714882911053995,0,True
24,traj_0024,-0.12289908324377818,-0.09405523227943297,0.0,0.0,0.008203016980220195,0,0.008212480374402,0.0380351790928618,0.008212480374402,6.9874092361100154e-06,0.4461163374256187,0,True
25,traj_0025,0.04325458414367689,-0.03400853590418006,0.0,0.0,0.008909763496814316,0,0.0089092699702345,0.0115373271149231,0.0089092699702345,1.2154692044270011e-05,0.4657474171489138,0,True
26,traj_0026,-0.36063778270088964,-0.0683957515707718,-0.03999999910593033,0.0,0.005629255593805573,0,0.0056298839081258,0.0368554214613596,0.0056298839081258,1.5442131259318195e-05,0.3110779866158488,0,True
27,traj_0027,0.8655008925079102,-0.03468132396656126,0.0,0.039999999105930335,0.0064898664392139035,1,0.0089050532291184,0.0064888685246893,0.0064888685246893,1.7640347286833674e-05,0.4300552485215036,0,True
28,traj_0028,-0.11909868684483138,-0.033576626126690684,0.0,0.0,0.00732070823637178,0,0.0077457351423725,0.033114970200083,0.0077457351423725,9.191279863289414e-06,0.4357393290151039,0,True
29,traj_0029,-0.1612962247121421,-3.500587520693932e-05,-0.022415889165757878,0.0,0.005719224204845478,0,0.0057427446604863,0.0350825366070151,0.0057427446604863,9.259204265517545e-06,0.4146555441958492,0,True
30,traj_0030,-0.4931104712127019,-0.09807199635029609,-0.03287991003929481,0.0,0.005851434049062059,0,0.0058677140879366,0.0369859532267088,0.0058677140879366,1.432040176547436e-05,0.2594439428959763,0,True
31,traj_0031,-0.3317239258748085,-0.014476991144607626,-0.05499999970197677,0.0,0.005237326630413498,0,0.0052368531987248,0.0363216551397811,0.0052368531987248,2.9466223253133347e-06,0.3140997576660172,0,True
32,traj_0032,0.5230404939607813,-0.13168090878366304,0.0,0.0,0.006888595579435814,0,0.0083746802526607,0.0068970649778267,0.0068970649778267,6.7596777131773964e-06,0.4458395160134069,0,True
33,traj_0033,0.31088172576129125,-0.1562036304007961,0.0,0.0,0.008248977080897332,0,0.0082489259899233,0.0130538971510249,0.0082489259899233,1.4974927426068555e-05,0.445822770201063,0,True
34,traj_0034,-0.32610819570655336,-0.051841365636178804,-0.04500000178813934,0.0,0.005598303215071967,0,0.0055985008123325,0.0367742813093903,0.0055985008123325,1.486951467328999e-05,0.325310725864742,0,True
35,traj_0035,0.8048381996671392,-0.015162628922891608,0.0,0.04500000178813934,0.00545124780100275,1,0.0089939350895732,0.0054506980806644,0.0054506980806644,7.636653373340521e-06,0.4461595551526014,0,True
36,traj_0036,-0.8041348602487829,-0.0540026582642425,-0.03999999910593033,0.0,0.006031806925109722,0,0.0060314199140043,0.0370391103701144,0.0060314199140043,7.411619678365774e-06,0.0908197493113731,0,True
37,traj_0037,-0.590139615478839,-0.11797538966049831,-0.029999999329447746,0.0,0.006247125602364989,0,0.0062661721527902,0.0379957650381126,0.0062661721527902,1.370439073433454e-05,0.23599979540386,0,True
38,traj_0038,-0.14514569008488998,-0.05490308008034983,-0.0031623188517496976,0.0,0.006278485868430712,0,0.0064479400698009,0.0371764846153738,0.0064479400698009,1.5398076713052615e-05,0.435073689483979,0,True
39,traj_0039,0.552103194553599,-0.12532377658319818,0.0,0.0,0.005741531704931375,0,0.008411344657957,0.0057400603134797,0.0057400603134797,2.082898326018038e-05,0.4458549148780035,0,True
40,traj_0040,0.8124453970355614,-0.10495045396278394,0.0,0.010044623673038445,0.005341087418896888,0,0.0084318811924946,0.0053403072448654,0.0053403072448654,2.3025427161489568e-05,0.382999451498009,0,True
41,traj_0041,0.6037331315852206,-0.005087680227843616,0.0,0.054999999701976776,0.005826563912249673,0,0.0089555094384519,0.0058258556954186,0.0058258556954186,1.6302270928568873e-05,0.4462350228118303,0,True
42,traj_0042,0.0860607485952104,-0.11353487683110222,0.0,0.0,0.00855368194162194,0,0.0085535405259794,0.0177940507372287,0.0085535405259794,6.941327603404897e-06,0.4464826280858398,0,True
43,traj_0043,0.22409993316686516,-0.11102532223159445,0.0,0.0,0.005508864693911893,0,0.0085774698779435,0.0055072892284823,0.0055072892284823,1.2204256502102068e-05,0.4460913785963482,0,True
44,traj_0044,-0.2932741771177204,-0.07532360133298895,-0.03999999910593033,0.0,0.006125422613985798,0,0.0061404311551634,0.0371544118323232,0.0061404311551634,1.1965048164015953e-05,0.3504672937191882,0,True
45,traj_0045,0.8375718623025508,-0.1001376181362639,0.0,0.014724763398348094,0.006127537622501379,0,0.0084518367589091,0.0061272765608516,0.0061272765608516,2.4469900445810937e-06,0.3674201396262712,0,True
46,traj_0046,-0.40053429942130025,-0.06420847586434077,-0.03999999910593033,0.0,0.005390315501456569,0,0.0053899580830597,0.0367106053031703,0.0053899580830597,5.97395971198608e-06,0.2880241864616256,0,True
47,traj_0047,-0.012744779044914667,-0.11344650784282559,0.0,0.0,0.008310914052957774,0,0.00831030274715,0.0296708285390244,0.00831030274715,1.1380333837234054e-05,0.4735190838647052,0,True
