# L_phi_L=0.19,L_phi_R=0.195
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.08249248394,-0.05364379242,-0.2562157694,0.01229840283,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.499627805,1.644749402,-1.439219854,1.648073338,0.06456600075,0.03702026404,0.1337390709,-1.431896648,1.560829246,1.249059165,1.623307551,-0.0587573147,-0.01659739225,-0.56223327,0.009868187195,-0.06535629189,-0.01093044084,0.1496958724,0.1724130545,-0.1619090565,-0.09921496804,-0.06680999269,0.1020747336,0.03044004481,-0.02445176991,0.1118059223,0.1285867629,-0.06221662384,0.008924335183,0.00971062493,0.008924335183,0.0007958760762,0.01537310343,0.1105717781,0.1079650362,0.004586741162
0.01,0.07993023774,-0.05352080266,-0.2562422711,0.01230012047,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.499726487,1.644095839,-1.439329159,1.649570297,0.06629013129,0.03540117348,0.1327469212,-1.432564748,1.561849993,1.249363565,1.623063033,-0.05763925547,-0.01531152463,-0.5628554362,0.009838462615,-0.06540736482,-0.01094438885,0.1497309236,0.1723991924,-0.1619743966,-0.09924477018,-0.06686176893,0.1021310138,0.03039955749,-0.02445161021,0.1118050184,0.128650599,-0.06224768287,0.008919798133,0.01003805397,0.008919798133,0.002997963484,0.0168411617,0.1091037201,0.1069753935,0.005240304081
0.02,0.07736746451,-0.05339777874,-0.2563209741,0.01230522139,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.499824872,1.643441765,-1.439438603,1.651067606,0.06801412322,0.03378142951,0.1317544735,-1.433233366,1.562871303,1.249667561,1.622818517,-0.05652120529,-0.01402501864,-0.5634779131,0.009813320237,-0.06547172635,-0.0109602035,0.1497996202,0.1724202708,-0.1620732686,-0.09929448846,-0.06692954356,0.1022075338,0.03036473608,-0.02445281002,0.1118261412,0.1287392814,-0.06229163558,0.008915280816,0.01036574428,0.008915280816,0.005200503836,0.01830952194,0.1076353601,0.1059133101,0.005894377729
0.03,0.07480364824,-0.05327468721,-0.256450681,0.012313628,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.499923005,1.642787048,-1.439548205,1.652565603,0.06973832592,0.03216069682,0.1307615286,-1.433902661,1.563893379,1.249971208,1.622573989,-0.05540294388,-0.01273762582,-0.5641008294,0.009792621081,-0.06554910521,-0.01097785317,0.1499011851,0.1724754343,-0.1622049269,-0.09936367145,-0.06701298069,0.1023038598,0.03033540515,-0.02445533642,0.1118687589,0.1288522727,-0.06234820102,0.008910782434,0.01069376055,0.008910782434,0.007403940617,0.01977847979,0.1061664025,0.1047785029,0.006549094992
0.04,0.07223828484,-0.05315149541,-0.2566302028,0.01232526324,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500020931,1.642131557,-1.439657983,1.654064614,0.07146308027,0.03053864755,0.1297678919,-1.434572791,1.564916417,1.250274562,1.622329436,-0.05428425629,-0.01144910309,-0.5647243114,0.009390951952,-0.06798221811,-0.008441253892,0.1500044564,0.1705023267,-0.1625615417,-0.09686733788,-0.06704370197,0.1024118811,0.03026815533,-0.0244650507,0.1119511836,0.1289767056,-0.06232049028,0.008906302229,0.01102216614,0.008906302229,0.009608707058,0.02124832409,0.1046965585,0.1035706261,0.007204586045
0.05,0.06967088208,-0.05302817144,-0.2568583586,0.01234005056,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500114841,1.641451735,-1.439742396,1.655564659,0.07316810354,0.02891303214,0.1287992185,-1.435243228,1.565940536,1.250577244,1.622084785,-0.05316474445,-0.01015933604,-0.5653475163,0.002804461806,-0.1080508695,0.03511764458,0.1496513438,0.1354763667,-0.1660499716,-0.05288841128,-0.06599679345,0.1024155371,0.02951169211,-0.02457039489,0.1123562202,0.1289258781,-0.06075324141,0.008901664839,0.01135099786,0.008901664839,0.01177445515,0.02268717944,0.103225546,0.1022806594,0.007884408226
0.06,0.06710095947,-0.05290468415,-0.257133976,0.01235791397,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500142885,1.640371226,-1.439391219,1.657061172,0.0745228672,0.02725253242,0.1282703344,-1.435903196,1.566964691,1.25087236,1.621839081,-0.05204118225,-0.008870077257,-0.5659550487,0.002783662862,-0.1082154079,0.03511027437,0.1498467863,0.1356189741,-0.1662849624,-0.05295955655,-0.06612379011,0.1025685402,0.02949671913,-0.0245763082,0.1124599005,0.129107443,-0.06084342482,0.008894087198,0.011679911,0.008894087198,0.01324691182,0.0235405699,0.1017530898,0.1008082032,0.00896491692
0.07,0.06452804823,-0.05278100316,-0.2574558905,0.01237877801,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500170722,1.639289072,-1.439040117,1.65855964,0.07587905694,0.0255896828,0.1277407388,-1.436564434,1.567990377,1.251167328,1.621593318,-0.05091658325,-0.007579002828,-0.566563483,0.002765508251,-0.1083994193,0.03510922681,0.1500719462,0.135785849,-0.1665504483,-0.05304009006,-0.06626490356,0.1027396125,0.02948641598,-0.02458343544,0.1125830471,0.1293111523,-0.06094480032,0.008886563561,0.01200939418,0.008886563561,0.01472108084,0.02432206367,0.1002789212,0.09933403458,0.010047071
0.08,0.06195169119,-0.05265709884,-0.2578229459,0.01240256774,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500198377,1.638205078,-1.438689024,1.66006036,0.07723691543,0.02392417832,0.1272103379,-1.437227083,1.569017773,1.251462192,1.621347484,-0.04979075277,-0.006285891305,-0.567172931,0.002749894389,-0.1086024491,0.03511429534,0.1503260756,0.1359763644,-0.1668456952,-0.0531297847,-0.06641981174,0.1029283328,0.02948062083,-0.02459174406,0.1127251465,0.1295364837,-0.06105710238,0.00887909295,0.01233950543,0.00887909295,0.01619722416,0.02503147488,0.09880277825,0.09785789166,0.01113106519
0.09,0.05937144267,-0.0525329423,-0.2582339944,0.01242920876,-0.00330708062,0.9999945316,0.002637792114,0.999996521,0,0,1.500225876,1.637119053,-1.438337881,1.661563621,0.07859667908,0.02225572136,0.1266790401,-1.437891281,1.570047056,1.251756998,1.621101567,-0.04866350131,-0.004990526468,-0.567783502,0.002718610282,-0.1088387747,0.03515429152,0.1503485072,0.1362172574,-0.1669297083,-0.05320898226,-0.06654827784,0.1031362482,0.02943347507,-0.02487725014,0.1128294644,0.1300086359,-0.06119605302,0.008871674462,0.01267030147,0.008871674462,0.01767559713,0.02566855373,0.09732440569,0.09637951911,0.01221708968
