# L_phi_L=4.438589015,L_phi_R=0.2045691288
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,-0.7376983748,-0.03139301838,0.01735418259,-0.006588582984,-0.05497227503,0.9984878812,0,1,0,0,1.362995769,1.54792761,-1.459003884,1.989977614,0.7537923379,-0.2973375251,-0.4679774499,-1.426005161,1.649336143,0.9980960109,1.489150112,0.5037829496,0.5088250971,-0.9433396197,-0.008535617106,0.009209031437,-0.009539561385,-0.02972922788,-0.01309549764,0.01580944633,0.01580891844,0.01869606378,-0.003923437545,0.003606648719,-0.0218015651,0.002637408831,-0.004499861137,0.007010295456,0.00585115323,0.03697193275,0.00585115323,0.345000006,0.11,0,0.005,0
0.01,-0.7375248463,-0.0314589071,0.01735016726,-0.006589447683,-0.05497227503,0.9984878812,0,1,0,0,1.362910413,1.5480197,-1.45909928,1.989680322,0.7536613829,-0.2971794306,-0.4678193608,-1.4258182,1.649296909,0.9981320773,1.488932097,0.5038093237,0.5087800985,-0.9432695167,-0.008547893068,0.009204976406,-0.00953584212,-0.02973797088,-0.01308702904,0.01580949128,0.0158019948,0.01869421254,-0.003974489389,0.00362017686,-0.02181831494,0.002635305873,-0.004495540556,0.007033414691,0.005880877485,0.03695895986,0.005880877485,0.345000006,0.11,0,0.005,3.923437545e-05
0.02,-0.7373513977,-0.031524813,0.017338257,-0.006592012551,-0.05497227503,0.9984878812,0,1,0,0,1.362824934,1.54811175,-1.459194638,1.989382942,0.7535305126,-0.2970213357,-0.4676613408,-1.425631258,1.649257164,0.9981682791,1.488713914,0.5038356768,0.5087351431,-0.9431991826,-0.008567549868,0.009197934607,-0.009529174867,-0.02975195562,-0.01307464571,0.01580873506,0.01579214499,0.01870411922,-0.003964780304,0.00362124725,-0.02184031391,0.002647484261,-0.004480402014,0.007042507487,0.005910587388,0.03694582388,0.005910587388,0.345000006,0.11,0,0.005,7.897926934e-05
0.03,-0.7371781068,-0.03159075288,0.01731865422,-0.006596233999,-0.05497227503,0.9984878812,0,1,0,0,1.362739259,1.548203729,-1.45928993,1.989085422,0.7533997662,-0.2968632484,-0.4675034194,-1.425444217,1.649217516,0.9982044916,1.48849551,0.5038621516,0.508690339,-0.9431287575,-0.008594352541,0.009188342076,-0.009519931003,-0.02977104764,-0.0130581457,0.01580748285,0.01577913506,0.01871856339,-0.003951058473,0.003624228133,-0.02187036256,0.002666197015,-0.004459692047,0.007054569786,0.005940272856,0.03693272107,0.005940272856,0.345000006,0.11,0,0.005,0.0001186270724
0.04,-0.7370050496,-0.03165674306,0.0172915598,-0.006602068768,-0.05497227503,0.9984878812,0,1,0,0,1.362653315,1.548295613,-1.459385129,1.988787712,0.7532691847,-0.2967051735,-0.467345628,-1.425257031,1.649178005,0.9982407339,1.488276807,0.5038888136,0.5086457421,-0.9430582118,-0.008628109143,0.009176265615,-0.009508180259,-0.02979511354,-0.01303763795,0.01580574873,0.01576305444,0.0187374251,-0.003933423598,0.003629062196,-0.02190826414,0.00269126434,-0.004433548252,0.007069531043,0.005969925232,0.03691966407,0.005969925232,0.345000006,0.11,0,0.005,0.0001581376571
0.05,-0.7368323,-0.03172279949,0.01725717304,-0.006609473937,-0.05497227503,0.9984878812,0,1,0,0,1.362567034,1.548387375,-1.459480211,1.988489761,0.7531388083,-0.296547116,-0.4671879975,-1.425069657,1.649138671,0.9982770245,1.488057724,0.5039157262,0.5086014066,-0.9429875165,-0.00866862929,0.00916177169,-0.009493991902,-0.02982402096,-0.01301323044,0.01580354679,0.01574399155,0.01876058593,-0.003911979147,0.003635700541,-0.02195381525,0.002722514371,-0.004402112899,0.00708731677,0.005999536084,0.03690666519,0.005999536084,0.345000006,0.11,0,0.005,0.0001974718931
0.06,-0.7366599298,-0.03178893763,0.01721569172,-0.006618406918,-0.05497227503,0.9984878812,0,1,0,0,1.362480348,1.548478993,-1.459575151,1.988191521,0.753008676,-0.2963890806,-0.4670305576,-1.424882051,1.649099551,0.9983133815,1.487838186,0.5039429514,0.5085573855,-0.9429166433,-0.008715724176,0.009144926273,-0.0094774346,-0.02985763857,-0.01298503029,0.01580089105,0.015722034,0.01878792838,-0.003886827821,0.003644094639,-0.02200681394,0.002759776641,-0.004365527236,0.007107853005,0.006029097207,0.03689373645,0.006029097207,0.345000006,0.11,0,0.005,0.0002365916846
0.07,-0.7364880091,-0.03185517258,0.01716731204,-0.006628825456,-0.05497227503,0.9984878812,0,1,0,0,1.362393191,1.548570442,-1.459669925,1.987892944,0.7528788257,-0.2962310717,-0.4668733372,-1.424694172,1.649060683,0.9983498224,1.487618118,0.5039705492,0.5085137302,-0.9428455648,-0.008769206568,0.009125794838,-0.009458576421,-0.02989583606,-0.01295314376,0.0157977954,0.01569726858,0.0188193359,-0.00385807156,0.003654196321,-0.02206705967,0.00280288209,-0.004323931486,0.007131066314,0.006058600618,0.03688088953,0.006058600618,0.345000006,0.11,0,0.005,0.0002754599628
0.08,-0.7363166059,-0.03192151896,0.01711222866,-0.006640687634,-0.05497227503,0.9984878812,0,1,0,0,1.362305498,1.5486617,-1.459764511,1.987593986,0.7527492943,-0.2960730937,-0.4667163645,-1.424505979,1.649022102,0.9983863644,1.487397447,0.503998578,0.5084704909,-0.9427742541,-0.00882889081,0.009104442367,-0.00943748483,-0.02993848418,-0.0129176763,0.01579427365,0.01566978123,0.01885469288,-0.003825811538,0.00366595779,-0.02213435336,0.002851663059,-0.004277464849,0.007156883797,0.006088038556,0.03686813577,0.006088038556,0.345000006,0.11,0,0.005,0.0003140406784
0.09,-0.7361457862,-0.031987991,0.01705063468,-0.006653951865,-0.05497227503,0.9984878812,0,1,0,0,1.36221721,1.548752745,-1.459858886,1.987294601,0.7526201175,-0.295915151,-0.4665596667,-1.424317432,1.648983844,0.998423024,1.487176104,0.5040270946,0.5084277163,-0.9427026853,-0.008894592813,0.00908093335,-0.009414226688,-0.0299854547,-0.0128787325,0.0157903395,0.01563965708,0.01889388464,-0.003790148163,0.003679331614,-0.02220849735,0.002905953301,-0.004226265503,0.007185233095,0.006117403482,0.03685548623,0.006117403482,0.345000006,0.11,0,0.005,0.0003522987938
