# L_phi_L=0.1886680541,L_phi_R=0.2056555671
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.3794581881,-0.1150682675,-0.4616905225,0.04594315573,0,1,0.06994284734,0.9975510003,0,0,1.302237998,1.649336143,-1.333180906,1.24869457,-0.2412192799,0.3118386439,0.2928163412,-1.233660975,1.542859309,1.305137125,1.431999608,-0.260589193,-0.05845437109,-0.3836609916,0.1459227256,-0.2160724781,0.09620113994,0.4402171145,0.2664210166,-0.3592337461,0.05402182853,-0.2099163105,0.1617510934,0.1153990793,0.09789120883,0.2009722712,0.1332692468,-0.1288044559,0.008540735756,0.005483942358,0.005483942358,0,0,0.145,0.145,0
0.01,0.3748410728,-0.1146088185,-0.4617533891,0.04594839477,0,1,0.06994284734,0.9975510003,-1,0,1.303697225,1.647175418,-1.332218895,1.253096741,-0.2385550697,0.3082463064,0.2933565595,-1.235760138,1.54447682,1.306291116,1.43297852,-0.2585794703,-0.05712167862,-0.3849490362,0.2491298305,0.2160724781,-0.5782994895,0.4392613382,0.7426839402,-0.4778942009,-0.469437671,-0.2095160872,0.162245164,0.114697116,0.0973975152,0.2010087254,0.1338939128,-0.1283302914,0.008527907823,0.005988777888,0.005988777888,0,0,0.14,0.145,0.002160724781
0.02,0.370222709,-0.1141492653,-0.4619396529,0.0459639172,-0.009999833334,0.9999500004,0.06994284734,0.9975510003,-0.5,0,1.306188524,1.649336143,-1.33800189,1.257489355,-0.2311282303,0.3034673644,0.2886621828,-1.237855299,1.546099272,1.307438087,1.433952495,-0.2565693831,-0.0557827395,-0.3862323391,0.1953795496,0,-0.2380261017,0.4384199027,0.5018282259,-0.4162588811,-0.2103973914,-0.2091655217,0.1627786504,0.1140243147,0.09692239575,0.2011006393,0.1345535997,-0.1278880357,0.008548891737,0.006495624019,0.006495624019,0,0.005,0.145,0.14,0
0.03,0.36560188,-0.1136895068,-0.4622458316,0.04598943285,-0.01499943751,0.9998875021,0.06994284734,0.9975510003,0,0,1.308142319,1.649336143,-1.340382151,1.261873554,-0.2261099481,0.2993047756,0.2865582088,-1.239946954,1.547727058,1.30857833,1.434921719,-0.2545583767,-0.0544372035,-0.3875112195,0.1940145213,0,-0.2361130237,0.437688629,0.5002304577,-0.414864377,-0.2122411932,-0.208862905,0.1633512838,0.1133798249,0.09646492793,0.2012457986,0.1352478898,-0.1274755466,0.008552929227,0.00700460265,0.00700460265,0,0.005,0.145,0.14,0
0.04,0.3609774041,-0.1132294443,-0.4626684728,0.04602465397,-0.01499943751,0.9998875021,0.06994284734,0.9975510003,-0.5,0,1.310082464,1.649336143,-1.342743281,1.26625044,-0.2211076435,0.2951561318,0.2844357969,-1.242035583,1.549360571,1.309712128,1.435886369,-0.2525459187,-0.0530847246,-0.3887859749,0.1927022797,0,-0.2343163022,0.4370634569,0.4988206036,-0.4135780793,-0.2141587798,-0.2086064122,0.1639622439,0.1127621012,0.09602421727,0.2014426931,0.1359761796,-0.1270913243,0.008556940991,0.007515835323,0.007515835323,0,0.01,0.145,0.135,0
0.05,0.3563481338,-0.1127689823,-0.4632041529,0.04606929529,-0.01999866669,0.9998000067,0.06994284734,0.9975510003,0,0,1.312009487,1.649336143,-1.345086444,1.270621075,-0.2161194375,0.291020351,0.2822942091,-1.244121647,1.551000194,1.310839749,1.436846611,-0.2505314918,-0.0517249628,-0.3900568882,0.1914287451,0,-0.2325569272,0.4365404,0.4975393194,-0.4123827324,-0.2160919776,-0.2083942494,0.1646106975,0.1121696306,0.09559939669,0.2016898289,0.1367378456,-0.1267338911,0.008560928052,0.008029441405,0.008029441405,0,0.01,0.145,0.135,0
0.06,0.3517129556,-0.112308028,-0.4638494781,0.04612307396,-0.01999866669,0.9998000067,0.06994284734,0.9975510003,-0.5,0,1.313923775,1.649336143,-1.347412013,1.274986479,-0.2111440443,0.2868965237,0.2801332893,-1.24620559,1.552646301,1.311961446,1.437802605,-0.2485145935,-0.05035758435,-0.3913242271,0.1901969689,0,-0.230868754,0.436115551,0.496407596,-0.4112802157,-0.2180704287,-0.2082246522,0.1652957996,0.1116009328,0.09518962585,0.2019857279,0.1375322446,-0.1264017914,0.00856489115,0.008545538025,0.008545538025,0,0.01,0.14,0.13,0
0.07,0.3470707899,-0.1118464913,-0.4646010839,0.04618570961,-0.02499739591,0.9996875163,0.06994284734,0.9975510003,-0.5,0,1.315825744,1.649336143,-1.349720701,1.279347634,-0.2061799683,0.2827837215,0.2779525851,-1.248287836,1.554299259,1.313077455,1.438754501,-0.2464947362,-0.0489822619,-0.392588245,0.1890105688,0,-0.2292902373,0.4357850789,0.4954501026,-0.4102726155,-0.2201278339,-0.2080958863,0.1660166933,0.1110545591,0.09479409049,0.2023289279,0.1383587153,-0.1260935915,0.008568831087,0.009064240017,0.008568831087,0,0.015,0.14,0.13,0
0.08,0.3424205908,-0.1113842852,-0.4654556351,0.04625692429,-0.0299955002,0.9995500337,0.06994284734,0.9975510003,0,0,1.31771585,1.649336143,-1.352013603,1.283705485,-0.2012254673,0.2786809954,0.2757513067,-1.250368795,1.555959425,1.314188001,1.439702442,-0.2444714469,-0.04759867475,-0.3938491809,0.1878553663,0,-0.2277392451,0.4355452269,0.494605234,-0.4093430397,-0.2222023298,-0.2080062465,0.1667725116,0.1105290922,0.09441200185,0.2027179825,0.1392165784,-0.1258078795,0.008572748744,0.009585659865,0.008572748744,0,0.015,0.14,0.125,0
0.09,0.3377613451,-0.1109213252,-0.466409826,0.04633644252,-0.0299955002,0.9995500337,0.06994284734,0.9975510003,-0.5,0,1.319594404,1.649336143,-1.354290996,1.288060937,-0.1962794149,0.274587565,0.2735292834,-1.252448858,1.557627151,1.315293292,1.440646562,-0.2424442671,-0.04620650897,-0.3951072597,0.18673622,0,-0.2262616155,0.4353923108,0.4939030659,-0.4084950024,-0.2243329839,-0.2079540566,0.1675623772,0.1100231455,0.0940425961,0.2031514611,0.140105138,-0.1255432649,0.008576644713,0.01010990765,0.008576644713,0,0.02,0.14,0.125,0
