# L_phi_L=0.6277044025,L_phi_R=0.1969901168
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.1847369377,-0.04643180953,-0.3242914437,-0.00454992769,0,1,0.0349928546,0.9993875625,0,0,1.527844223,1.649336143,-1.405708508,1.636290678,-0.01684181352,0.09091716979,0.1961589627,-1.448776158,1.546516338,1.266418324,1.682340581,-0.1420729112,-0.07886229678,-0.5011201743,-0.04835834936,-0.1420153583,0.03139666118,0.1121659935,0.1568925517,-0.1945405128,-0.0424741973,-0.03755479824,0.1444313148,0.05850657548,-0.1118923958,0.148808224,0.1857318455,-0.08041460788,0.009009792183,0.005261949423,0.005261949423,0,0,0.11,0.125,0
0.01,0.1814938528,-0.04647730739,-0.3243424586,-0.004549501934,0,1,0.0349928546,0.9993875625,0,0,1.527360639,1.64791599,-1.405394542,1.637412338,-0.015272888,0.08897176466,0.1957342208,-1.449151706,1.547960652,1.26700339,1.681221657,-0.1405848289,-0.07700497832,-0.5019243204,-0.04868715828,-0.1421262604,0.03158395608,0.1121228075,0.1568291645,-0.1947323711,-0.04298607382,-0.03724121935,0.1444439341,0.05834603666,-0.111973242,0.1488980856,0.1857338111,-0.07998768313,0.009007503124,0.005728926322,0.005728926322,0,0,0.11,0.12,0.001420153583
0.02,0.1782497538,-0.04652279678,-0.3244938685,-0.004548238309,0,1,0.0349928546,0.9993875625,0,0,1.526873768,1.646494727,-1.405078702,1.638533566,-0.01370459636,0.08702444095,0.19530436,-1.449524118,1.549405091,1.26758685,1.680101925,-0.1390958481,-0.07514764021,-0.5027241972,-0.04902807613,-0.1422305465,0.03180006418,0.1121213076,0.1568028957,-0.1949842655,-0.04349366874,-0.036945873,0.1444994058,0.05820328258,-0.112078612,0.1490334985,0.1857886095,-0.07958585311,0.008995880319,0.006196064602,0.006196064602,0,0,0.11,0.12,0.002841416188
0.03,0.1750036489,-0.04656826943,-0.3247432345,-0.00454615717,0,1,0.0349928546,0.9993875625,-1,0,1.526383487,1.645072421,-1.404760701,1.63965478,-0.0121365674,0.08507459829,0.1948694233,-1.449893576,1.550850085,1.268168883,1.678981139,-0.1376055131,-0.07328975412,-0.5035200557,0.04459632993,0.4263721653,-0.5840309427,0.1121603327,0.6331856982,-0.2007141498,-0.7082317179,-0.03666794469,0.1445966517,0.05807766897,-0.1122079444,0.1492134251,0.1858948661,-0.07920796222,0.008984357274,0.006663501349,0.006663501349,0,0.005,0.105,0.12,0.004263721653
0.04,0.1717545707,-0.04661371727,-0.3250881355,-0.004543278721,-0.009999833334,0.9999500004,0.0349928546,0.9993875625,0,0,1.52682945,1.649336143,-1.410601011,1.640776383,-0.005804710419,0.08306745679,0.1877871061,-1.450260256,1.552296051,1.26874966,1.677859059,-0.1361133788,-0.07143080546,-0.5043121353,-0.02651743624,0,-0.1214492637,0.1122387301,0.2770057663,-0.1952255785,-0.2108520354,-0.0364066371,0.1447346013,0.05796856516,-0.1123606783,0.1494368373,0.1860512139,-0.07885287634,0.009010324075,0.007131370317,0.007131370317,0,0.005,0.115,0.115,0
0.05,0.1685015758,-0.04665913241,-0.3255261682,-0.004539623022,-0.009999833334,0.9999500004,0.0349928546,0.9993875625,0,0,1.526564276,1.649336143,-1.411815503,1.64189877,-0.003034652756,0.08111520101,0.1856785858,-1.450624322,1.553743397,1.269329345,1.676735453,-0.1346190105,-0.06957029332,-0.5051006641,-0.02698186932,0,-0.1211638063,0.1123553525,0.2775980497,-0.1949281825,-0.2115930663,-0.0361611697,0.1449121916,0.05787535369,-0.1125362527,0.149702716,0.1862562933,-0.07851948227,0.009010463069,0.007599801937,0.007599801937,0,0.005,0.115,0.115,0
0.06,0.1652437448,-0.0467045072,-0.3260549469,-0.004535209982,-0.009999833334,0.9999500004,0.0349928546,0.9993875625,-0.5,0,1.526294457,1.649336143,-1.413027142,1.643022324,-0.0002586722592,0.07916591918,0.1835626551,-1.450985934,1.555192519,1.269908099,1.67561009,-0.1331219833,-0.06770773039,-0.5058858589,-0.02745224511,0,-0.1208887561,0.1125090609,0.2782542077,-0.1946818422,-0.2123731992,-0.03593077826,0.1451283674,0.05779742998,-0.1127341069,0.1500100511,0.1865087527,-0.07820668732,0.0090106045,0.008068923341,0.008068923341,0,0.01,0.11,0.115,0
0.07,0.1619801823,-0.04674983416,-0.3266721037,-0.004530059363,-0.01499943751,0.9998875021,0.0349928546,0.9993875625,0,0,1.526019935,1.649336143,-1.414236029,1.644147414,0.002523869818,0.07721910076,0.1814389231,-1.451345242,1.556643803,1.270486073,1.674482749,-0.1316218828,-0.06584264286,-0.5066679258,-0.02791995319,0,-0.1206844791,0.1126987232,0.2790203981,-0.194484313,-0.2132580958,-0.03571471451,0.1453820809,0.05773420198,-0.1129536809,0.1503578418,0.186807248,-0.07791341874,0.009010748398,0.008538858374,0.008538858374,0,0.01,0.115,0.11,0
0.08,0.158710016,-0.046795106,-0.3273752883,-0.00452419078,-0.01499943751,0.9998875021,0.0349928546,0.9993875625,0,0,1.525740735,1.649336143,-1.415442874,1.645274402,0.005314073799,0.07527425763,0.1793063422,-1.451702389,1.558097624,1.271063415,1.673353212,-0.1301183044,-0.06397457038,-0.50744706,-0.02839511006,0,-0.1204840332,0.1129232146,0.2798437678,-0.1943335593,-0.2141758433,-0.03551224574,0.1456722924,0.05768508984,-0.1131944153,0.1507450962,0.1871504431,-0.07763862342,0.009010894749,0.009009727613,0.009009727613,0,0.01,0.115,0.11,0
0.09,0.1554323975,-0.04684031564,-0.3281621683,-0.004517623698,-0.01499943751,0.9998875021,0.0349928546,0.9993875625,-0.5,0,1.525456784,1.649336143,-1.416647714,1.646403634,0.008112511477,0.07333092204,0.1771645837,-1.452057511,1.559554347,1.271640266,1.672221268,-0.1286108534,-0.06210306595,-0.5082234462,-0.02887457905,0,-0.1203102929,0.1131814173,0.2807412797,-0.1942275021,-0.2151515327,-0.03532265447,0.1459979694,0.05764952564,-0.1134557511,0.1511708315,0.1875370098,-0.07738126737,0.009011043592,0.009481648381,0.009011043592,0,0.015,0.11,0.11,0
