# L_phi_L=0.2850696258,L_phi_R=0.9614795474
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0.1,-0.3421962071,-0.06286709575,0.2994743867,0.006286174709,-0.05996400648,0.9982005399,0.01999866669,0.9998000067,0,0,1.399967798,1.558519773,-1.456272203,1.761306658,0.3672390613,-0.1718124435,-0.09269203354,-1.404086772,1.649336143,1.190842563,1.461196056,0.2336215116,0.2452446057,-0.7264483106,0.09793921099,0.1262444706,-0.07954042984,-0.0666598082,-0.1559158571,0.1507608705,0.1126808778,-0.05855414366,0,0.1320759164,0.1113323163,-0.2651321521,-0.2114734549,0.1650999863,0.008299649494,0.03727114245,0.008299649494,0.105,0.14,0.01,0,0
0.11,-0.339200394,-0.06280424272,0.299691214,0.006284406353,-0.05996400648,0.9982005399,0.01999866669,0.9998000067,0,0.5,1.400947191,1.559782218,-1.457067607,1.76064006,0.3656799027,-0.1703048348,-0.09156522477,-1.404672313,1.649336143,1.192163322,1.46230938,0.23097019,0.2431298711,-0.7247973107,0.09764108088,0.1263862794,-0.07926743255,-0.06698006019,-0.1560080371,0.1510218067,0.1123491151,-0.05825436621,0,0.1318891097,0.111448576,-0.2653125869,-0.2111650931,0.165581667,0.008304640616,0.03728347514,0.008304640616,0.1,0.14,0.015,0,0
0.12,-0.3362023239,-0.0627414081,0.299925723,0.006282493792,-0.05996400648,0.9982005399,0.02499739591,0.9996875163,0,0,1.401923601,1.56104608,-1.457860282,1.759970259,0.3641198223,-0.1687946167,-0.09044173361,-1.405254857,1.649336143,1.193482213,1.463423865,0.2283170642,0.2410182202,-0.723141494,0.09734688906,0.1265347804,-0.07899939367,-0.06730600187,-0.1561096701,0.1512908794,0.1120229271,-0.05795915712,0,0.1317206727,0.111568659,-0.2655171238,-0.2108690243,0.1660843654,0.008309722382,0.03729594778,0.008309722382,0.1,0.14,0.015,0,0
0.13,-0.3332018223,-0.06267859331,0.300177413,0.006280441111,-0.05996400648,0.9982005399,0.02499739591,0.9996875163,0,0,1.40289707,1.562311428,-1.458650276,1.759297199,0.3625587256,-0.1672817079,-0.08932150434,-1.405834448,1.649336143,1.19479942,1.464539552,0.2256618929,0.2389095299,-0.7214806504,0.09705643231,0.1266897687,-0.07873611224,-0.06763750921,-0.1562204929,0.1515678376,0.1117020267,-0.05766187742,0,0.1315485555,0.111692456,-0.2657302846,-0.2105802178,0.1665875595,0.008314895322,0.03730856111,0.008314895322,0.1,0.14,0.015,0,0
0.14,-0.33019872,-0.06261579973,0.3004457868,0.006278252363,-0.05996400648,0.9982005399,0.02499739591,0.9996875163,0,0.5,1.403867635,1.563578326,-1.459437637,1.758620824,0.3609965207,-0.1657660295,-0.08820448408,-1.406411067,1.649336143,1.196114906,1.465656477,0.2230045901,0.2368037278,-0.7198147748,0.09676951161,0.1268510402,-0.07847739137,-0.0679744572,-0.1563402445,0.1518524308,0.1113861314,-0.05736797794,0,0.131391123,0.1118198575,-0.2659645805,-0.2103021343,0.1671084674,0.008320159977,0.03732131426,0.008320159977,0.095,0.135,0.02,0,0
0.15,-0.3271928526,-0.0625530287,0.3007303513,0.006275931571,-0.05996400648,0.9982005399,0.0299955002,0.9995500337,0,0,1.40483533,1.564846836,-1.460222411,1.757941079,0.3594331183,-0.1642475052,-0.08709062276,-1.406984747,1.649336143,1.197428817,1.466774675,0.2203449443,0.2347007064,-0.7181436901,0.09648593204,0.1270183918,-0.07822303822,-0.06831671986,-0.1564686668,0.1521444088,0.1110749638,-0.05706950732,0,0.1312217521,0.1119507538,-0.2662012655,-0.2100289542,0.1676222169,0.008325516898,0.03733420778,0.008325516898,0.095,0.14,0.02,0,0
0.16,-0.3241840606,-0.06249028153,0.3010306169,0.006273482727,-0.05996400648,0.9982005399,0.0299955002,0.9995500337,0,0,1.405800189,1.56611702,-1.461004641,1.757257912,0.3578684316,-0.1627260611,-0.08597987312,-1.407555442,1.649336143,1.198741034,1.467894183,0.2176829316,0.2326004169,-0.7164674679,0.09620550281,0.1271916216,-0.07797286393,-0.0686641703,-0.156605504,0.1524435221,0.1107682514,-0.05677396971,0,0.1310657533,0.1120850356,-0.2664577176,-0.2097655204,0.1681525433,0.008330966644,0.03734724018,0.008330966644,0.095,0.14,0.02,0,0
0.17,-0.3211721895,-0.06242755946,0.301346098,0.006270909791,-0.05996400648,0.9982005399,0.0299955002,0.9995500337,0,0.5,1.406762244,1.567388937,-1.46178437,1.756571271,0.3563023766,-0.1612016259,-0.08487219061,-1.408123182,1.649336143,1.200051692,1.469015033,0.2150183544,0.2305027617,-0.7147859425,0.09592803718,0.1273705287,-0.07772668358,-0.06901668072,-0.1567505027,0.1527495214,0.110465726,-0.05648221337,0,0.1309261812,0.1122225932,-0.2667359044,-0.2095120032,0.168702394,0.008336509783,0.03734990882,0.008336509783,0.095,0.135,0.02,0,0
0.18,-0.3181570896,-0.06236486373,0.3016763128,0.006268216693,-0.05996400648,0.9982005399,0.0349928546,0.9993875625,0,0,1.407721524,1.568662642,-1.462561636,1.755881104,0.3547348715,-0.1596741307,-0.08376753335,-1.408688004,1.649336143,1.201360954,1.470137259,0.2123509954,0.2284076416,-0.7130989186,0.09565335242,0.1275549136,-0.07748431617,-0.06937412249,-0.156903412,0.1530621582,0.1101671247,-0.05619155901,0,0.1307941399,0.1123633173,-0.2670294297,-0.2092662089,0.16926349,0.008342146893,0.0373502162,0.008342146893,0.09,0.14,0.025,0,0
0.19,-0.3151386158,-0.06230219552,0.3020207832,0.006265407332,-0.05996400648,0.9982005399,0.0349928546,0.9993875625,0,0.5,1.408678058,1.569938191,-1.46333648,1.755187363,0.3531658374,-0.1581435091,-0.0826658621,-1.409249919,1.649336143,1.202668895,1.471260892,0.2096807011,0.2263149795,-0.7114062837,0.09538126978,0.1277445776,-0.07724558452,-0.06973636615,-0.1570639835,0.1533811844,0.1098721888,-0.0558960187,0,0.1306493541,0.1125070983,-0.2673238329,-0.2090238516,0.1698167931,0.008347878557,0.03735069905,0.008347878557,0.09,0.135,0.025,0,0
