# L_phi_L=0.8413173653,L_phi_R=0.3118306245
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,-0.7476556319,-0.01230698336,-0.02144647524,-0.04579306099,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.405719948,1.547931841,-1.456105094,2.067259954,0.7758495005,-0.3190892295,-0.4984766422,-1.482851504,1.649336143,0.9904194647,1.558742372,0.4732990866,0.4974341695,-0.9594710781,-0.1197093854,0.005703994493,-0.008098807381,-0.1741339047,-0.004968100605,0.0525364861,0.02245648748,0.1475911747,0,-0.001108855165,-0.1712239698,0.1046227503,0.06105351047,0.01389946244,0.006005281682,0.03676759879,0.006005281682,0.345000006,0.095,0,0,0
0.01,-0.7478701098,-0.01276492572,-0.02145041612,-0.0457965805,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.404522854,1.547988881,-1.456186082,2.065518615,0.7757998195,-0.3185638647,-0.4982520773,-1.481375592,1.649336143,0.9904083762,1.557030132,0.4743453141,0.4980447046,-0.9593320834,-0.119692001,0.00571832569,-0.008080470511,-0.1742939153,-0.004934534865,0.05267023819,0.02257324804,0.147657794,0,-0.001300659917,-0.1715216483,0.1047799824,0.06129307896,0.01404664578,0.006019159041,0.03677903498,0.006019159041,0.345000006,0.095,0,0,0
0.02,-0.7480846661,-0.01322293807,-0.02146211849,-0.04580703161,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.403325934,1.548046065,-1.456266887,2.063775676,0.7757504742,-0.3180371623,-0.4980263448,-1.479899014,1.649336143,0.9903953696,1.555314916,0.4753931139,0.4986576354,-0.959191617,-0.1196950762,0.005730955794,-0.008061045875,-0.1744794492,-0.004899276236,0.05280942538,0.02269110149,0.1477307054,0,-0.001459880255,-0.1718467633,0.1049426698,0.06152896921,0.01423152621,0.006033065425,0.03679059774,0.006033065425,0.345000006,0.095,0,0,0
0.03,-0.7482993774,-0.01368108893,-0.02148140285,-0.04582425402,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.402128984,1.548103374,-1.456347498,2.062030882,0.7757014814,-0.317509068,-0.4977994338,-1.478421707,1.649336143,0.9903807707,1.553596448,0.4764425406,0.4992729251,-0.9590493017,-0.1197180295,0.005742654785,-0.008041096946,-0.1746900041,-0.004861787936,0.05295458209,0.02280948466,0.1478359098,0,-0.00164057177,-0.1721988602,0.1051326934,0.0617863325,0.01439814547,0.006046994426,0.03680228705,0.006046994426,0.345000006,0.095,0,0,0
0.04,-0.7485143188,-0.0141394452,-0.02150809096,-0.04584808855,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.400931803,1.548160801,-1.456427909,2.060283982,0.7756528635,-0.3169795222,-0.497571339,-1.476943348,1.649336143,0.990364365,1.551874459,0.4774938676,0.4998907884,-0.9589053203,-0.1197603687,0.005753462186,-0.008020626957,-0.1749250802,-0.004822111107,0.05310565169,0.02292846432,0.1479640915,0,-0.001824875431,-0.1725774854,0.10534236,0.0620566085,0.01456523507,0.006060942156,0.03681410678,0.006060942156,0.345000006,0.095,0,0,0
0.05,-0.7487295634,-0.01459807221,-0.02154200581,-0.04587837712,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.3997342,1.548218335,-1.456508115,2.058534731,0.7756046424,-0.3164484657,-0.4973420543,-1.475463707,1.649336143,0.9903461163,1.550148685,0.4785472912,0.5005113545,-0.9587596679,-0.1198216062,0.005763416828,-0.007999639468,-0.1751841794,-0.004780286637,0.05326257556,0.02304810492,0.1481147443,0,-0.002012851943,-0.1729821858,0.1055713466,0.06233963504,0.01473290273,0.006074904871,0.03682605956,0.006074904871,0.345000006,0.095,0,0,0
0.06,-0.7489451824,-0.01505703373,-0.02158297165,-0.04591496275,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.398535984,1.548275969,-1.456588111,2.056782889,0.7755568395,-0.3159158399,-0.4971115733,-1.473982559,1.649336143,0.9903259878,1.548418863,0.4796030046,0.5011347509,-0.9586123389,-0.1199012593,0.005772557006,-0.007978138465,-0.175466806,-0.004736355051,0.05342529336,0.02316846851,0.1482873593,0,-0.002204547189,-0.1734125096,0.105819327,0.06263524217,0.01490126797,0.00608887896,0.03683814807,0.00608887896,0.345000006,0.095,0,0,0
0.07,-0.7491612457,-0.01551639194,-0.02163081396,-0.0459576896,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.397336971,1.548333695,-1.456667893,2.055028221,0.775509476,-0.315381587,-0.4968798886,-1.472499686,1.649336143,0.9903039423,1.546684738,0.4806611979,0.5017611033,-0.9584633262,-0.1199988501,0.005780920493,-0.007956128352,-0.1757724661,-0.004690356513,0.05359374303,0.02328961478,0.1484814422,0,-0.002400026814,-0.1738680056,0.1060859864,0.06294326848,0.01507042656,0.00610286095,0.03685037502,0.00610286095,0.345000006,0.095,0,0,0
0.08,-0.7493778211,-0.01597620747,-0.02168535946,-0.04600640292,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.396136983,1.548391504,-1.456747454,2.053270496,0.7754625724,-0.3148456496,-0.4966469925,-1.471014871,1.649336143,0.990279942,1.544946058,0.4817220578,0.502390536,-0.9583126219,-0.1201139056,0.005788544546,-0.007933613935,-0.1761006682,-0.004642330834,0.05376786087,0.02341160116,0.148696496,0,-0.002599341921,-0.174348224,0.1063710071,0.06326354502,0.01524048593,0.006116847502,0.03686274316,0.006116847502,0.345000006,0.095,0,0,0
0.09,-0.7495949747,-0.01643653944,-0.02174643611,-0.04606094905,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.394935844,1.54844939,-1.45682679,2.05150949,0.7754161491,-0.314307971,-0.4964128764,-1.469527906,1.649336143,0.9902539486,1.543202575,0.4827857678,0.5030231714,-0.9581602171,-0.1202459573,0.005795465913,-0.00791060041,-0.1764509229,-0.004592317478,0.05394758163,0.02353448282,0.1489320297,0,-0.002802546155,-0.1748527157,0.1066740753,0.06359590338,0.01541154769,0.006130835409,0.03687525527,0.006130835409,0.345000006,0.095,0,0,0
0.1,-0.749812771,-0.01689744539,-0.02181387313,-0.04612117548,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.393733384,1.548507344,-1.456905896,2.04974498,0.7753702259,-0.3137684951,-0.4961775316,-1.468038586,1.649336143,0.9902259231,1.541454048,0.4838525086,0.5036591305,-0.9580061016,-0.1203945414,0.005801720841,-0.007887093351,-0.1768227432,-0.004540355564,0.05413283854,0.02365831275,0.1491875566,0,-0.003009692356,-0.1753810332,0.1069948803,0.06394017419,0.01558371115,0.006144821597,0.03688791415,0.006144821597,0.345000006,0.095,0,0,0
0.11,-0.7500312728,-0.01735898138,-0.02188750096,-0.04618693078,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.392529439,1.548565362,-1.456984767,2.047976753,0.7753248224,-0.3132271668,-0.4959409485,-1.466546711,1.649336143,0.9901958262,1.539700238,0.4849224574,0.5042985322,-0.9578502645,-0.1205591988,0.005807345083,-0.007863098698,-0.177215644,-0.004486483874,0.05432356335,0.02378314182,0.1494625939,0,-0.003220832584,-0.1759327298,0.107333114,0.06429618715,0.01575707333,0.006158803117,0.03690072265,0.006158803117,0.345000006,0.095,0,0,0
0.12,-0.7502505411,-0.01782120193,-0.0219671513,-0.04625806464,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.391323847,1.548623435,-1.457063398,2.046204597,0.7752799575,-0.3126839311,-0.4957031171,-1.465052085,1.649336143,0.9901636179,1.537940911,0.4859957885,0.5049414941,-0.9576926938,-0.120739475,0.005812373899,-0.007838622747,-0.1776291429,-0.004430740858,0.05451968644,0.0239090188,0.1497566632,0,-0.003436018146,-0.1765073604,0.1076884711,0.06466377111,0.01593172907,0.006172777153,0.03691368366,0.006172777153,0.345000006,0.095,0,0,0
0.13,-0.7504706353,-0.0182841601,-0.02205265708,-0.04633442786,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.390116452,1.548681559,-1.457141784,2.044428305,0.7752356501,-0.3121387343,-0.4954640269,-1.463554518,1.649336143,0.9901292577,1.536175837,0.4870726732,0.5055881318,-0.9575333765,-0.1209349199,0.005816842068,-0.007813672141,-0.1780627596,-0.004373164635,0.05472113678,0.02403599041,0.1500692904,0,-0.003655299622,-0.177104481,0.1080606493,0.06504275409,0.01610777099,0.006186741012,0.03692680008,0.006186741012,0.345000006,0.095,0,0,0
0.14,-0.7506916132,-0.01874790743,-0.02214385248,-0.04641587235,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.388907103,1.548739727,-1.457219921,2.042647678,0.7751919185,-0.3115915229,-0.495223667,-1.462053825,1.649336143,0.9900927047,1.534404792,0.4881532797,0.5062385593,-0.9573722988,-0.1211450881,0.005820783889,-0.007788253857,-0.1785160162,-0.004313793002,0.05492784208,0.02416410137,0.1504087486,0,-0.00389691356,-0.177723649,0.1084569984,0.06544154131,0.01626686083,0.006200692127,0.03694007485,0.006200692127,0.345000006,0.1,0,0,0
0.15,-0.7509135308,-0.019212494,-0.02224057292,-0.04650225112,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.387695652,1.548797935,-1.457297803,2.040862517,0.7751487806,-0.3110422445,-0.494982026,-1.460549738,1.649336143,0.9900537356,1.532627556,0.4892378497,0.5068929747,-0.9572096302,-0.1213695387,0.005824233187,-0.007762375199,-0.1789884371,-0.004252663434,0.05513972874,0.02429339442,0.1507484595,0,-0.004106623321,-0.1783644232,0.1088544013,0.0658343585,0.01646412989,0.006214628055,0.03695351232,0.006214628055,0.345000006,0.1,0,0,0
0.16,-0.7511364425,-0.01967796841,-0.02234265506,-0.0465934183,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.386481956,1.548856177,-1.457375427,2.039072633,0.7751062539,-0.3104908472,-0.494739092,-1.459042253,1.649336143,0.9900126693,1.530843911,0.4903263937,0.5075513183,-0.9570449889,-0.121607835,0.005827223314,-0.007736043788,-0.1794795494,-0.004189813089,0.05535672193,0.02442391039,0.1511139582,0,-0.004338494751,-0.1790263639,0.1092752594,0.06624650221,0.01664486042,0.006228546472,0.03696711277,0.006228546472,0.345000006,0.1,0,0,0
0.17,-0.7513604012,-0.02014437784,-0.02244993681,-0.04668922913,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.385265878,1.54891445,-1.457452788,2.037277838,0.7750643558,-0.30993728,-0.4944948529,-1.457531113,1.649336143,0.9899692844,1.529053648,0.4914191463,0.5082137833,-0.9568785402,-0.1218595451,0.005829787156,-0.007709267555,-0.1799888822,-0.004125278813,0.05557874566,0.0245556882,0.1514961593,0,-0.004574657782,-0.1797090328,0.1097117576,0.06666935012,0.01682732653,0.006242445178,0.03698088058,0.006242445178,0.345000006,0.1,0,0,0
0.18,-0.751585458,-0.02061176799,-0.0225622573,-0.04678953995,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.384047283,1.548972747,-1.45752988,2.035477949,0.775023103,-0.3093814925,-0.494249296,-1.456016152,1.649336143,0.9899235378,1.527256557,0.4925162639,0.5088804768,-0.956710267,-0.1221242413,0.005831957136,-0.00768205473,-0.1805159673,-0.004059097144,0.05580572275,0.02468876491,0.1518946091,0,-0.004815159703,-0.1804119931,0.1101636078,0.06710272693,0.01701161049,0.006256322091,0.03699481881,0.006256322091,0.345000006,0.1,0,0,0
0.19,-0.7518116626,-0.02108018316,-0.02267945694,-0.04689420822,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.38282604,1.549031067,-1.457606701,2.033672789,0.774982512,-0.3088234353,-0.4940024084,-1.454497206,1.649336143,0.9898753862,1.525452437,0.4936179,0.5095515041,-0.9565401509,-0.1224015002,0.005833765213,-0.007654413838,-0.1810603389,-0.003991304311,0.05603757492,0.02482317576,0.15230886,0,-0.005060050829,-0.1811348095,0.1106305265,0.06754645856,0.01719778897,0.006270175244,0.03700893054,0.006270175244,0.345000006,0.1,0,0,0
0.2,-0.7520390629,-0.02154966621,-0.02280137736,-0.04700309249,-0.05497227503,0.9984878812,0.004999979167,0.9999875,0,0,1.381602025,1.549089405,-1.457683245,2.031862186,0.774942599,-0.3082630595,-0.4937541766,-1.452974117,1.649336143,0.9898247857,1.523641089,0.4947242052,0.5102269687,-0.956368173,-0.122690903,0.005835242887,-0.007626353689,-0.1816215336,-0.003921936244,0.05627422279,0.02495895416,0.1527384616,0,-0.005309366501,-0.1818770483,0.1111122269,0.06800036359,0.0173859511,0.006284002789,0.03702321888,0.006284002789,0.345000006,0.1,0,0,0
