# L_phi_L=0.2856183274,L_phi_R=0.22886121
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.8473935367,-0.05081604137,-0.164584135,-0.03445270789,0,1,0.04997916927,0.9987502604,0,0,1.43116365,1.649336143,-1.058522584,1.351216771,-0.5964059489,0.6161986797,0.5304871721,-1.352349647,1.5429122,1.380544168,1.831314984,-0.7576920281,-0.2320503901,0.06069657129,-0.09923260244,-0.05881411984,-0.0129346223,-0.08113829707,0.04088821864,-0.07311405753,-0.00889759698,0.040609445,0.07573564471,0.0674504449,-0.1752554795,0.1082575959,0.09666188347,-0.1164008949,0.008811553243,0.00584917224,0.00584917224,0,0,0.15,0.105,0
0.01,0.8457477127,-0.05116058019,-0.1645789399,-0.03445622398,0,1,0.04997916927,0.9987502604,0,0,1.430171324,1.648748002,-1.05865193,1.350405388,-0.5959970667,0.6154675391,0.5303981961,-1.351943553,1.543669557,1.381218672,1.82956243,-0.7566094522,-0.2310837712,0.05953256234,-0.09929200387,-0.05882342212,-0.01281585036,-0.08128414736,0.0408458814,-0.07304551656,-0.00906064387,0.04084463277,0.07567256877,0.06740241562,-0.1754264803,0.1081435026,0.09673929625,-0.1162172031,0.008805036061,0.00610514662,0.00610514662,0,0,0.15,0.3999999881,0.0005881411984
0.02,0.844101992,-0.05150518891,-0.1645635197,-0.03446666057,0,1,0.04997916927,0.9987502604,0,0,1.429178404,1.648159768,-1.058780089,1.349592546,-0.5955886079,0.6147370839,0.5303075897,-1.351535106,1.544426282,1.381892696,1.827808165,-0.7555280171,-0.2301163783,0.05837039031,-0.09937778235,-0.058771288,-0.01268714142,-0.08146292276,0.0407792763,-0.07295855203,-0.009223819883,0.04110031511,0.07560737102,0.06735398401,-0.1756242403,0.1080273309,0.09682330248,-0.1160342334,0.008798537675,0.006360974172,0.006360974172,0,0,0.15,0.3999999881,0.00117637542
0.03,0.8424564756,-0.05184993591,-0.1645381205,-0.0344838511,0,1,0.04997916927,0.9987502604,0,0,1.428184626,1.647572055,-1.05890696,1.348777917,-0.5951808152,0.6140074984,0.5302153515,-1.351124103,1.545182356,1.382566236,1.826051922,-0.7544477438,-0.2291481453,0.05721004798,-0.09948412339,-0.05871040296,-0.0125630689,-0.08167399484,0.04069546775,-0.07286029678,-0.0093994417,0.04137611158,0.07553952405,0.06730467723,-0.175848184,0.1079096084,0.09691332682,-0.1158524896,0.008792062087,0.006616647862,0.006616647862,0,0,0.145,0.3999999881,0.0017640883
0.04,0.8408112621,-0.0521948879,-0.1645029867,-0.03450763016,0,1,0.04997916927,0.9987502604,0,0,1.427189785,1.646984951,-1.059032591,1.347961177,-0.5947738605,0.6132788955,0.5301213571,-1.350710342,1.545937751,1.383239283,1.824293441,-0.7533686477,-0.228179012,0.05605152308,-0.09961052293,-0.05864092324,-0.01244350107,-0.08191673663,0.0405949583,-0.07275091464,-0.009587246266,0.04167153947,0.07546904944,0.06725453887,-0.176097739,0.1077903467,0.09700923569,-0.1156719967,0.00878560946,0.006872158858,0.006872158858,0,0.005,0.145,0.1,0.002351192329
0.05,0.8391664475,-0.05254010993,-0.1644583608,-0.03453783358,0,1,0.04997916927,0.9987502604,-1,0,1.42619368,1.646398542,-1.059157026,1.34714201,-0.5943679109,0.6125513863,0.5300254846,-1.350293627,1.546692442,1.383911828,1.822532463,-0.7522907443,-0.2272089196,0.05489480311,0.09735720197,0.2937601562,-0.5652041863,-0.0821905228,0.2910307231,-0.33178696,-0.4794261842,0.0419861194,0.07539596947,0.06720361199,-0.1763723368,0.1076695585,0.09711089712,-0.1154927791,0.008779179947,0.007127498388,0.007127498388,0,0.005,0.145,0.1,0.002937601562
0.06,0.8375221257,-0.05288566544,-0.1644044836,-0.03457429837,-0.009999833334,0.9999500004,0.04997916927,0.9987502604,0,0,1.427167252,1.649336143,-1.064809068,1.346320105,-0.5914576037,0.6092335167,0.5252312227,-1.349873765,1.547446401,1.384583865,1.82076874,-0.7512140487,-0.2262378107,0.05373987532,-0.06752786447,0,-0.1043662627,-0.08249472959,0.08289022109,-0.1151365785,-0.08763330287,0.04231937534,0.0753203071,0.06715193909,-0.1766714123,0.1075472576,0.09721818071,-0.1153148603,0.008803035698,0.007382657745,0.007382657745,0,0.005,0.155,0.1,0
0.07,0.8358783879,-0.05323161623,-0.1643415943,-0.03461686274,-0.009999833334,0.9999500004,0.04997916927,0.9987502604,0,0,1.426491973,1.649336143,-1.06585273,1.345495157,-0.5906287015,0.6080821509,0.5243548897,-1.349450572,1.548199605,1.385255384,1.819002026,-0.7501385761,-0.2252656288,0.05258672672,-0.06785662729,0,-0.1042190236,-0.08282873527,0.0829467409,-0.1148168139,-0.0876390738,0.0426708346,0.07524208596,0.06709956211,-0.1769944043,0.1074234591,0.09733095769,-0.1151382634,0.00880159711,0.007637628288,0.007637628288,0,0.005,0.155,0.1,0
0.08,0.834235323,-0.05357802249,-0.16426993,-0.03466536612,-0.009999833334,0.9999500004,0.04997916927,0.9987502604,0,0,1.425813407,1.649336143,-1.066894921,1.34466687,-0.5897992341,0.6069339828,0.523478499,-1.349023863,1.548952025,1.38592638,1.817232082,-0.7490643415,-0.2242923193,0.05143534408,-0.06820974386,0,-0.1040574317,-0.08319191985,0.08297950123,-0.1144781518,-0.08764047231,0.04304002783,0.07516133036,0.06704652239,-0.1773407549,0.107298179,0.0974491009,-0.1149630107,0.008800151707,0.007892401442,0.007892401442,0,0.005,0.15,0.1,0
0.09,0.8325930177,-0.05392494282,-0.1641897262,-0.0347196491,-0.009999833334,0.9999500004,0.04997916927,0.9987502604,0,0,1.425131309,1.649336143,-1.067935495,1.343834951,-0.588969439,0.6057892013,0.5226020943,-1.348593463,1.549703639,1.386596845,1.815458674,-0.7479913597,-0.2233178283,0.05028571398,-0.068573541,0,-0.1039188361,-0.0835836653,0.08300615678,-0.1141382222,-0.08766892898,0.04342648903,0.07507806529,0.06699286067,-0.1777099103,0.1071714345,0.09757248477,-0.1147891238,0.008798698972,0.008146968705,0.008146968705,0,0.005,0.15,0.1,0
