# L_phi_L=0.19,L_phi_R=0.195
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.01103443414,-0.07692255526,-0.2052782043,-0.03043929357,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.422721915,1.645547713,-1.469869706,1.578685025,0.1209561442,0.02514662305,0.08501884831,-1.353839384,1.548549197,1.204517366,1.503189012,0.04169532772,0.05571779766,-0.6299808132,-0.1195518297,-0.07396260816,0.01324367445,-0.05250794389,0.1058538832,-0.07711456105,-0.05364353516,0.06722837217,0.1009357741,0.04454385116,-0.1951182641,0.1085851029,0.1634865881,-0.01797059717,0.00876557903,0.005634477893,0.005634477893,0.005646241254,0.0004970935417,0.1093537585,0.1295029051,0.003788429855
0.01,0.00898165311,-0.07722696628,-0.2052779019,-0.03044470495,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.421526397,1.644808087,-1.469737269,1.578159946,0.122014683,0.02437547743,0.08448241295,-1.353167101,1.549558555,1.204962804,1.501237829,0.04278117875,0.05735266354,-0.6301605191,-0.1194685012,-0.07341355864,0.01280118028,-0.05264371027,0.1063489505,-0.07688550272,-0.05412663974,0.0673618524,0.1008753509,0.04462838546,-0.1953032159,0.1086466838,0.1635172002,-0.01791001661,0.008757668417,0.005960592208,0.005960592208,0.006822397837,0.001832932916,0.1081776023,0.1281670658,0.004528055937
0.02,0.006928878076,-0.07753148465,-0.205277008,-0.03046070361,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.420331712,1.644073952,-1.469609257,1.577633509,0.1230781725,0.02360662241,0.08394114656,-1.352493482,1.550567308,1.205409088,1.499284797,0.04386764559,0.05898783555,-0.6303396193,-0.1195713037,-0.07315610805,0.01269104078,-0.05360653994,0.1066677842,-0.07603295322,-0.05423331146,0.06774115971,0.1008648465,0.04461291025,-0.196419983,0.1085884931,0.1641990839,-0.01784088154,0.008749831889,0.006286537552,0.006286537552,0.007998550983,0.003274141552,0.1070014496,0.1267258574,0.005262191523
0.03,0.004876114856,-0.07783621448,-0.2052755421,-0.03048693897,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.419135998,1.643342391,-1.469482347,1.577097444,0.1241448504,0.02284629288,0.08339881344,-1.351816071,1.551575957,1.205855217,1.497320597,0.04495353052,0.06062982639,-0.6305180281,-0.1195218231,-0.07248503097,0.01209163447,-0.05372775269,0.1072688015,-0.07584833326,-0.05485536062,0.06790769275,0.100808884,0.04472066261,-0.1965829108,0.1086771397,0.1641787687,-0.0177651064,0.008742043947,0.00661247878,0.00661247878,0.00917469736,0.004450287929,0.1058253037,0.125549711,0.005993752604
0.04,0.002823369075,-0.07814125639,-0.2052735237,-0.0305230639,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.41794078,1.64261754,-1.46936143,1.576560166,0.1252175384,0.02208780954,0.08285025984,-1.351136994,1.552584046,1.206302424,1.495354768,0.04604030191,0.06227161407,-0.6306956792,-0.1195016054,-0.0718116248,0.01148723401,-0.05389125883,0.1078685533,-0.07565037871,-0.05547853158,0.06810257973,0.1007580432,0.04483306805,-0.1967889477,0.1087705671,0.1641727227,-0.01768299115,0.008734336933,0.006938267286,0.006938267286,0.01035083375,0.005626424314,0.1046491677,0.1243735746,0.006718602913
0.05,0.0007706461608,-0.07844670757,-0.2052709718,-0.03056873476,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.416745764,1.641899424,-1.469246558,1.576021253,0.1262962239,0.02133130576,0.08229547452,-1.350455968,1.553591626,1.206750754,1.493386879,0.04712800758,0.0639133413,-0.6308725091,-0.1207535355,-0.07587995358,0.01676549414,-0.05445677407,0.1037692456,-0.07609675886,-0.05174705468,0.06894002704,0.1006105172,0.04454634565,-0.1970703095,0.109189948,0.1640586032,-0.01680728047,0.008726709559,0.00726392071,0.00726392071,0.01152695703,0.006802547598,0.1034730449,0.1231974514,0.007436719162
0.06,-0.001282048647,-0.07875266177,-0.2052679057,-0.03062361137,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.415538229,1.641140624,-1.469078903,1.575476686,0.1273339164,0.02057033817,0.08177800397,-1.349766568,1.554597731,1.207196218,1.491416176,0.04821990706,0.06555392733,-0.6310405819,-0.1215761629,-0.07847401581,0.02019001196,-0.05491834422,0.1011200904,-0.07632134402,-0.04927066599,0.06955826797,0.1005081782,0.04442511145,-0.197379183,0.1094871,0.1640073866,-0.01623958594,0.008718800769,0.007589127654,0.007589127654,0.01251903307,0.007978654505,0.1024809687,0.1223886241,0.008195518697
0.07,-0.0033347103,-0.07905920936,-0.2052643439,-0.03068735701,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.414322467,1.640355884,-1.468877003,1.574927502,0.1283451173,0.01980712473,0.08128529731,-1.349070985,1.555602813,1.207640469,1.489442384,0.04931477806,0.0671940012,-0.6312029778,-0.1216862976,-0.07831165528,0.0201870913,-0.05520082768,0.1011957298,-0.07615103942,-0.04930132305,0.06983220957,0.100471342,0.04455088287,-0.1977066392,0.1095958742,0.1640422969,-0.01613940958,0.008710727981,0.007914034824,0.007914034824,0.01328333193,0.00915474225,0.1017166694,0.1218005802,0.008980258855
0.08,-0.005387333936,-0.07936643737,-0.2052603052,-0.03075963846,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.413105604,1.639572768,-1.468675132,1.574375494,0.1293570746,0.01904561433,0.08079228408,-1.348372663,1.556607527,1.208085978,1.487465317,0.05041073681,0.06883442417,-0.6313643718,-0.1218214528,-0.07814753539,0.02018068645,-0.05551970778,0.1012698712,-0.07596912947,-0.04933228755,0.0701307655,0.100438732,0.04468090219,-0.1980712963,0.10970896,0.1640893346,-0.0160336318,0.008702701026,0.008238854779,0.008238854779,0.01390298635,0.01033080821,0.1010970146,0.1212125472,0.009763375408
0.09,-0.007439914876,-0.07967442949,-0.205255808,-0.03084012594,-0.03302549081,0.9994545097,-0.06271472123,0.9980314944,0,0,1.41188739,1.638791292,-1.468473325,1.573820297,0.1303697733,0.01828592304,0.08029896121,-1.347671355,1.557611914,1.208532787,1.485484604,0.05150782641,0.07047531751,-0.6315247082,-0.1219805844,-0.07798162372,0.02017095135,-0.05587354905,0.1013426334,-0.07577601694,-0.04936356672,0.07045302173,0.1004101338,0.04481506541,-0.1984717137,0.109826239,0.1641479811,-0.01592243471,0.008694719296,0.008563602088,0.008563602088,0.01437744733,0.01150684971,0.1006225532,0.1206245265,0.01054485076
