# L_phi_L=0.19,L_phi_R=0.195
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.3546273028,-0.04983848007,-0.01132708686,-0.001890706024,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515552128,1.64712254,-1.33394922,1.553673788,-0.1653086726,0.2076212501,0.301098795,-1.431952485,1.551427734,1.318744336,1.716566308,-0.2999183972,-0.144693176,-0.3597009913,-0.005392003503,-2.866625248e-06,-0.005604760545,-0.00288862235,0.008126999457,-0.006323087413,-0.006760747013,0.004406528195,0.000831748219,-0.00180690317,-0.01078554916,0.0111970888,0.006508795132,-0.009170412738,0.008976101803,0.007420756706,0.007420756706,0.002637795173,0.004251968116,0.1073622042,0.1142577685,0.002213602864
0.01,0.3545141655,-0.04985737685,-0.01128710076,-0.001887629431,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515498208,1.647122512,-1.334005268,1.553644902,-0.1652274026,0.2075580192,0.3010311875,-1.43190842,1.551436052,1.318726267,1.716458452,-0.2998064264,-0.144628088,-0.3597926954,-0.005376520274,-2.844782387e-06,-0.005567450439,-0.002896801613,0.008065193802,-0.006272146638,-0.006714317984,0.004395764764,0.0008290795215,-0.001790693836,-0.01073888074,0.01112111652,0.006472494375,-0.009104693616,0.008975985287,0.007423254889,0.007423254889,0.002637795173,0.004251968116,0.1073622042,0.1142762884,0.00221363153
0.02,0.354401822,-0.04987621256,-0.01116875878,-0.001878524014,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515444443,1.647122483,-1.334060943,1.553615934,-0.1651467507,0.2074952978,0.3009640443,-1.431864462,1.551444343,1.31870836,1.716351063,-0.2996952152,-0.1445633631,-0.3598837423,-0.005346111229,-2.802865606e-06,-0.005493685119,-0.002912992092,0.007942575927,-0.00617166234,-0.006623060009,0.004374438675,0.0008237111365,-0.001758822711,-0.0106468826,0.01097121015,0.006401037347,-0.008975758516,0.008975869107,0.007425746482,0.007425746482,0.002637795173,0.004251968116,0.1073622042,0.1142951194,0.002213659978
0.03,0.3542910435,-0.04989492785,-0.01097446881,-0.001863575038,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515390982,1.647122455,-1.334115879,1.553586804,-0.1650673249,0.2074335811,0.3008978137,-1.431820718,1.55145258,1.318690771,1.716244594,-0.2995855031,-0.1444993527,-0.3599734999,-0.005301242565,-2.741521543e-06,-0.005384593415,-0.002936946104,0.007761020488,-0.006023173188,-0.006488371847,0.00434287609,0.0008157248319,-0.001711778255,-0.0105109637,0.01074966495,0.006295518856,-0.008785584692,0.008975753587,0.007428224672,0.007428224672,0.002637795173,0.004251968116,0.1073622042,0.114314078,0.002213688007
0.04,0.3541825778,-0.04991346519,-0.01070661658,-0.001842966068,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515337969,1.647122428,-1.334169725,1.553557434,-0.1649897147,0.2073733494,0.30083293,-1.431777289,1.551460737,1.318673654,1.716139485,-0.2994780064,-0.1444363975,-0.3600613558,-0.005242376032,-2.661389931e-06,-0.005241293941,-0.002968418187,0.007522385641,-0.005828203674,-0.006311639003,0.00430140027,0.0008052017375,-0.001650044311,-0.01033251998,0.01045875509,0.006157023461,-0.008536130402,0.00897563904,0.007430682854,0.007430682854,0.002637795173,0.004251968116,0.1073622042,0.1143329764,0.002213715422
0.05,0.3540771485,-0.04993176891,-0.01036756572,-0.001816878964,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515285545,1.647122401,-1.334222138,1.55352775,-0.1649144909,0.2073150674,0.3007698136,-1.431734275,1.551468789,1.318657153,1.71603616,-0.2993734189,-0.1443748273,-0.3601467171,-0.005169968919,-2.563102663e-06,-0.005064895127,-0.00300716509,0.007228513166,-0.005588264115,-0.006094233684,0.004250331589,0.0007922223615,-0.001574100091,-0.0101129343,0.01010073362,0.005986625446,-0.008229334801,0.008975525769,0.007433114619,0.007433114619,0.002637795173,0.004251968116,0.1073622042,0.1143516235,0.002213742036
0.06,0.353975456,-0.04994978511,-0.009959657726,-0.001785493884,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515233846,1.647122375,-1.334272787,1.553497678,-0.1648422058,0.2072591847,0.3007088713,-1.431691772,1.551476711,1.318641412,1.71593503,-0.2992724116,-0.144314961,-0.3602290104,-0.005084474037,-2.447284153e-06,-0.004856495241,-0.003052945763,0.006881228559,-0.005304850656,-0.005837514757,0.004189987553,0.0007768666059,-0.001484420166,-0.009853576465,0.009677832547,0.005785388801,-0.007867117851,0.008975414067,0.007435513765,0.007435513765,0.002637795173,0.004251968116,0.1073622042,0.1143698256,0.002213767667
0.07,0.3538781772,-0.04996746172,-0.009485211958,-0.001748989283,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515183001,1.647122351,-1.334321352,1.553467149,-0.1647733935,0.2072061362,0.3006504961,-1.431649872,1.55148448,1.318626568,1.715836494,-0.2991756332,-0.1442571071,-0.3603076816,-0.004986339698,-2.314551217e-06,-0.004617182414,-0.003105521352,0.006482341126,-0.004979445274,-0.00554282771,0.004120682806,0.0007592137779,-0.001381474451,-0.009555803226,0.009192262796,0.005554367211,-0.007451380241,0.008975304219,0.007437874286,0.007437874286,0.002637795173,0.004251968116,0.1073622042,0.1143873866,0.00221379214
0.08,0.3537859659,-0.04998474842,-0.00894652565,-0.001707541914,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515133137,1.647122328,-1.334367524,1.553436094,-0.1647085701,0.2071563418,0.3005950678,-1.431608665,1.551492072,1.318612753,1.715740936,-0.2990837106,-0.1442015635,-0.3603821954,-0.00487658086,-2.011429157e-06,-0.004347078111,-0.003169913025,0.006033667133,-0.004609069729,-0.005212750892,0.004043123024,0.0007393979164,-0.001266101261,-0.00922514926,0.008645018533,0.005298107179,-0.006985120924,0.008975196498,0.007440190376,0.007440190376,0.002637795173,0.004251968116,0.1073622042,0.1144041095,0.002213815285
0.09,0.3536994532,-0.05000159667,-0.00834587391,-0.001661326828,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515084372,1.647122308,-1.334410995,1.553404395,-0.1646482334,0.2071102511,0.3005429403,-1.431568234,1.551499466,1.318600092,1.715648685,-0.2989972604,-0.1441485824,-0.3604520466,-0.00475978252,-4.531743647e-07,-0.004040282368,-0.003283993782,0.005537128766,-0.004162945426,-0.004857594726,0.003960472484,0.0007178977146,-0.001141465203,-0.008893323182,0.008029601547,0.005043034879,-0.00647829981,0.008975091168,0.007442456512,0.007442456512,0.002637795173,0.004255161451,0.107363052,0.1144182989,0.0022138354
0.1,0.3536192474,-0.05001795965,-0.007685509714,-0.001610517372,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.515036774,1.647122303,-1.334451398,1.553371555,-0.1645928621,0.2070686216,0.3004943644,-1.431528629,1.551506645,1.318588678,1.715559752,-0.2989169644,-0.144098152,-0.3605168296,-0.004626194326,-3.749188293e-07,-0.003714920639,-0.003353792635,0.004994084356,-0.003721781136,-0.004456461786,0.003866014808,0.0006938047067,-0.001001371024,-0.0084869227,0.007369477493,0.00472771638,-0.005912835254,0.008974988472,0.007444667998,0.007444667998,0.002637795173,0.0042878874,0.1073715749,0.1144170731,0.002213839931
0.11,0.3535459346,-0.05003379227,-0.006967663912,-0.001555285191,0.002637792114,0.999996521,0.044237526,0.9990210415,0,0,1.514990512,1.647122299,-1.334488547,1.553338017,-0.1645429213,0.2070314038,0.3004497998,-1.431489969,1.551513583,1.318578664,1.715474882,-0.2988432696,-0.1440508749,-0.360575958,-0.004481697289,-2.758042461e-07,-0.003362934982,-0.003429310786,0.00440652043,-0.003244534096,-0.004022588389,0.003763815739,0.0006677247165,-0.0008498338809,-0.008047288988,0.006655350545,0.00438662865,-0.005301229478,0.008974888665,0.00744681878,0.00744681878,0.002637795173,0.004319552648,0.1073795519,0.1144143874,0.002213843681
