# L_phi_L=1.442199454,L_phi_R=0.2103916211
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,0.4427332599,-0.08557111388,-0.4137278671,0.02927542179,0,1,0.05996400648,0.9982005399,0,0,1.395174208,1.649336143,-1.300206073,1.364334085,-0.272702236,0.3128309865,0.3357005995,-1.318005321,1.542488579,1.32716023,1.587696333,-0.3455230371,-0.1288410919,-0.3157400577,0.08345550477,-0.1953697473,0.06316218052,0.3095220146,0.2308837961,-0.2920169964,0.04060333221,-0.1618064726,0.1602485411,0.1014345828,0.02151763507,0.1882690335,0.1461646621,-0.135450195,0.008735094333,0.005031730794,0.005031730794,0,0,0.13,0.125,0
0.01,0.4385958718,-0.08527834499,-0.4137606355,0.029279816,0,1,0.05996400648,0.9982005399,-1,0,1.396008763,1.647382446,-1.299574451,1.367429305,-0.270393398,0.3099108166,0.3361066328,-1.319623386,1.544091064,1.328174575,1.58791151,-0.3436403467,-0.1273794453,-0.3170945597,0.1909398371,0.1953697473,-0.4869483757,0.3092588211,0.5964368654,-0.4151291157,-0.4323599182,-0.1614345333,0.1604873838,0.1008631738,0.02122270774,0.188316389,0.1465611736,-0.134952601,0.008722364918,0.005546775804,0.005546775804,0,0,0.125,0.125,0.001953697473
0.02,0.4344578323,-0.08498548874,-0.4138578755,0.02929285581,-0.009999833334,0.9999500004,0.05996400648,0.9982005399,0,0,1.397918161,1.649336143,-1.304443935,1.370521893,-0.2644290294,0.3057595254,0.3317830336,-1.321237731,1.545695938,1.329183207,1.588123737,-0.3417571829,-0.1259138335,-0.3184440857,0.1358021655,0,-0.2101352015,0.3090620868,0.4123676811,-0.3521020086,-0.1975351712,-0.1610995698,0.1607468733,0.100306061,0.02095071995,0.1883922908,0.1469703824,-0.1344740543,0.00874090341,0.00606289562,0.00606289562,0,0,0.135,0.125,0
0.03,0.4303185047,-0.08469245976,-0.4140179982,0.02931432814,-0.009999833334,0.9999500004,0.05996400648,0.9982005399,-0.5,0,1.399276183,1.649336143,-1.306545287,1.373612514,-0.2603053526,0.3022385053,0.3298076819,-1.322848727,1.547303407,1.330186268,1.588333244,-0.3398732599,-0.1244441297,-0.3197888262,0.1349270074,0,-0.2090554855,0.3089298258,0.4116434157,-0.3512089204,-0.198708228,-0.1608006226,0.1610272071,0.09976317301,0.02070090198,0.1884954004,0.147392428,-0.1340131609,0.008743779714,0.006580153918,0.006580153918,0,0.005,0.13,0.12,0
0.04,0.426177268,-0.08439917478,-0.4142394264,0.02934402148,-0.01499943751,0.9998875021,0.05996400648,0.9982005399,0,0,1.400625453,1.649336143,-1.308635842,1.376701812,-0.2561889184,0.2987264161,0.3278205996,-1.324456733,1.548913679,1.3311839,1.588540253,-0.3379883059,-0.1229702054,-0.3211289579,0.1340744319,0,-0.2079554614,0.308860089,0.4109606435,-0.3503596995,-0.199857543,-0.1605366026,0.1613279981,0.09923377435,0.02047249829,0.1886250539,0.1478272064,-0.1335691868,0.008746638333,0.007098615278,0.007098615278,0,0.005,0.13,0.12,0
0.05,0.422033517,-0.08410555263,-0.4145205945,0.0293817259,-0.01499943751,0.9998875021,0.05996400648,0.9982005399,-0.5,0,1.401966197,1.649336143,-1.310715396,1.379790413,-0.252079312,0.2952228191,0.3258220242,-1.326062099,1.550526959,1.332176237,1.588744978,-0.3361020554,-0.1214919334,-0.3224646497,0.1332602821,0,-0.2069230385,0.3088509498,0.4103767537,-0.3495716551,-0.2010604098,-0.1603064346,0.1616488537,0.09871714445,0.02026476721,0.1887805931,0.1482746026,-0.1331414073,0.008749479724,0.007618343245,0.007618343245,0,0.005,0.13,0.115,0
0.06,0.4178866621,-0.08381151425,-0.4148599488,0.02942723305,-0.01999866669,0.9998000067,0.05996400648,0.9982005399,0,0,1.4032988,1.649336143,-1.312784627,1.382878923,-0.2479755444,0.2917271026,0.3238114201,-1.327665163,1.552143447,1.333163409,1.588947625,-0.3342142495,-0.1200091873,-0.3237960638,0.1324779454,0,-0.205930082,0.3089005063,0.409871613,-0.3488367621,-0.2022941068,-0.1601090579,0.1619893764,0.09821257767,0.02007698075,0.1889613654,0.148734491,-0.1327291073,0.00875230468,0.008139400294,0.008139400294,0,0.01,0.13,0.115,0
0.07,0.4137361292,-0.08351698265,-0.4152559472,0.02948033612,-0.01999866669,0.9998000067,0.05996400648,0.9982005399,-0.5,0,1.404623579,1.649336143,-1.314843927,1.385967928,-0.2438768283,0.288238735,0.321788479,-1.329266254,1.553763341,1.334145535,1.589148395,-0.3323246358,-0.1185218424,-0.3251233549,0.1317206966,0,-0.204947075,0.3090068801,0.4094239779,-0.3481471107,-0.2035343231,-0.1599434254,0.1623491643,0.09771938305,0.01990842431,0.1891667237,0.1492067357,-0.1323315807,0.008755113858,0.008661847813,0.008661847813,0,0.01,0.13,0.115,0
0.08,0.4095813595,-0.08322188289,-0.4157070595,0.0295408299,-0.02499739591,0.9996875163,0.05996400648,0.9982005399,0,0,1.405940786,1.649336143,-1.316893398,1.389057997,-0.2397825885,0.2847572639,0.3197531358,-1.330865688,1.555386833,1.335122728,1.58934748,-0.3304329686,-0.1170297751,-0.3264466707,0.1309935274,0,-0.2040059699,0.309168217,0.40905407,-0.3475076316,-0.2048101596,-0.159808504,0.162727811,0.09723688406,0.01975839646,0.1893960267,0.1496911908,-0.1319481308,0.008757907769,0.009185746073,0.008757907769,0,0.01,0.13,0.11,0
0.09,0.4054218094,-0.0829261421,-0.4162117668,0.02960851075,-0.02499739591,0.9996875163,0.05996400648,0.9982005399,-0.5,0,1.407250722,1.649336143,-1.318933458,1.392149679,-0.2356920478,0.2812821876,0.3177050342,-1.332463773,1.557014111,1.336095097,1.589545063,-0.3285390083,-0.1155328632,-0.327766152,0.1302942813,0,-0.2031012651,0.3093826857,0.4087569693,-0.3469153451,-0.2061181833,-0.1597032744,0.163124906,0.09676441847,0.01962620872,0.1896486385,0.1501877009,-0.1315780704,0.008760687034,0.009711154211,0.008760687034,0,0.015,0.125,0.11,0
