feedback_sim_time,monotonic_time,q0_target
16.06399999999665,28280.803690314999,1.4084697874835546
16.073999999996662,28280.813405475001,1.4084697874835546
16.083999999996674,28280.823956912001,1.4084697874835546
16.093999999996687,28280.834486840002,1.4084697874835546
16.103999999996699,28280.844990764999,1.4084697874835546
16.113999999996711,28280.855585562,1.4084697874835546
16.123999999996723,28280.866134902,1.4084697874835546
16.133999999996735,28280.876607135,1.4084697874835546
16.143999999996748,28280.887137589001,1.4084697874835546
16.15399999999676,28280.897703815001,1.4084697874835546
16.163999999996772,28280.908229668999,1.4084697874835546
16.173999999996784,28280.918703079999,1.4084697874835546
16.183999999996797,28280.929217408,1.4084697874835546
16.193999999996809,28280.939775606999,1.4084697874835546
16.203999999996821,28280.950270796999,1.4084697874835546
16.213999999996833,28280.960774304,1.4084697874835546
16.223999999996845,28280.971300529,1.4084697874835546
16.233999999996858,28280.981829520999,1.4084697874835546
16.24399999999687,28280.992376775001,1.4084697874835546
16.253999999996882,28281.002998046999,1.4084697874835546
16.263999999996894,28281.013417563001,1.4086102566170255
16.273999999996906,28281.023953256001,1.4086102566170255
16.283999999996919,28281.034492531999,1.4086102566170255
16.293999999996931,28281.045046676001,1.4086102566170255
16.303999999996943,28281.055573254002,1.4086102566170255
16.313999999996955,28281.066056667001,1.4086102566170255
16.323999999996968,28281.076617180999,1.4086102566170255
16.33399999999698,28281.087147938,1.4086102566170255
16.343999999996992,28281.097520795,1.4086102566170255
16.353999999997004,28281.108105300998,1.4086102566170255
16.363999999997016,28281.118579196998,1.4086102566170255
16.373999999997029,28281.129230474002,1.4086102566170255
16.383999999997041,28281.139666578001,1.4086102566170255
16.393999999997053,28281.150195910999,1.4086102566170255
16.403999999997065,28281.160707517,1.4086102566170255
16.413999999997078,28281.171223075999,1.4086102566170255
16.42399999999709,28281.181738192001,1.4086102566170255
16.433999999997102,28281.192250232001,1.4086102566170255
16.443999999997114,28281.202804092001,1.4086102566170255
16.453999999997126,28281.213251740999,1.4086102566170255
16.463999999997139,28281.223759680001,1.4086102566170255
16.473999999997151,28281.234366003999,1.4086102566170255
16.483999999997163,28281.245071140002,1.4086102566170255
16.493999999997175,28281.255456538001,1.4086102566170255
16.503999999997188,28281.266030313,1.4086102566170255
16.5139999999972,28281.27652431,1.4086102566170255
16.523999999997212,28281.287045034001,1.4086102566170255
16.533999999997224,28281.297642664998,1.4086102566170255
16.543999999997236,28281.308182314999,1.4086102566170255
16.553999999997249,28281.318606187,1.4086102566170255
16.563999999997261,28281.329188734999,1.4086102566170255
16.573999999997273,28281.339686182,1.4086102566170255
16.583999999997285,28281.350264371998,1.4086102566170255
16.593999999997298,28281.36079839,1.4086102566170255
16.60399999999731,28281.371333143001,1.4086102566170255
16.613999999997322,28281.381819136001,1.4086102566170255
16.623999999997334,28281.392318162001,1.4086102566170255
16.633999999997346,28281.402857811001,1.4086102566170255
16.643999999997359,28281.413433459002,1.4086102566170255
16.653999999997371,28281.423867604,1.4086102566170255
16.663999999997383,28281.434420374,1.4086102566170255
16.673999999997395,28281.444918531,1.4086102566170255
16.683999999997408,28281.455441318001,1.4086102566170255
16.69399999999742,28281.465997286999,1.4086102566170255
16.703999999997432,28281.476453411,1.4086102566170255
16.713999999997444,28281.486984818999,1.4086102566170255
16.723999999997456,28281.497423411001,1.4086102566170255
16.733999999997469,28281.507969838,1.4086102566170255
16.743999999997481,28281.518457710001,1.4086102566170255
16.753999999997493,28281.52896032,1.4086102566170255
16.763999999997505,28281.539425743002,1.4086102566170255
16.773999999997518,28281.549974522,1.4086102566170255
16.78399999999753,28281.560505786001,1.4086102566170255
16.793999999997542,28281.571091713999,1.4086102566170255
16.803999999997554,28281.581557408001,1.4086102566170255
16.813999999997566,28281.592103154999,1.4086102566170255
16.823999999997579,28281.602581071002,1.4086102566170255
16.833999999997591,28281.613206672999,1.4086102566170255
16.843999999997603,28281.623607162001,1.4086102566170255
16.853999999997615,28281.634183472001,1.4086102566170255
16.863999999997628,28281.644651618,1.4086102566170255
