t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,dmin
0.12,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.125,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.13,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.135,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.14,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.145,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.15,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.155,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.16,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.165,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.17,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.175,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.18,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.185,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.19,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.195,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.2,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.205,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.21,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.215,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.22,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.225,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.23,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.235,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.24,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.245,-0.87266,-0.159105628,0.999733432,1.57490848,-1.47266223,1.42541607,0.830831362,-0.0920681145,-0.404292715,-0.880153372,1.64933614,0.631499366,0.768638166,1.2530232,0.926665684,-0.761071066,0.00759344091
0.25,-0.87266,-0.157512564,1.00415682,1.57528329,-1.47326363,1.43397888,0.832037462,-0.0945260601,-0.407746659,-0.889292751,1.64839132,0.64420255,0.781761604,1.23197056,0.920110014,-0.76952149,0.00760178494
0.255,-0.87266,-0.155894951,1.0086276,1.5756597,-1.4738531,1.44262679,0.8332528,-0.097007266,-0.411230429,-0.900738294,1.64933549,0.663912073,0.794839259,1.2057191,0.910396368,-0.775698823,0.00761025276
0.26,-0.87266,-0.154253542,1.01314325,1.57603757,-1.47443017,1.45135458,0.83447702,-0.0995100216,-0.414741922,-0.910754413,1.64933509,0.678617046,0.807876302,1.18388404,0.902599962,-0.782609635,0.00761884063
0.265,-0.87266,-0.152589108,1.01770121,1.57641636,-1.47499395,1.46015703,0.835709316,-0.102032948,-0.418278761,-0.920602997,1.64933614,0.692431437,0.820852407,1.16312832,0.89501168,-0.789273962,0.00762754361
