t,feedback_sim_time,callback_monotonic_time,q0_meas,q0_command,theta,s
0,16.144999999996749,26392.764669496999,1.4084688723861576,1.4084688723861576,1.5999934176953339e-06,-0.080000424270934248
0.010000000000012221,16.154999999996761,26392.774567265998,1.4084664416195114,1.4084688723861576,1.4793842402049391e-05,-0.080001368280749066
0.020000000000024443,16.164999999996773,26392.785319297,1.4084650406055943,1.4084688723861576,2.1504764666109864e-06,-0.080001243706273664
0.030000000000036664,16.174999999996786,26392.795879066001,1.4084648565318143,1.4084688723861576,-2.0945947386500393e-06,-0.080000999804831302
0.040000000000048885,16.184999999996798,26392.806314835001,1.4084646179662452,1.4084688723861576,-2.0588674356237542e-06,-0.080001019058167894
0.050000000000061107,16.19499999999681,26392.816875639001,1.408464190572615,1.4084688723861576,-9.6039141870732306e-07,-0.08000118308615578
0.060000000000073328,16.204999999996822,26392.827378014001,1.4084637719702899,1.4084688723861576,1.023555659715233e-07,-0.080001342300947909
0.070000000000085549,16.214999999996834,26392.83795841,1.4084634863527523,1.4084688723861576,8.831465323912192e-07,-0.080001438191067031
0.080000000000097771,16.224999999996847,26392.848490378001,1.4084633370005415,1.4084688723861576,1.4032119240091139e-06,-0.080001479197111605
0.090000000000109992,16.234999999996859,26392.859033355999,1.4084632736602876,1.4084688723861576,1.7345230493453643e-06,-0.080001492723898601
0.10000000000012221,16.244999999996871,26392.869730440001,1.4084632485927193,1.4084688723861576,1.9392136769254814e-06,-0.080001498728096865
0.11000000000013443,16.254999999996883,26392.880225544999,1.408463235286515,1.4084688723861576,2.0620165858695554e-06,-0.080001505066861933
0.12000000000014666,16.264999999996895,26392.890792466998,1.4084632245553177,1.4084688723861576,2.1341105213468926e-06,-0.080001512268347161
0.13000000000015888,16.274999999996908,26392.901211379001,1.4084632153294232,1.4084688723861576,2.1766691347552784e-06,-0.080001518742816732
0.1400000000001711,16.28499999999692,26392.911731977001,1.4084632083632695,1.4084688723861576,2.2031256047412739e-06,-0.080001523419410719
0.15000000000018332,16.294999999996932,26392.922328275999,1.4084632038577134,1.4084688723861576,2.2210952611478177e-06,-0.080001526228513711
0.16000000000019554,16.304999999996944,26392.932802791001,1.4084632013106431,1.4084688723861576,2.2343035274230194e-06,-0.08000152767455819
0.17000000000020776,16.314999999996957,26392.943402194,1.4084631999971495,1.4084688723861576,2.2443059135470211e-06,-0.080001528349597881
0.18000000000021998,16.324999999996969,26392.953930768999,1.4084631993263632,1.4084688723861576,2.2517298725411858e-06,-0.080001528682488346
0.19000000000023221,16.334999999996981,26392.964491038001,1.4084631989435963,1.4084688723861576,2.2569678555933721e-06,-0.080001528899082922
0.20000000000024443,16.344999999996993,26392.975066998999,1.4084631986831455,1.408609361343955,2.260438101643441e-06,-0.080001529081606904
0.21000000000025665,16.354999999997005,26392.98555655,1.4087075272657519,1.408609361343955,0.0010735540373390602,-0.079985459084717395
0.22000000000026887,16.364999999997018,26392.996155034001,1.4086127237275725,1.408609361343955,0.00025983607903674573,-0.080005413287887434
0.23000000000028109,16.37499999999703,26393.0066802,1.4085299594031564,1.408609361343955,0.00080888206670815899,-0.08001717994995293
0.24000000000029331,16.384999999997042,26393.017271758999,1.4085125622111765,1.408609361343955,0.0011936820949569372,-0.080010452988441699
