t,feedback_sim_time,callback_monotonic_time,q0_meas,q0_command,theta,s
0,16.087999999996679,24046.863744789,1.4084686212035002,1.4084686212035002,2.6962120602020108e-06,-0.080000259868617987
0.010000000000012221,16.097999999996691,24046.873509020999,1.4084676137101748,1.4084686212035002,3.0436404553052671e-06,-0.080000558615678355
0.020000000000024443,16.107999999996704,24046.883958517999,1.4084665967331813,1.4084686212035002,2.6893717762400971e-06,-0.080000777881974239
0.030000000000036664,16.117999999996716,24046.894432508001,1.4084660397931577,1.4084686212035002,2.6648511706959521e-06,-0.080000901998847712
0.040000000000048885,16.127999999996728,24046.905025683001,1.4084655537825801,1.4084686212035002,2.7835980149309046e-06,-0.080001047735947337
0.050000000000061107,16.13799999999674,24046.915592917001,1.4084651425597177,1.4084686212035002,2.8536186386297564e-06,-0.080001175551358786
0.060000000000073328,16.147999999996753,24046.926102543999,1.4084648365901984,1.4084686212035002,2.8623757227403671e-06,-0.080001269069021788
0.070000000000085549,16.157999999996765,24046.936625053,1.4084646090323609,1.4084686212035002,2.8470412372872644e-06,-0.080001338497408522
0.080000000000097771,16.167999999996777,24046.947444431,1.4084644363516188,1.4084686212035002,2.8305705521951348e-06,-0.080001391535285848
0.090000000000109992,16.177999999996789,24046.957763654998,1.4084643060510982,1.4084686212035002,2.8182277454116374e-06,-0.080001431753878638
0.10000000000012221,16.187999999996801,24046.968347709,1.4084642081871566,1.4084686212035002,2.8090819804402803e-06,-0.080001461992995432
0.11000000000013443,16.197999999996814,24046.978862144999,1.4084641345205904,1.4084686212035002,2.802001528498041e-06,-0.080001484692771588
0.12000000000014666,16.207999999996826,24046.989419837999,1.4084640789956033,1.4084686212035002,2.7963714648121901e-06,-0.080001501724539348
0.13000000000015888,16.217999999996838,24046.999997200001,1.4084640371524746,1.4084686212035002,2.7917978426108028e-06,-0.080001514501934642
0.1400000000001711,16.22799999999685,24047.010421589999,1.4084640056160984,1.4084686212035002,2.7880493377643714e-06,-0.080001524090893533
0.15000000000018332,16.237999999996862,24047.021127939999,1.408463981845987,1.4084686212035002,2.7850069846731891e-06,-0.080001531286469835
0.16000000000019554,16.247999999996875,24047.031646462001,1.4084639639354215,1.4084686212035002,2.7825756220777806e-06,-0.080001536683880464
0.17000000000020776,16.257999999996887,24047.042165395,1.408463950443662,1.4084686212035002,2.7806494878506249e-06,-0.080001540731801615
0.18000000000021998,16.267999999996899,24047.052697782001,1.4084639402804773,1.4084686212035002,2.779126165362028e-06,-0.080001543767741976
0.19000000000023221,16.277999999996911,24047.063212649002,1.4084639326239758,1.4084686212035002,2.7779213492170521e-06,-0.080001546044613861
0.20000000000024443,16.287999999996924,24047.073756058999,1.4084639268557455,1.4091410235190986,2.7769695562768167e-06,-0.080001547751978472
0.21000000000025665,16.297999999996936,24047.084383109999,1.408717177661132,1.4091410235190986,0.0020357776856552122,-0.079997323291054231
0.22000000000026887,16.307999999996948,24047.094792046999,1.4087533148210529,1.4091410235190986,0.0023417797986426637,-0.080009114084603053
0.23000000000028109,16.31799999999696,24047.105358343,1.4087426303822019,1.4091410235190986,0.0023801898471384024,-0.080007932640912799
0.24000000000029331,16.327999999996972,24047.115915146001,1.4088125078667324,1.4091410235190986,0.002659508216356017,-0.079999017732874961
0.25000000000030553,16.337999999996985,24047.126413194001,1.4088974480487844,1.4091410235190986,0.0031164730655761533,-0.079998284439451187
0.26000000000031775,16.347999999996997,24047.136954794001,1.4089643519452357,1.4091410235190986,0.0035696285551982871,-0.080001262799427264
0.27000000000032998,16.357999999997009,24047.147552622999,1.4090135799343795,1.4091410235190986,0.0039301167246524674,-0.080002969370452925
0.2800000000003422,16.367999999997021,24047.158086923999,1.4090488276982476,1.4091410235190986,0.0041958661756760661,-0.080003352596651645
0.29000000000035442,16.377999999997034,24047.168633355999,1.4090735958675844,1.4091410235190986,0.004389329627905619,-0.080003415416542129
0.30000000000036664,16.387999999997046,24047.179230279002,1.4090914189115566,1.4091410235190986,0.0045326700429700649,-0.080003500368682728
0.31000000000037886,16.397999999997058,24047.189772958001,1.4091048129935613,1.4091410235190986,0.0046415075863058099,-0.080003591485976189
0.32000000000039108,16.40799999999707,24047.200321691998,1.4091151437254459,1.4091410235190986,0.0047253778081595412,-0.080003652772026895
0.3300000000004033,16.417999999997082,24047.210877305999,1.4091231336857457,1.4091410235190986,0.0047901179897029324,-0.080003687476576657
0.34000000000041553,16.427999999997095,24047.221454564999,1.4091292673989828,1.4091410235190986,0.0048398595172824913,-0.080003709241451754
0.35000000000042775,16.437999999997107,24047.231964436,1.409133946563649,1.4091410235190986,0.0048779271708798725,-0.08000372484919345
0.36000000000043997,16.447999999997119,24047.242464718001,1.4091375099876196,1.4091410235190986,0.0049070331364184068,-0.080003735841379237
0.37000000000045219,16.457999999997131,24047.253080742001,1.4091402261408552,1.4091410235190986,0.0049293047907381345,-0.080003743167059521
0.38000000000046441,16.467999999997144,24047.263561457999,1.4091422985521713,1.4091410235190986,0.0049463628069896168,-0.080003748120017121
0.39000000000047663,16.477999999997156,24047.274166088999,1.4091438804109089,1.4091410235190986,0.0049594345634521924,-0.08000375166193846
