index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
20,traj_0020,-0.5656406517423466,-0.04432301246767867,-0.04500000178813934,0.0,0.006239453604088479,0,0.006242080771388,0.0364060093216295,0.006242080771388,1.5754619779066073e-05,0.1936935875327956,0,True
21,traj_0021,0.5612392736664054,-0.14602437582970879,0.0,0.0,0.008249765320460435,0,0.008249720370844,0.0089700954588722,0.008249720370844,1.839736373628828e-05,0.4457430379486804,0,True
22,traj_0022,-0.7500958753242095,-0.1413630603200665,-0.01999999955296517,0.0,0.005275889778505486,0,0.005275458326899,0.038150608638697,0.005275458326899,2.3325720070914663e-05,0.2266579617959453,0,True
23,traj_0023,-0.5456626115044514,-0.06944547448224914,-0.03610905095314728,0.0,0.005378217819273658,0,0.0053774933266294,0.0365106926553051,0.0053774933266294,1.4119840965328538e-05,0.2171547958510988,0,True
24,traj_0024,0.4452595911087063,-0.04968230217807401,0.0,0.03776757242373109,0.005773355785379858,0,0.0089721156895264,0.0057726415643497,0.0057726415643497,1.7650582743304528e-05,0.4462560293512574,0,True
25,traj_0025,0.04976256191051398,-0.013710538713892662,0.0,0.0,0.0077365944281321975,0,0.008963847295386,0.0077350231062762,0.0077350231062762,7.933137626021087e-06,0.4585254152204838,0,True
26,traj_0026,-0.7924710471529012,-0.0008879614410142456,-0.054999999701976776,0.0,0.006066529382406978,0,0.006066011753652,0.0364393186872333,0.006066011753652,1.5925127163566848e-05,0.057726590828703,0,True
27,traj_0027,0.7907882088969453,-0.0829983822696992,0.0,0.01999999955296516,0.005530308186836988,0,0.008607732538494,0.0055298512135811,0.0055298512135811,1.8375139018540385e-05,0.4413102494643504,0,True
28,traj_0028,0.07217943414125605,-0.015514784235245438,0.0,0.0013557516849917058,0.005269799616735362,0,0.0089648648144656,0.0052689582347072,0.0052689582347072,7.297899410241591e-06,0.4588925401615844,0,True
29,traj_0029,-0.2135926270193178,-0.12644602459804705,-0.01398587005660388,0.0,0.005531290763989101,0,0.0055384611184308,0.0382133105090889,0.0055384611184308,1.462629964016328e-05,0.4082868737271478,0,True
30,traj_0030,-0.7197380359466504,-0.09391004349688498,-0.02999999932944775,0.0,0.005551128358960789,0,0.0055503522232119,0.0375997175604793,0.0055503522232119,1.5052762807437352e-05,0.1641942263416543,0,True
31,traj_0031,-0.13858899388396884,-0.013785379561923244,-0.009405610123612776,0.0,0.0063221468658956415,0,0.0063370627337724,0.0335468960017803,0.0063370627337724,5.547356660717405e-06,0.4241764936660937,0,True
32,traj_0032,0.18665321710242577,-0.14790585454540975,0.0,0.0,0.008323791023038478,0,0.00832373503744,0.0135154385208511,0.00832373503744,1.644633333808257e-05,0.4459245332634731,0,True
33,traj_0033,-0.8325832930751157,-0.04462762343926885,-0.04074475262690934,0.0,0.005385499341737996,0,0.0053849872788756,0.0371030243324983,0.0053849872788756,1.3454884873822075e-05,0.0701614799070579,0,True
34,traj_0034,-0.4169415452460129,-0.12454834891061665,-0.029999999329447746,0.0,0.006112391043519934,0,0.0061116338640839,0.0378010227812913,0.0061116338640839,9.822437402538636e-06,0.310408810824668,0,True
35,traj_0035,0.20006724601068004,-0.1282118997948182,0.0,0.0,0.008460518328803521,0,0.008460450493381,0.0091814040597946,0.008460450493381,1.845545672832272e-05,0.4460183506026911,0,True
36,traj_0036,-0.0239840423243477,-0.15486345366123114,0.0,0.0,0.008051847971151728,0,0.0080513653897403,0.0376976676443921,0.0080513653897403,1.233991273581923e-05,0.4516271912995231,0,True
37,traj_0037,-0.005141444568789955,-0.11587680149331325,0.0,0.0,0.008314367601397251,0,0.0083137553238416,0.0291206632005555,0.0083137553238416,1.1719573314835394e-05,0.475405843922936,0,True
38,traj_0038,-0.825031338953344,-0.06912804390427724,-0.03500000014901161,0.0,0.005727118462191359,0,0.0057264392607737,0.0374768560741069,0.0057264392607737,1.401330993251472e-05,0.098318115837266,0,True
39,traj_0039,-0.3154323501011139,-0.031426475413542015,-0.05000000074505806,0.0,0.0052327878542439464,0,0.0052325168823777,0.0364829879821969,0.0052325168823777,6.365613286595557e-06,0.3268688495647447,0,True
40,traj_0040,0.45778028533261805,-0.08633612643093634,0.0,0.019999999552965168,0.005586731845786931,0,0.0087181279045106,0.0055861867752108,0.0055861867752108,1.3520577876701976e-05,0.4460887306512453,0,True
41,traj_0041,-0.7275695187237016,-0.0015420991103580195,-0.054999999701976776,0.0,0.006308248169878709,0,0.006307733273283,0.0361606545963759,0.006307733273283,1.462404936232262e-05,0.0912215432016132,0,True
42,traj_0042,0.18100551660990294,-0.07293295024834741,0.0,0.02185423848509576,0.005321418344223391,0,0.0088325043420604,0.0053206943398721,0.0053206943398721,1.6194458025978274e-05,0.4462920595162405,0,True
43,traj_0043,0.7379859626286929,-0.15994201891506415,0.0,0.0,0.008029353396478919,0,0.0080293281560652,0.0106459584089404,0.0080293281560652,3.3242217417501935e-05,0.3136576749530039,0,True
44,traj_0044,-0.4811529196863066,-0.13087844350491118,-0.02500000037252903,0.0,0.005141630416002171,0,0.0051409522162775,0.0382312045368004,0.0051409522162775,2.131925263847469e-05,0.2886312403796351,0,True
45,traj_0045,-0.7730546531609572,-0.11982706924573996,-0.025000000372529026,0.0,0.005676232288388574,0,0.005689065774587,0.0382506759272982,0.005689065774587,1.6872754087334382e-05,0.1831754909942034,0,True
46,traj_0046,-0.35272485442290824,-0.028118358215284273,-0.05000000074505806,0.0,0.005084035783778172,0,0.0050837160300777,0.036404261470948,0.0050837160300777,1.156068188494927e-05,0.3041726090156655,0,True
47,traj_0047,0.04598221602353769,-0.1480986227214354,0.0,0.0,0.008245395464719169,0,0.008244901368805,0.028728982126381,0.008244901368805,1.1862144563763634e-05,0.4566930756779905,0,True
48,traj_0048,-0.29775211840025206,-0.005963512991514236,-0.05999999865889549,0.0,0.00573493361953291,0,0.0057343872622429,0.0363483572173117,0.0057343872622429,5.2760510582006285e-06,0.3336791066124976,0,True
49,traj_0049,-0.5108427213647386,-0.002510064651655236,-0.05499999970197678,0.0,0.00533987310359265,0,0.0053393217842,0.0358625984781631,0.0053393217842,1.4775997525736885e-05,0.2078140063629481,0,True
50,traj_0050,0.2045598501433037,-0.14734102498765916,0.0,0.0,0.008326729328849383,0,0.0083266767537683,0.012916353923214,0.0083266767537683,1.574553208656894e-05,0.4459194097095708,0,True
51,traj_0051,-0.3746766692711775,-0.022069843513575216,-0.054999999701976776,0.0,0.006115863691540967,0,0.0061152902022801,0.0363209511875115,0.0061152902022801,1.769889413213819e-05,0.2900463075583484,0,True
52,traj_0052,0.4011959653962065,-0.15285939644877128,0.0,0.0,0.008253427674868256,0,0.0082533850398527,0.0112954645328703,0.0082533850398527,5.592417956253408e-06,0.4457949899025628,0,True
53,traj_0053,-0.7591393718567367,-0.10036838524992692,-0.029999999329447746,0.0,0.006061440087386034,0,0.0060606508340406,0.0382241387122407,0.0060606508340406,1.8227669513867137e-05,0.1587225429649085,0,True
54,traj_0054,0.8577545753429496,-0.1445232871285402,0.0,0.0,0.008074619720796788,0,0.0080745844659512,0.0082969160137108,0.0080745844659512,3.225042802560723e-05,0.2379210311044415,0,True
55,traj_0055,-0.8049066338427453,-0.029248110781531278,-0.04500000178813934,0.0,0.005408116327145606,1,0.0054094000035132,0.0369116878091608,0.0054094000035132,8.106933394767515e-06,0.0695776131285879,0,True
56,traj_0056,-0.5820319590065196,-0.046056054639061816,-0.042887891376992004,0.0,0.0058554021163029785,0,0.0058549769838301,0.0364008976417232,0.0058549769838301,1.4971104193890504e-05,0.1863784226794169,0,True
57,traj_0057,0.14631600699613023,-0.050153823555022084,0.0,0.02172670003317141,0.005750548528485092,0,0.0089812084428367,0.0057495766137917,0.0057495766137917,1.6262899927196657e-05,0.4463237728792959,0,True
58,traj_0058,0.7686276806502337,-0.0062168660394566755,0.0,0.04804483851097275,0.005116026431804027,1,0.0089743203716614,0.0051150517472582,0.0051150517472582,3.4785882741092906e-06,0.4461721831025271,0,True
