sim_time,monotonic_time,target,q_before,q_after,mode
16.184999999996798,26650.362702494,1.4084627852240683,1.408462884432097,1.4084628843328872,8
16.185999999996799,26650.363754847,1.4084627852240683,1.4084628843328872,1.4084628842394959,8
16.1869999999968,26650.364807041002,1.4084627852240683,1.4084628842394959,1.4084628841515023,8
16.187999999996801,26650.36585926,1.4084627852240683,1.4084628841515023,1.4084628840685116,8
16.188999999996803,26650.366920899,1.4084627852240683,1.4084628840685116,1.4084628839901541,8
16.189999999996804,26650.367979621002,1.4084627852240683,1.4084628839901541,1.4084628839160844,8
16.190999999996805,26650.369017903999,1.4084627852240683,1.4084628839160844,1.4084628838459807,8
16.191999999996806,26650.370067861,1.4084627852240683,1.4084628838459807,1.4084628837795441,8
16.192999999996808,26650.371119857002,1.4084627852240683,1.4084628837795441,1.4084628837164967,8
16.193999999996809,26650.372181358001,1.4084627852240683,1.4084628837164967,1.4084628836565818,8
16.19499999999681,26650.373229851,1.4084627852240683,1.4084628836565818,1.4084628835995621,8
16.195999999996811,26650.374282327,1.4084627852240683,1.4084628835995621,1.4084628835452186,8
16.196999999996812,26650.375334804001,1.4084627852240683,1.4084628835452186,1.4084628834933506,8
16.197999999996814,26650.376386589,1.4084627852240683,1.4084628834933506,1.4084628834437734,8
16.198999999996815,26650.377438620999,1.4084627852240683,1.4084628834437734,1.408462883396318,8
16.199999999996816,26650.378490464998,1.4084627852240683,1.408462883396318,1.4084628833508301,8
16.200999999996817,26650.379542693001,1.4084627852240683,1.4084628833508301,1.4084628833071693,8
16.201999999996819,26650.380603704001,1.4084627852240683,1.4084628833071693,1.4084628832652075,8
16.20299999999682,26650.381652773001,1.4084627852240683,1.4084628832652075,1.4084628832248287,8
16.203999999996821,26650.382704570999,1.4084627852240683,1.4084628832248287,1.4084628831859276,8
16.204999999996822,26650.383768088999,1.4084627852240683,1.4084628831859276,1.4084628831484092,8
16.205999999996823,26650.384826231999,1.4084627852240683,1.4084628831484092,1.4084628831121877,8
16.206999999996825,26650.385875119999,1.4084627852240683,1.4084628831121877,1.4084628830771859,8
16.207999999996826,26650.386926845,1.4084627852240683,1.4084628830771859,1.4084628830433343,8
16.208999999996827,26650.387978735002,1.4084627852240683,1.4084628830433343,1.4084628830105705,8
16.209999999996828,26650.389002559001,1.4084627852240683,1.4084628830105705,1.4084628829788388,8
16.21099999999683,26650.390058374,1.4084627852240683,1.4084628829788388,1.408462882948089,8
16.211999999996831,26650.391111064,1.4084627852240683,1.408462882948089,1.4084628829182764,8
16.212999999996832,26650.39216458,1.4084627852240683,1.4084628829182764,1.4084628828893608,8
16.213999999996833,26650.39321753,1.4086034001271592,1.4084628828893608,1.4084920191038135,8
16.214999999996834,26650.394269593002,1.4086034001271592,1.4084920191038135,1.4085326577137616,8
16.215999999996836,26650.395322657001,1.4086034001271592,1.4085326577137616,1.4085746643077204,8
16.216999999996837,26650.396375917,1.4086034001271592,1.4085746643077204,1.4086128230819239,8
16.217999999996838,26650.397429157001,1.4086034001271592,1.4086128230819239,1.4086447887870281,8
16.218999999996839,26650.398482339999,1.4086034001271592,1.4086447887870281,1.4086698098874944,8
16.219999999996841,26650.399535557,1.4086034001271592,1.4086698098874944,1.4086879710308664,8
16.220999999996842,26650.400589000001,1.4086034001271592,1.4086879710308664,1.4086997836478059,8
16.221999999996843,26650.401642215998,1.4086034001271592,1.4086997836478059,1.408705970836468,8
16.222999999996844,26650.402697230998,1.4086034001271592,1.408705970836468,1.4087073557982264,8
16.223999999996845,26650.403750755999,1.4086034001271592,1.4087073557982264,1.408704799466107,8
16.224999999996847,26650.404804449001,1.4086034001271592,1.408704799466107,1.4086991510138416,8
16.225999999996848,26650.405866087,1.4086034001271592,1.4086991510138416,1.4086911943437397,8
16.226999999996849,26650.406920420999,1.4086034001271592,1.4086911943437397,1.4086815967136921,8
16.22799999999685,26650.407975012,1.4086034001271592,1.4086815967136921,1.4086708954132947,8
16.228999999996851,26650.409053476,1.4086034001271592,1.4086708954132947,1.408659510105269,8
16.229999999996853,26650.410067916,1.4086034001271592,1.408659510105269,1.4086477650398721,8
16.230999999996854,26650.411123618,1.4086034001271592,1.4086477650398721,1.408635912094349,8
16.231999999996855,26650.412178629002,1.4086034001271592,1.408635912094349,1.408624149921905,8
16.232999999996856,26650.413234254,1.4086034001271592,1.408624149921905,1.4086126379456816,8
16.233999999996858,26650.414316347,1.4086034001271592,1.4086126379456816,1.4086015057343231,8
16.234999999996859,26650.415363521999,1.4086034001271592,1.4086015057343231,1.4085908588952409,8
16.23599999999686,26650.416419396999,1.4086034001271592,1.4085908588952409,1.4085807826277241,8
16.236999999996861,26650.417473613001,1.4086034001271592,1.4085807826277241,1.4085713438750123,8
16.237999999996862,26650.418526501999,1.4086034001271592,1.4085713438750123,1.4085625927694987,8
16.238999999996864,26650.419584479001,1.4086034001271592,1.4085625927694987,1.4085545638349111,8
16.239999999996865,26650.420637953001,1.4086034001271592,1.4085545638349111,1.4085472772142211,8
16.240999999996866,26650.421691461001,1.4086034001271592,1.4085472772142211,1.408540740042499,8
16.241999999996867,26650.422757020999,1.4086034001271592,1.408540740042499,1.4085349479823204,8
16.242999999996869,26650.423818224001,1.4086034001271592,1.4085349479823204,1.4085298868800771,8
16.24399999999687,26650.424880916999,1.4086034001271592,1.4085298868800771,1.4085255344742658,8
16.244999999996871,26650.425929337001,1.4086034001271592,1.4085255344742658,1.4085218620806927,8
16.245999999996872,26650.426983172001,1.4086034001271592,1.4085218620806927,1.4085188361859546,8
16.246999999996873,26650.428006622999,1.4086034001271592,1.4085188361859546,1.4085164198938789,8
16.247999999996875,26650.429072616,1.4086034001271592,1.4085164198938789,1.4085145741863414,8
16.248999999996876,26650.430120974001,1.4086034001271592,1.4085145741863414,1.4085132589776828,8
16.249999999996877,26650.431186599999,1.4086034001271592,1.4085132589776828,1.4085124339589601,8
16.250999999996878,26650.432235946999,1.4086034001271592,1.4085124339589601,1.4085120592429405,8
16.25199999999688,26650.433302362999,1.4086034001271592,1.4085120592429405,1.4085120958318817,8
16.252999999996881,26650.434351750999,1.4086034001271592,1.4085120958318817,1.4085125059371257,8
16.253999999996882,26650.435412019,1.4086034001271592,1.4085125059371257,1.4085132531823541,8
16.254999999996883,26650.436460304001,1.4086034001271592,1.4085132531823541,1.4085143027215341,8
16.255999999996884,26650.437513138,1.4086034001271592,1.4085143027215341,1.4085156212990433,8
16.256999999996886,26650.438566361001,1.4086034001271592,1.4085156212990433,1.4085171772742735,8
16.257999999996887,26650.439620009001,1.4086034001271592,1.4085171772742735,1.4085189406272225,8
16.258999999996888,26650.440673153,1.4086034001271592,1.4085189406272225,1.4085208829560187,8
16.259999999996889,26650.441738292,1.4086034001271592,1.4085208829560187,1.408522977472588,8
16.260999999996891,26650.442786551001,1.4086034001271592,1.408522977472588,1.4085251989990222,8
16.261999999996892,26650.443838714,1.4086034001271592,1.4085251989990222,1.4085275239647277,8
16.262999999996893,26650.444904110998,1.4086034001271592,1.4085275239647277,1.4085299304029788,8
16.263999999996894,26650.445966081999,1.4086034001271592,1.4085299304029788,1.4085323979448712,8
16.264999999996895,26650.447026950998,1.4086034001271592,1.4085323979448712,1.4085349078086382,8
16.265999999996897,26650.448087948,1.4086034001271592,1.4085349078086382,1.4085374427826143,8
16.266999999996898,26650.449149062999,1.4086034001271592,1.4085374427826143,1.4085399872006434,8
16.267999999996899,26650.450210475999,1.4086034001271592,1.4085399872006434,1.4085425269092915,8
16.2689999999969,26650.451259574998,1.4086034001271592,1.4085425269092915,1.4085450492267511,8
16.269999999996902,26650.452312189002,1.4086034001271592,1.4085450492267511,1.4085475428937706,8
16.270999999996903,26650.453378153001,1.4086034001271592,1.4085475428937706,1.4085499980172871,8
16.271999999996904,26650.454439796998,1.4086034001271592,1.4085499980172871,1.4085524060076786,8
16.272999999996905,26650.455488593001,1.4086034001271592,1.4085524060076786,1.4085547595107029,8
16.273999999996906,26650.456553909,1.4086034001271592,1.4085547595107029,1.4085570523352569,8
16.274999999996908,26650.457602457998,1.4086034001271592,1.4085570523352569,1.408559279378099,8
16.275999999996909,26650.458668119001,1.4086034001271592,1.408559279378099,1.4085614365466381,8
16.27699999999691,26650.459716744001,1.4086034001271592,1.4085614365466381,1.4085635206808225,8
16.277999999996911,26650.460769286001,1.4086034001271592,1.4085635206808225,1.4085655294750681,8
16.278999999996913,26650.461834999001,1.4086034001271592,1.4085655294750681,1.4085674614010639,8
16.279999999996914,26650.462888411999,1.4086034001271592,1.4085674614010639,1.4085693156321806,8
16.280999999996915,26650.463951256999,1.4086034001271592,1.4085693156321806,1.4085710919700993,8
16.281999999996916,26650.465002688001,1.4086034001271592,1.4085710919700993,1.4085727907741723,8
16.282999999996917,26650.466005959999,1.4086034001271592,1.4085727907741723,1.4085744128939244,8
16.283999999996919,26650.467058831,1.4086034001271592,1.4085744128939244,1.4085759596050134,8
16.28499999999692,26650.468124742001,1.4086034001271592,1.4085759596050134,1.4085774325488833,8
16.285999999996921,26650.469173093999,1.4086034001271592,1.4085774325488833,1.4085788336762659,8
16.286999999996922,26650.470229186001,1.4086034001271592,1.4085788336762659,1.4085801651946237,8
16.287999999996924,26650.471280227001,1.4086034001271592,1.4085801651946237,1.408581429519566,8
16.288999999996925,26650.472333115998,1.4086034001271592,1.408581429519566,1.4085826292302237,8
16.289999999996926,26650.473386194,1.4086034001271592,1.4085826292302237,1.4085837670285239,8
16.290999999996927,26650.474439067999,1.4086034001271592,1.4085837670285239,1.4085848457022736,8
16.291999999996928,26650.475493180998,1.4086034001271592,1.4085848457022736,1.4085858680919305,8
16.29299999999693,26650.476558537001,1.4086034001271592,1.4085858680919305,1.4085868370609211,8
16.293999999996931,26650.477606727,1.4086034001271592,1.4085868370609211,1.408587755469344,8
16.294999999996932,26650.47865999,1.4086034001271592,1.408587755469344,1.4085886261508869,8
16.295999999996933,26650.479713407,1.4086034001271592,1.4085886261508869,1.4085894518927762,8
16.296999999996935,26650.480779353999,1.4086034001271592,1.4085894518927762,1.40859023541857,8
16.297999999996936,26650.481829034001,1.4086034001271592,1.40859023541857,1.4085909793736058,8
16.298999999996937,26650.482895918001,1.4086034001271592,1.4085909793736058,1.4085916863129087,8
16.299999999996938,26650.483957484001,1.4086034001271592,1.4085916863129087,1.4085923586913733,8
16.300999999996939,26650.485025859001,1.4086034001271592,1.4085923586913733,1.408592998856028,8
16.301999999996941,26650.486074516,1.4086034001271592,1.408592998856028,1.4085936090401996,8
16.302999999996942,26650.487127376,1.4086034001271592,1.4085936090401996,1.4085941913594024,8
16.303999999996943,26650.488193033001,1.4086034001271592,1.4085941913594024,1.4085947478087752,8
16.304999999996944,26650.489241316998,1.4086034001271592,1.4085947478087752,1.4085952802619046,8
16.305999999996946,26650.490294740001,1.4086034001271592,1.4085952802619046,1.408595790470875,8
16.306999999996947,26650.491348826999,1.4086034001271592,1.408595790470875,1.4085962800673981,8
16.307999999996948,26650.492401648,1.4086034001271592,1.4085962800673981,1.408596750564878,8
16.308999999996949,26650.493454144998,1.4086034001271592,1.408596750564878,1.4085972033612804,8
16.30999999999695,26650.494507423999,1.4086034001271592,1.4085972033612804,1.4085976397426829,8
16.310999999996952,26650.495560988998,1.4086034001271592,1.4085976397426829,1.4085980608873898,8
16.311999999996953,26650.496613618001,1.4086034001271592,1.4085980608873898,1.4085984678705055,8
