t_s,theta_rad,s_m,phi_L,phi_R,d_min_m,max_qdot_rad_s
0.26,0.5953341713916515,-0.10345846878995375,0.08428643594495955,0.09184700096491724,0.008224409210168657,0.09157682654674648
0.27,0.5944728726207176,-0.10360966156104615,0.0843761250888929,0.09205125189386308,0.008223505979283658,0.09213717852767367
0.28,0.5936140664663216,-0.10376218519891112,0.0845472046779469,0.09228594325482846,0.008222335200859231,0.0927071612747632
0.29,0.5927577916935151,-0.10391606040112408,0.08473466712981466,0.09254418664611877,0.008221094089934957,0.09348293823820963
0.3,0.5919040836533773,-0.10407130604246044,0.08495748032815757,0.09279762114398182,0.008219729316486962,0.09412997134068402
0.31,0.591052974325672,-0.1042279391976703,0.08521023734472695,0.09307664752006532,0.008218261344485651,0.09472355235269347
0.32,0.5902044923615017,-0.10438597516425327,0.08549128239043059,0.09337098637595774,0.008216695482510548,0.09532365764974848
0.33,0.5893586631259636,-0.10454542748523313,0.08577892474830152,0.0935925835557282,0.008215100851909973,0.09592957261193025
0.34,0.588515508740805,-0.10470630797193262,0.08607263769954444,0.09377325274050237,0.008213502198738435,0.09654054026715375
0.35000000000000003,0.5876750481270786,-0.10486862672674813,0.08633548538200558,0.09392419832758607,0.008212000198835119,0.09715583531422212
0.36,0.5868372970477979,-0.10503239216592446,0.08659477612003685,0.09408536700066181,0.008210500845949311,0.09788963580807941
0.37,0.5860022681505928,-0.10519761104232953,0.08682433113455773,0.09422719050664456,0.008209083579264429,0.0989829283052801
0.38,0.5851699710103646,-0.10536428846822915,0.08704857992939652,0.09438184153754266,0.008207674458527766,0.09961250184977732
0.39,0.5843404121719421,-0.10553242793806172,0.08725590117741377,0.0945536471810192,0.008206309072654076,0.10024359743792122
0.4,0.5835135951927366,-0.10570203135121299,0.08745789363048972,0.09477898845914753,0.008204951815712085,0.10087549225190617
0.41000000000000003,0.5826895206853969,-0.10587309903479078,0.0876649705739692,0.09504956470336767,0.008203570783954055,0.10150755256492783
0.42,0.5818681863604658,-0.10604562976639968,0.08786426416598261,0.09533696756232532,0.008202205404332957,0.10213914297383386
0.43,0.5810495870690342,-0.10621962079691587,0.08807779254857452,0.09566996621433647,0.008200788303520095,0.10276953745425033
0.44,0.5802337148453979,-0.10639506787326176,0.08828639126848431,0.09597900826949628,0.00819937818616974,0.10339822826044287
0.45,0.5794205589497118,-0.1065719652611808,0.08848507260438056,0.09623370843473823,0.00819799032261262,0.10402454237592451
0.46,0.578610105910646,-0.10675030576801216,0.08867477405816318,0.09645649721380324,0.00819662185927702,0.10464777485108545
0.47000000000000003,0.5778023395680412,-0.10693008076546547,0.08884491136763246,0.09664691351819785,0.008195305142356666,0.10526734164431062
0.48,0.5769972411155636,-0.1071112802123956,0.08900298329070212,0.09682661633938552,0.008194017266481477,0.10588259421688839
0.49,0.5761947891433612,-0.10729389267757734,0.08914404017385097,0.09698330333456398,0.00819277335716736,0.106492994506735
0.5,0.5753949596807183,-0.10747790536248018,0.08926834646612407,0.09712738200556488,0.008191563822016202,0.10726537530822977
0.51,0.5745977262387114,-0.10766330412404297,0.08937833667034284,0.09726751084439457,0.008190385073458612,0.10852970593875355
0.52,0.5738030598528648,-0.10785007349744877,0.0894930431060493,0.09740017693955452,0.008189184012561248,0.10920754037377911
0.53,0.5730109291258054,-0.10803819671889944,0.0896232772199437,0.09752877417951823,0.008187928032880671,0.10979753789475133
0.54,0.5722213002699188,-0.10822765574839054,0.089760717228055,0.0976617725333199,0.00818664264772816,0.11037974693253183
0.55,0.571434137150004,-0.10841843129248588,0.08991266564000397,0.09779390797019005,0.008185305802857297,0.11095367241193976
0.56,0.5706494013259297,-0.1086105028270924,0.09008003443479537,0.0979192545823753,0.008183914925907415,0.11151874670103368
0.5700000000000001,0.5698670520952889,-0.10880384862023489,0.09025729887653142,0.0980323814135045,0.008182487015593673,0.1120743556874304
0.58,0.5690870465360547,-0.10899844575483059,0.09043731336481868,0.09813809364801274,0.008181043964704864,0.11262007756267511
0.59,0.5683093395492358,-0.10919427015146409,0.09060997513588517,0.09823178863618524,0.008179616601916542,0.11315541315799482
0.6,0.5675338839015316,-0.10939129659116198,0.09077855494804679,0.09831490069627763,0.008178195128132044,0.11367986757422344
0.61,0.566760630267988,-0.10958949873816759,0.09093987619969993,0.09838387773139404,0.008176789319160393,0.11419296158559078
0.62,0.5659895272746523,-0.10978884916271572,0.09109251532237976,0.09844327316153796,0.008175403623883535,0.11469421599326068
0.63,0.5652205215412295,-0.10998931936380743,0.0912348326621577,0.0984965966641903,0.008174043141926149,0.11518316590259925
0.64,0.5644535577237365,-0.11019087979198469,0.09136568350251763,0.09853991036885419,0.008172709934185634,0.11637488926417028
0.65,0.5636885785571586,-0.11039349987210514,0.09149358919356017,0.09858889571274632,0.008171379812032236,0.11688241235878749
0.66,0.5629255248981044,-0.11059714802611686,0.09162232354748992,0.09864734171424062,0.008170041631923837,0.1173361594282607
0.67,0.5621643357674614,-0.1108017916958331,0.0917540533421561,0.09871121361851694,0.008168689051538407,0.11777573431153154
0.68,0.561404948393051,-0.11100739736570696,0.0918919655587524,0.09877840847941118,0.008167321286788569,0.11820071605699312
0.6900000000000001,0.5606472982522845,-0.11121393058560616,0.0920366690168157,0.09884567753411831,0.008165934888247676,0.11861069671554869
0.7000000000000001,0.5598913191148184,-0.1114213559935878,0.09219045393168925,0.09891655869316311,0.008164517368422044,0.11900527100532354
0.71,0.5591369430852094,-0.11162963733867304,0.09235179468523709,0.09898665464948864,0.00816307343063265,0.11938405717855094
0.72,0.5583841006455702,-0.11183873750362186,0.09252141159027813,0.09905417707515882,0.008161599379162715,0.11978229587241707
0.73,0.5576327206982248,-0.11204861852770781,0.09269793779589233,0.09911917211953551,0.008160091659679798,0.12031318864524909
0.74,0.556882730608364,-0.11225924162949272,0.09287278579082338,0.09917463254649193,0.008158585176702577,0.12064219616694238
0.75,0.5561340562467006,-0.11247056722960143,0.09304325386416165,0.0992181613657158,0.008157088000869967,0.12095396971958383
0.76,0.5553866220321254,-0.11268255497349655,0.09320416110567746,0.09924936036695728,0.008155613936965109,0.12195202097144975
0.77,0.5546403509743615,-0.11289516375425318,0.09333988294936714,0.09925834689958721,0.008154209683658063,0.12234466594394089
0.78,0.5538951647166209,-0.11310835173533362,0.09345289985882116,0.09924813695048217,0.008152868411033519,0.12260549923335251
0.79,0.5531509835782594,-0.11332207637336217,0.09354942378122356,0.09922300919221018,0.008151572275191662,0.12284765135135434
0.8,0.5524077265974319,-0.11353629444089976,0.09363782443106171,0.09919097641861302,0.008150297236873131,0.12307081439575374
0.81,0.5516653115737478,-0.11375096204921879,0.09372077025007453,0.0991551355752745,0.008149035802732454,0.12327469591106865
0.8200000000000001,0.550923655110927,-0.1139660346710778,0.09380207408918063,0.09911847540090096,0.00814777719490793,0.12345901200123688
0.8300000000000001,0.5501826726594546,-0.11418146716349624,0.09388499476248394,0.09908315220644003,0.008146512265604705,0.12362348983299132
0.84,0.5494422785592368,-0.11439721379052915,0.09397107169730584,0.09904944638401507,0.008145236855331516,0.1237678688758459
0.85,0.5487023860822557,-0.11461322824604198,0.09406317397719244,0.09901891848683594,0.008143942983497474,0.12389189487309604
0.86,0.5479629074752259,-0.11482946367648521,0.09416178499348456,0.09898856985062598,0.008142629569395298,0.1239953333712851
0.87,0.5472237540022483,-0.11504587270366921,0.09426841204985971,0.09895899992814525,0.008141292198904169,0.12425970316769508
0.88,0.546484835987467,-0.11526240744753886,0.09438629470299924,0.09893455918907425,0.008139920839178468,0.12499781615884498
0.89,0.545746062857724,-0.11547901954894838,0.09450950859580183,0.09891917309694695,0.008138534351922667,0.12503901413947194
0.9,0.5450073431852145,-0.11569566019243599,0.09463288843631738,0.09891075100429593,0.008137147909320677,0.12505856752615951
0.91,0.5442685847301426,-0.11591228012899865,0.09475094118621194,0.09890500761073785,0.008135777590594485,0.12505628394261503
0.92,0.543529694483377,-0.1161288296988669,0.0948625602666288,0.09890141719391982,0.00813442684098601,0.1250319726432192
0.93,0.5427905787091054,-0.1163452588542794,0.09496629464440041,0.09889914683146349,0.008133100088743376,0.12498545999994892
0.9400000000000001,0.5420511429874914,-0.11656151718225785,0.09506088478490704,0.09889690650350536,0.008131801204794944,0.1249165823167031
0.9500000000000001,0.5413112922573283,-0.11677755392738164,0.09514676635852078,0.09889550546893593,0.008130529194054749,0.12482518410457111
0.96,0.540570930858696,-0.11699331801456254,0.09522328883176663,0.09889509534031281,0.008129278839117696,0.12485099778136721
0.97,0.5398299625756153,-0.11720875807181957,0.09529430763563135,0.0988963272679121,0.00812804273247163,0.12478977601180219
0.98,0.5390882906787041,-0.11742382245305358,0.0953636324219405,0.09890074290470698,0.008126814197925271,0.1246304487103167
0.99,0.5383458179678321,-0.11763845926082206,0.09543212801450857,0.09890717493534798,0.008125589802697834,0.12501366878476805
1.0,0.537602446814777,-0.11785261636911391,0.09550926632713519,0.09891625487555761,0.008124343382533757,0.12511787972580013
1.01,0.536858079205879,-0.1180662414461241,0.09559836433734738,0.09892625094992585,0.008123066520225436,0.12488761836777496
1.02,0.5361126167846975,-0.11827928197702843,0.09569766141939902,0.09893608149131072,0.008121764615823646,0.12463385868664023
1.03,0.5353659608946649,-0.11849168528675827,0.09580186172621319,0.0989435524509918,0.00812045313995113,0.12435652823632459
1.04,0.5346180126217434,-0.1187033985627753,0.09590724027715618,0.09894744764188547,0.00811914304793118,0.12405556369108339
1.05,0.5338686728370797,-0.11891436887784625,0.09601193357957521,0.09894785800109278,0.008117839966164572,0.12373091104036504
1.06,0.5331178422396609,-0.11912454321281758,0.09611331516411149,0.09894402115697633,0.008116551680347524,0.12338252749202194
1.07,0.532365421398969,-0.1193338684793903,0.09620986666297533,0.09893667200381062,0.008115282805378439,0.12301037879636212
1.08,0.5316113107976376,-0.11954229154289464,0.09630004208302119,0.0989255705816777,0.008114038024517744,0.122614442494684
1.09,0.5308554108741063,-0.11974975924506477,0.09638263811822974,0.098910129879705,0.00811282103690385,0.12219470590180137
1.1,0.5300976220652764,-0.11995621842681362,0.0964571178168989,0.09889002346467353,0.008111633641327163,0.1217511659641346
1.11,0.5293378448491667,-0.12016161595100752,0.09652185461483889,0.09886486664913721,0.008110479226958536,0.12196279752354489
1.12,0.5285759797875684,-0.12036589872524098,0.09657702195458108,0.09882243446922988,0.008109358675289587,0.12165158345014415
1.1300000000000001,0.5278119275687009,-0.12056901372461143,0.09662639846792438,0.09876064002663955,0.008108261944560267,0.12113254398065099
1.1400000000000001,0.5270455890498666,-0.12077090801449392,0.0966738639317918,0.09868312908253758,0.008107178325115046,0.12058957113363356
1.1500000000000001,0.5262768653001074,-0.1209715287733159,0.09672070482163683,0.0985942279283063,0.008106104476042866,0.12002271483482208
1.16,0.5255056576428591,-0.12117082331533191,0.09676743714488105,0.0984963083352068,0.008105039244501212,0.11943203634965371
1.17,0.5247318676986071,-0.12136873911339834,0.0968153689184691,0.09839105234165801,0.008103979239892737,0.11881760587584278
1.18,0.5239553974275423,-0.12156522382174814,0.09686498095979908,0.09827999324222221,0.008102923417027634,0.11817950304173763
1.19,0.5231761491722158,-0.12176022529876561,0.09691695092129515,0.09816367463824464,0.008101863789282016,0.11763962919966175
1.2,0.5223940257001948,-0.12195369162976104,0.0969694839266594,0.098040737669553,0.008100806707768205,0.11705802381507535
1.21,0.5216089302467178,-0.12214557114974553,0.0970196250546723,0.09791052006800785,0.008099766200895767,0.11635040887632009
1.22,0.5208207665573502,-0.12233581246620569,0.09706617548712523,0.09777536193524614,0.00809874593880359,0.11561954403132013
1.23,0.5200294389306396,-0.12252436448187835,0.09710995947592886,0.0976373963119568,0.008097743642894683,0.11497083987377366
1.24,0.5192348522607709,-0.12271117641752537,0.09714915856719011,0.0975000680066751,0.008096763387060368,0.11489748021178414
1.25,0.5184369120802226,-0.12289619783470827,0.09717752700322302,0.09737422153969423,0.00809582463582164,0.11409067629086778
1.26,0.5176355246024211,-0.12307937865856305,0.09719507019384759,0.09725946355528325,0.008094927616846425,0.1132609944672236
1.27,0.5168305967643971,-0.12326066920057487,0.09720409857138287,0.097153810098871,0.00809406607370787,0.11240860693568777
