t,sim_time,theta_ref,s_ref,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.1,26.994,0.001255740993,-0.07980864878,0.0004740350872,-0.07991343347,-0.0001513630756,0.001250640149,0.005975396535,0.001412375983,4.403571901e-05,4.060225272e-05,0.4705452323,0.2148052305,0.2352726161,0.1074026152,1,0.01303357502,0.00463445444,0.008488876793,0.3710155311,0.192408,0.004353969298,8.804799199e-06,5.451067091e-06,0.0001324874761,0.0001233226816,ok,4,1,1.408151593,1.608167077,-1.430892812,1.569754389,0.09280074067,0.01889265904,0.1211170971,-1.363190738,1.60380569,1.271871474,1.486788389,-0.005502019612,0.06494939664,-0.5699381217,1.408207729,1.605423533,-1.42742777,1.569967625,0.08941906935,0.01886786645,0.1248272524,-1.363856063,1.604694079,1.273313337,1.487592492,-0.00730191677,0.06435669884,-0.5683255947
0.11,27.004,0.001381131117,-0.07978984026,0.000211896982,-0.07988960519,0.008820598703,0.00135512009,0.006405762649,0.001618779369,0.0001889518894,0.0001680344737,0.5282036066,-0.001291307737,0.2641018033,-0.0006456538686,1,0.01432881675,0.001599409753,0.008485389918,0.4122536713,0.223071,0.003231181445,5.173987333e-05,6.948573413e-05,0.0005269146753,0.000538094431,ok,4,1,1.408140706,1.607806301,-1.430548285,1.569836977,0.09239576028,0.01890814958,0.1215960709,-1.363271094,1.603960416,1.271951072,1.486849245,-0.005726604211,0.06486091661,-0.569684544,1.408172872,1.604726062,-1.426578886,1.570001157,0.08862295319,0.01884099496,0.1257186076,-1.363560183,1.603535856,1.271871577,1.487713353,-0.006190065956,0.06425368391,-0.5696366835
0.12,27.014,0.001506466713,-0.07977103992,0.0003034740392,-0.07986876086,0.02345539807,0.0007083040329,0.006879055956,0.001635361861,0.0001758245321,0.0001738410879,0.5704488754,-0.07382276654,0.2852244377,-0.03691138327,1,0.01543578909,0.0005280203624,0.008482226759,0.4495294924,0.170416,0.003676601024,1.223114622e-05,0.0001066264814,0.0004533723889,0.0005498657287,ok,4,1,1.408141329,1.607423259,-1.430014544,1.569889697,0.09198126381,0.01890807647,0.1220420066,-1.363295519,1.603980954,1.271903779,1.486922387,-0.005798770993,0.06477116803,-0.5696549345,1.408147191,1.604091388,-1.425802724,1.570034673,0.0878891862,0.01882059446,0.1265373015,-1.363477282,1.603068278,1.271316613,1.487834156,-0.005819164654,0.06415562085,-0.5701156038
0.13,27.024,0.001631742834,-0.0797522485,0.0005782820142,-0.0798591079,0.02285379946,0.0004454212996,0.007379732835,0.001577237302,0.0001028345928,0.0001063513985,0.7818439007,0.2606414258,0.3909219503,0.1303207129,1,0.01910739135,0.00548685869,0.008473210019,0.609918477,0.221011,0.003985418188,2.183195134e-05,6.258121738e-05,0.0002580318851,0.0003171178685,ok,4,1,1.408152287,1.607048228,-1.429469942,1.56988747,0.09151464753,0.01888560446,0.1225518834,-1.36331994,1.603875753,1.271893658,1.487033428,-0.005806628406,0.06469809677,-0.5697434855,1.407957755,1.602336989,-1.423731355,1.570068173,0.08604744024,0.01868640391,0.1286510681,-1.364112186,1.604919412,1.273739287,1.487954896,-0.007936479074,0.06407258542,-0.5677997355
0.14,27.034,0.001756954533,-0.07973346675,0.001372373359,-0.07986551219,0.003694855589,0.00125566053,0.008046514177,0.001778838327,0.0001792995384,0.0001482772656,0.7780416012,0.2506638467,0.3890208006,0.1253319234,1,0.01971713819,0.005538796028,0.008470722083,0.6092020517,0.160906,0.005425183475,8.180004297e-05,9.332160134e-05,0.0005083551982,0.000491166483,ok,4,1,1.40816812,1.606564299,-1.428705249,1.569779131,0.09087528505,0.01881207685,0.1232258847,-1.363411203,1.603859726,1.272302307,1.487230646,-0.006044327595,0.06467122903,-0.5696254518,1.407951248,1.601833554,-1.423107197,1.570101655,0.0854440281,0.01867955476,0.1293179052,-1.364187385,1.604961252,1.273838557,1.488075568,-0.008112200509,0.06397763598,-0.5676645664
0.15,27.044,0.001882096869,-0.0797146954,0.001384200259,-0.07984522587,-0.01450321323,0.002293633069,0.008727805375,0.001986783369,0.0001178782378,9.334588413e-05,0.5799244642,-0.06440393627,0.2899622321,-0.03220196813,1,0.01742667234,0.001020724325,0.008474750146,0.4550765569,0.115862,0.005325763185,3.788800309e-05,5.911822841e-05,0.0003252709616,0.0002885248448,ok,4,1,1.408153019,1.606022575,-1.428116193,1.569797763,0.09022092247,0.01879449334,0.123992142,-1.363483414,1.603934739,1.272422356,1.487363177,-0.006304327445,0.06459896297,-0.5693454558,1.408126972,1.60257666,-1.423924978,1.570135117,0.08607421243,0.01879934476,0.1285429076,-1.363714786,1.603225062,1.271656496,1.488196168,-0.006380778318,0.06386832286,-0.5696716016
0.16,27.054,0.002007164899,-0.07969593519,0.0008577898153,-0.07980963109,-0.004283874758,0.00174535484,0.009264532486,0.001953729349,0.0001496685173,0.0001447268646,0.4986872375,-0.08858432621,0.2493436188,-0.0442921631,1,0.01674484105,0.0006249644558,0.008475472432,0.3894969299,0.117762,0.003938459818,7.362559594e-05,9.661144066e-05,0.0004114528297,0.0004784168091,ok,4,1,1.408116683,1.605521605,-1.427766665,1.569956667,0.08971656687,0.01884041837,0.1246044477,-1.363508845,1.603977608,1.272141647,1.48737718,-0.006326237893,0.06446513311,-0.5692735417,1.408210172,1.602687278,-1.424011147,1.570168559,0.08607855307,0.0188548273,0.128499417,-1.363707683,1.603001057,1.271414666,1.48831669,-0.006271170091,0.06377144174,-0.5698569119
0.17,27.064,0.002132153688,-0.07967718687,0.0009016744634,-0.07979700652,0.01233408873,0.0008395902735,0.009724333064,0.001893777789,0.0001565043123,0.0001405100128,0.6277044415,-0.02790157683,0.3138522208,-0.01395078842,1,0.01913989969,0.001475254136,0.008469410632,0.4907540865,0.160252,0.003452197491,7.407559611e-05,6.861829129e-05,0.0004226307664,0.0004325789744,ok,4,1,1.408103232,1.605122208,-1.427313464,1.570023097,0.08928270822,0.01885167272,0.1250472195,-1.363565122,1.603929561,1.272101209,1.487432947,-0.006296712104,0.06436406674,-0.5693811578,1.408103895,1.601502004,-1.422598486,1.570201979,0.08480094371,0.01877884613,0.1299547604,-1.363848592,1.60325153,1.271782554,1.48843713,-0.006670941978,0.06367680606,-0.5694699804
0.18,27.074,0.0022570583,-0.07965845118,0.001318170101,-0.07978822549,0.01663784306,0.00113098621,0.01027494219,0.001864762002,2.848339052e-05,3.465331284e-05,0.6398097873,0.05364395306,0.3199048936,0.02682197653,1,0.019872089,0.002669421298,0.008467039142,0.5069551028,0.083623,0.004399621118,2.596671396e-05,1.54927722e-05,9.302774035e-05,9.781968069e-05,ok,4,1,1.408112683,1.604741893,-1.426621552,1.569991111,0.08877298499,0.01882093903,0.1255551393,-1.363606671,1.603797112,1.272163025,1.487586819,-0.006339229303,0.06430501447,-0.569444364,1.408093978,1.60099638,-1.421971226,1.570235376,0.08419523292,0.01877472588,0.1306246903,-1.36403503,1.603647977,1.272337908,1.488557483,-0.007227333776,0.06358298054,-0.5689070345
0.19,27.084,0.002381873804,-0.07963972886,0.001612231098,-0.07977619382,0.007108333134,0.001740538626,0.01083002655,0.001898662287,4.709666972e-05,4.25531503e-05,0.6349637508,-0.02597820014,0.3174818754,-0.01298910007,1,0.02035448281,0.001508989285,0.00846521274,0.5006177761,0.097518,0.004458847877,3.241633893e-05,4.301911182e-05,0.0001373525914,0.0001318388099,ok,4,1,1.408129432,1.604347033,-1.426071698,1.569971043,0.08822616894,0.01879615129,0.1261658424,-1.363647273,1.603719118,1.272219304,1.487743352,-0.006443510949,0.06423938062,-0.5693961956,1.408099656,1.600596673,-1.421466573,1.570268748,0.0836945045,0.0187812338,0.1311720202,-1.36394306,1.603152508,1.271747221,1.488677745,-0.006825984827,0.06348499558,-0.5694199391
