t,sim_time,theta_ref,s_ref,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.1,20.537,0.001256457402,-0.07980770959,0.0003379813619,-0.07990861854,-0.01535661985,0.0001745548409,0.008608915143,0.001994780718,0.0001364769401,9.799418253e-05,0.441616565,-0.005015777424,0.441616565,-0.005015777424,0,0.01523316362,0.001919544056,0.00846324682,0.6683265269,0.094284,0.006067163062,9.478585517e-05,3.017029374e-05,0.0004231233447,0.0002792468318,ok,4,1,1.407864087,1.605881935,-1.428384254,1.569779734,0.09056739769,0.01867173786,0.1238782624,-1.363306088,1.604293475,1.272415034,1.486771675,-0.006019580579,0.06490959811,-0.5694143963,1.40748291,1.600474644,-1.421700988,1.569971421,0.08451867526,0.01836646966,0.1305525721,-1.363593129,1.603833983,1.272209014,1.487596883,-0.006380465692,0.06434924827,-0.5693616549
0.11,20.547,0.001381847525,-0.07978890107,0.0003440923025,-0.0798985921,0.0007766143013,0.001165752316,0.009418886574,0.001988393797,0.0001367987772,0.0001239808099,0.3959605694,-0.01212076936,0.3959605694,-0.01212076936,0,0.01535829511,0.001806582257,0.008463105288,0.6086419167,0.122538,0.005932342823,0.0001042548285,5.322224952e-06,0.0003655795984,0.0003789497284,ok,4,1,1.40777583,1.60511476,-1.427580392,1.569823281,0.08984954924,0.01864219997,0.1246202293,-1.363375353,1.604217912,1.272403864,1.486852809,-0.006050150059,0.0648484811,-0.5694060922,1.407540697,1.600414784,-1.421589769,1.570004953,0.08435403011,0.01840550334,0.1307066484,-1.363610845,1.603688854,1.272068556,1.487717744,-0.006355886831,0.06425253651,-0.5694516185
0.12,20.557,0.001507183122,-0.07977010073,0.0004295086788,-0.07988327204,0.01161238751,0.001497848521,0.01013511358,0.001967943365,0.0001228964106,0.0001215559044,0.231266126,0.02061705291,0.231266126,0.02061705291,0,0.01360410548,0.002277199158,0.008471195764,0.3677474451,0.110668,0.005401578453,5.044919064e-05,7.154233873e-06,0.0003002847008,0.0003677255794,ok,4,1,1.407732179,1.604558466,-1.426801995,1.569841336,0.08919176831,0.01861004382,0.12530507,-1.363412763,1.604163674,1.2723624,1.486953864,-0.006073777513,0.06478501139,-0.5694093225,1.407840975,1.601977611,-1.423357119,1.570038469,0.08579679657,0.01860466727,0.1289825444,-1.363770148,1.603997774,1.272511808,1.487838547,-0.006818842564,0.06415777924,-0.5689939687
0.13,20.567,0.001632459242,-0.07975130931,0.000412913788,-0.07987296654,0.01154323443,0.001613952371,0.01056128476,0.002006030964,0.0001875136957,0.0001522711585,0.72857517,0.2378394306,0.72857517,0.2378394306,0,0.02148991231,0.005573622422,0.008438045622,1.108822674,0.154135,0.003177927236,0.0001163557582,1.622532292e-05,0.0005260662048,0.000434726965,ok,4,1,1.407728843,1.604212417,-1.42649749,1.569876829,0.08874040957,0.01860789045,0.1258046172,-1.363483014,1.604153165,1.272411342,1.487040953,-0.006122919112,0.06471438337,-0.5693843142,1.406876639,1.595221084,-1.415487836,1.570071969,0.07899432774,0.01800352971,0.1368928439,-1.364599318,1.606511394,1.275779066,1.487959287,-0.009643690224,0.06408915566,-0.5658833329
0.14,20.577,0.001757670942,-0.07973252756,0.002172706165,-0.07986576269,0.01420591214,0.002280857044,0.01178221571,0.002371942361,0.0005279534298,0.0004100729024,0.6344085336,0.2315043807,0.6344085336,0.2315043807,0,0.02129834372,0.005844508072,0.008439187899,0.9935866933,0.117101,0.010098454,0.0002681493207,0.000141766704,0.001590196184,0.001292067743,ok,4,1,1.407732464,1.603391064,-1.424654752,1.569641269,0.0877098758,0.01844991015,0.1267943899,-1.363526698,1.604259608,1.272988502,1.487354892,-0.006591499042,0.0647314972,-0.5690765433,1.406977112,1.595434323,-1.415693563,1.570105451,0.07910131824,0.01806798512,0.1367302569,-1.364708807,1.606665808,1.276022363,1.488079959,-0.009939972743,0.06399564737,-0.5656126841
0.15,20.587,0.001882813277,-0.07971375621,0.001662950861,-0.07984370629,-0.06981710102,0.002217023675,0.01288963791,0.002772451901,0.0002050216945,0.0001720518745,0.08812073618,0.3922282755,0.08812073618,0.3922282755,0,0.01421144895,0.008655876034,0.00846963247,0.564406413,0.17761,0.008572085949,0.0001082183102,7.125877268e-05,0.0005677850595,0.0005459446161,ok,4,1,1.407647467,1.602537066,-1.423875208,1.569691781,0.08661889833,0.01841552437,0.1281581709,-1.363658216,1.604507402,1.273211952,1.487459475,-0.007016999542,0.06462732473,-0.5686006081,1.407986646,1.601596925,-1.422791391,1.570138913,0.08510455473,0.01869900742,0.1296765054,-1.365420948,1.608802566,1.278804561,1.488200559,-0.01235987304,0.06392574097,-0.562956544
0.16,20.597,0.002007881308,-0.079694996,0.0005332111151,-0.07984807133,-0.07247800101,0.002461335134,0.01312029996,0.00348230032,0.0004091752247,0.0002572310734,0.354470551,0.02044009976,0.354470551,0.02044009976,0,0.01843735823,0.003788901817,0.008451925295,0.584781338,0.104359,0.005015779303,0.0003934592955,0.0001012301937,0.001333307622,0.0006635539619,ok,4,1,1.407570151,1.602086335,-1.424429339,1.569934987,0.08623302487,0.01850889717,0.1286960088,-1.364012404,1.605064161,1.273899686,1.487362681,-0.007501688105,0.06449407373,-0.5679723233,1.407506302,1.597998203,-1.418581525,1.570172355,0.08143391502,0.01839846684,0.1339287412,-1.364311168,1.604948116,1.273913233,1.488321081,-0.008361173891,0.0637850373,-0.5675103533
0.17,20.607,0.002132870097,-0.07967624769,0.0006198624054,-0.0797842444,0.04393434799,0.003061705332,0.01377723954,0.003558744618,0.0002390312381,0.0002846451127,0.1448889226,0.1549258232,0.1448889226,0.1549258232,0,0.01595057338,0.005882631966,0.008462915468,0.2520305974,0.142612,0.004976596621,4.841971897e-05,0.0001820164155,0.0005271152851,0.0009612105727,ok,4,1,1.407556758,1.601506738,-1.423190452,1.570099735,0.08587378966,0.01854096403,0.1289521445,-1.363938164,1.605217185,1.273577708,1.487410265,-0.007728415986,0.06437066294,-0.5676666726,1.407907557,1.600191885,-1.421080802,1.570205775,0.08350277114,0.01865254075,0.1314724505,-1.364853329,1.606525051,1.275978321,1.488441521,-0.01018118713,0.06370851367,-0.5655279089
0.18,20.617,0.002257774709,-0.07965751199,0.001033303991,-0.07978519859,0.02410768329,0.001023367957,0.01403644215,0.003834332197,0.0001348659228,0.0001250163664,0.2399105877,0.07876975834,0.2399105877,0.07876975834,0,0.01763510096,0.005015878572,0.008456112724,0.3871781481,0.153985,0.002230754359,3.597962378e-05,5.689886602e-05,0.0003362349992,0.0003746529646,ok,4,1,1.407627277,1.601429701,-1.42295586,1.57005415,0.08553521195,0.01852132225,0.1293130348,-1.364071157,1.605407525,1.274050242,1.487510133,-0.007950432769,0.06428592199,-0.5675661217,1.407759927,1.598786357,-1.419411154,1.570239172,0.08200552555,0.01856322661,0.1331848163,-1.364692583,1.605791845,1.275084762,1.488561874,-0.009526212546,0.06360473418,-0.5663256727
0.19,20.627,0.002382590213,-0.07963878967,0.001329806939,-0.07976536028,0.01971493331,0.00118631622,0.01444858836,0.003975597335,6.746104834e-05,6.573798914e-05,0.5885263681,0.1910639554,0.5885263681,0.1910639554,0,0.02327648388,0.006841556667,0.008433123834,0.9130849833,0.216366,0.003464135785,3.227636641e-05,1.845121569e-05,0.0001583894573,0.0002057695818,ok,4,1,1.407659269,1.601161651,-1.422451058,1.570041873,0.08515288486,0.01851483303,0.1297206805,-1.364141972,1.605395884,1.274208394,1.487684884,-0.008168875994,0.06422820359,-0.5674199114,1.407076976,1.593969988,-1.41378692,1.570272544,0.07712619629,0.0181637877,0.1388515303,-1.36517124,1.607160011,1.276882008,1.488682136,-0.01112226137,0.0635261895,-0.5645945806
0.2,20.637,0.002507311682,-0.07962008145,0.002528446536,-0.07975491402,0.007167782554,0.001847377587,0.01543254978,0.004276941291,0.0004039186696,0.0002885452632,0.4802711606,-0.06046578288,0.4802711606,-0.06046578288,0,0.02263661719,0.003369954547,0.008436063351,0.7608473269,0.245166,0.008219147097,0.0002505728919,5.955290773e-05,0.001236481517,0.000889178165,ok,4,1,1.407666985,1.600507589,-1.421121725,1.569890114,0.08428856903,0.01840880431,0.1306323832,-1.364190852,1.605480347,1.27462693,1.487949462,-0.008568266975,0.06420036395,-0.5671455822,1.407238496,1.594569292,-1.414440612,1.57030589,0.07761664786,0.01826251808,0.1382408565,-1.364391557,1.604393565,1.27338525,1.488802301,-0.008289077437,0.06339787234,-0.5678393891
0.21,20.647,0.002631934193,-0.07960138807,0.001685216712,-0.07971759433,-0.02280069747,0.001284634311,0.01628498417,0.00419649292,6.326677649e-05,0.0001115209313,0.25986287,0.09864567965,0.25986287,0.09864567965,0,0.02018292722,0.005676178115,0.008446368557,0.4099956897,0.136876,0.006523292033,5.037456597e-05,0.0001300380761,0.0001023232155,0.0003864985563,ok,4,1,1.407596123,1.599772536,-1.420642015,1.570054839,0.08347763439,0.0184307041,0.1317175645,-1.364196778,1.605439481,1.274223407,1.48797951,-0.008596380178,0.0640420087,-0.5670671133,1.407646536,1.596731747,-1.416906925,1.570339209,0.07965721658,0.01850189039,0.1358175214,-1.364984407,1.606137088,1.275662796,1.488922365,-0.01028694001,0.0633241877,-0.5656566955
0.22,20.657,0.002756452825,-0.07958271028,0.001606985912,-0.079727616,-0.01655726536,0.001081480714,0.0167779257,0.004378754888,0.0001665162002,0.0001090914742,0.165815562,0.1773185879,0.165815562,0.1773185879,0,0.01926515913,0.007038533707,0.008450670328,0.2790209129,0.16745,0.003593352702,0.0001961809831,2.057809013e-05,0.000518093824,0.00031455608,ok,4,1,1.407550795,1.59919478,-1.420500277,1.570136489,0.0829399931,0.01844758856,0.1323316897,-1.364387477,1.605529468,1.274561573,1.488000878,-0.008705441568,0.0639375566,-0.5670238306,1.40784103,1.59757137,-1.417837836,1.570372499,0.08038463393,0.0186264776,0.1349292245,-1.3653531,1.607144087,1.276997081,1.489042324,-0.0114956507,0.06324184014,-0.564360445
0.23,20.667,0.002880862662,-0.0795640488,0.001620703566,-0.07971776266,0.0004040588711,0.002590059768,0.01710935114,0.004686516704,0.0001648430315,0.0001550251203,0.1992051303,0.2613819242,0.1992051303,0.2613819242,0,0.0200974281,0.008607245567,0.008447486366,0.3887580658,0.167195,0.002506224071,0.0001639789337,9.323204986e-05,0.0004395538192,0.000425003768,ok,4,1,1.407536033,1.598909739,-1.420133064,1.570164094,0.0825991053,0.01846973575,0.1325863009,-1.364561818,1.605645718,1.274931533,1.488125399,-0.008989426626,0.06388256362,-0.5667457426,1.40780533,1.596901085,-1.417020194,1.570405759,0.07961685442,0.01860749721,0.1357897061,-1.365770811,1.608312477,1.278537607,1.489162172,-0.01287700728,0.06316186188,-0.5628700777
0.24,20.677,0.003005158794,-0.07954540438,0.0020785967,-0.07969665844,0.01239355251,0.003157184795,0.01746174741,0.005128583475,4.00999373e-05,7.633620352e-05,0.3738526702,0.247063309,0.3738526702,0.247063309,0,0.02306953747,0.008834533109,0.008435801877,0.5917006738,0.160039,0.003441445385,9.96892643e-06,8.85259115e-05,6.817337966e-05,0.0001438759856,ok,4,1,1.407580973,1.598759964,-1.419568411,1.5701329,0.08225066205,0.01846458274,0.1328715878,-1.364679605,1.605920636,1.275363958,1.488305891,-0.009435561899,0.06383554429,-0.5662885014,1.407474532,1.59438757,-1.414064238,1.570438989,0.07702092812,0.0184271276,0.1387885945,-1.365868805,1.60843401,1.27873743,1.489281904,-0.01313657996,0.06307006338,-0.5626399842
0.25,20.687,0.003129336312,-0.07952677775,0.002595792779,-0.07966383235,0.006136809273,0.002604311134,0.01809186147,0.005553491335,0.0001735876594,0.0001169562143,0.6452201605,0.3378968537,0.6452201605,0.3378968537,0,0.02777016388,0.01062194414,0.008417561431,1.0022704,0.138933,0.005296518085,0.0001430936208,1.588148715e-05,0.000552637382,0.0003588816336,ok,4,1,1.407627775,1.598407479,-1.418727807,1.570112052,0.08168213555,0.01844334182,0.1334920764,-1.364742957,1.606231045,1.275690724,1.488482447,-0.009912276614,0.06375918743,-0.5658146843,1.406898771,1.590386716,-1.409380996,1.570472194,0.0729487178,0.01812349948,0.1435147804,-1.366330862,1.60977642,1.280495436,1.489401517,-0.01470123507,0.06300075523,-0.5609433545
0.26,20.697,0.003253390315,-0.07950816965,0.003473097753,-0.07964690779,-0.02611279342,0.00195608992,0.01917440129,0.006128474078,0.000453760072,0.0003574688574,0.4149292409,-0.03200801834,0.4149292409,-0.03200801834,0,0.02539833991,0.005648353803,0.008427153143,0.6564077153,0.101127,0.008905628081,0.0002392404728,4.172001337e-05,0.001328069472,0.001099570952,ok,4,1,1.40762798,1.597618616,-1.417490211,1.570024884,0.08072070588,0.01836732938,0.1346091523,-1.364861852,1.606586213,1.276308537,1.488687482,-0.01053567507,0.06368820821,-0.5652782927,1.407303336,1.592476451,-1.411765391,1.570505348,0.07491911627,0.01834770854,0.1411732295,-1.365201949,1.605832857,1.275499115,1.489521005,-0.01061016855,0.06284775408,-0.565601749
0.27,20.707,0.003377315905,-0.07948958081,0.001841760258,-0.07960208985,-0.04182010024,0.001330144597,0.01994561153,0.006131774682,0.0002909078136,0.0002985561013,0.3414894938,0.1757599264,0.3414894938,0.1757599264,0,0.02506795394,0.008768173578,0.0084288475,0.5234947487,0.18217,0.005536435645,8.213081445e-05,0.000209799144,0.0008098192986,0.0009998686047,ok,4,1,1.407499351,1.596851175,-1.417270382,1.570340714,0.07998982856,0.01845073085,0.1356367938,-1.364934497,1.606667409,1.275858932,1.488597299,-0.01060821813,0.06347182781,-0.5650964396,1.40742203,1.592808722,-1.412109562,1.570538476,0.07514533178,0.01842233733,0.1408717413,-1.365987934,1.60821354,1.27858981,1.489640363,-0.01328898854,0.06278459277,-0.5626530184
0.28,20.717,0.003501108191,-0.07947101197,0.002279540136,-0.07961627296,0.001888960395,0.0007682217105,0.02057779902,0.006446870348,0.0001555773188,0.0001163899203,0.2372041941,0.06465385109,0.2372041941,0.06465385109,0,0.02413586194,0.007416678115,0.008432970563,0.3720987685,0.1481,0.004623763925,0.0001542453545,3.9649647e-05,0.0004648922202,0.0003671078613,ok,4,1,1.407456937,1.596203014,-1.416723725,1.570362749,0.07937304131,0.01843318384,0.1362479774,-1.365154945,1.606843665,1.276462857,1.488653637,-0.01081841683,0.06339315674,-0.5649956874,1.407622887,1.593659332,-1.413054806,1.570571567,0.07588540015,0.01854281581,0.1399689651,-1.365711978,1.607101506,1.27721222,1.489759587,-0.01222752744,0.0626756164,-0.56390711
0.29,20.727,0.003624762284,-0.07945246386,0.002029392572,-0.07959212627,0.0178837708,0.001969493869,0.02103076867,0.006572692665,0.0002611203424,0.0002401092447,0.1279003471,0.1583156735,0.1279003471,0.1583156735,0,0.02294927388,0.008947427767,0.008438124821,0.25914711,0.153884,0.003308502488,0.0001164375523,8.421428723e-06,0.0007082044562,0.0007552372661,ok,4,1,1.407439948,1.595852265,-1.416246183,1.570423743,0.07894703899,0.01845971934,0.1366604626,-1.365250302,1.606852554,1.276513421,1.488781535,-0.01098572816,0.06332023286,-0.564818718,1.40785842,1.59472912,-1.414254168,1.570604621,0.07684266423,0.01868254896,0.1388118769,-1.366119277,1.608241784,1.278714775,1.489878673,-0.01357719926,0.06259804053,-0.5624516494
0.3,20.737,0.003748273303,-0.0794339372,0.002389578244,-0.07958315946,0.02517205639,0.002206419038,0.02126734065,0.006842764626,0.0001733718623,0.000149340175,0.6260334849,0.2336151749,0.6260334849,0.2336151749,0,0.03065784292,0.01034699225,0.008408369924,0.9627145686,0.150816,0.002334506901,9.906872138e-05,3.893430807e-05,0.0004825450475,0.0004200752895,ok,4,1,1.407488883,1.59571952,-1.41599736,1.570413676,0.07865865511,0.01846679985,0.1369163203,-1.365360467,1.607010589,1.27684603,1.488929869,-0.01124269236,0.06325979117,-0.5645908098,1.406857331,1.588140007,-1.406566482,1.570637666,0.07020438419,0.01816501825,0.146543466,-1.36649086,1.609281487,1.280085589,1.489997615,-0.01481734257,0.06252416339,-0.5611190922
0.31,20.747,0.003871636372,-0.07941543274,0.003918447014,-0.07955645181,0.02715420243,0.002542376926,0.02230679414,0.007216775351,0.000447346902,0.0003223324236,0.5854600668,0.1928806454,0.5854600668,0.1928806454,0,0.03108869514,0.01010998503,0.008407079992,0.9253384012,0.162541,0.008794320258,0.0002943513181,6.793444318e-05,0.001384858497,0.0009896265275,ok,4,1,1.407525538,1.595094196,-1.41433717,1.570230637,0.07779925634,0.01836043156,0.1377491457,-1.365378172,1.607170461,1.27729423,1.489241966,-0.01174662977,0.0632424556,-0.5642094626,1.4068696,1.587816722,-1.406150215,1.570670644,0.06978126454,0.0181837918,0.1470025298,-1.366480153,1.609040166,1.27982194,1.490116408,-0.01468797638,0.06242647055,-0.5613255049
0.32,20.757,0.003994846621,-0.07939695121,0.003690140793,-0.07953378153,-0.04788912742,0.001582455686,0.02331389427,0.007554349722,0.0002295571401,0.0001743241171,-0.1286764592,0.4510388672,-0.1286764592,0.4510388672,0,0.02138374739,0.01431993273,0.008445553205,0.6515400238,0.211749,0.007988663842,0.000142192035,3.325465831e-05,0.0006547854615,0.0005423216073,ok,4,1,1.407483976,1.594317783,-1.413617549,1.570272145,0.07682168885,0.01834707029,0.1390138659,-1.365474554,1.607378484,1.277484247,1.489359629,-0.01213991404,0.06311835489,-0.5638126888,1.408291795,1.596219873,-1.415859403,1.570703543,0.07801113664,0.01894877828,0.1373333461,-1.367508493,1.612280721,1.283999648,1.490235049,-0.01828011841,0.06239468879,-0.5573492915
0.33,20.767,0.004117899187,-0.07937849332,0.002365948349,-0.07955705269,-0.09469515839,0.00237866177,0.02317898434,0.008366338932,0.0005056537713,0.0003219652983,0.1612289399,-0.03070733137,0.1612289399,-0.03070733137,0,0.02559741844,0.007905728962,0.00842887302,0.307985721,0.201715,0.005816704723,0.0004812714029,0.000144487816,0.001650122345,0.0008344728006,ok,4,1,1.407434407,1.594143741,-1.414744313,1.570510467,0.07667904019,0.01847838983,0.1392837419,-1.365921009,1.607950852,1.27839786,1.489259729,-0.01266722802,0.06298297484,-0.5631659962,1.407789026,1.592636963,-1.411664456,1.570736432,0.07435864305,0.0186770651,0.1415723605,-1.366051126,1.607203864,1.277566269,1.490353532,-0.01298090122,0.06220870908,-0.5633659299
0.34,20.777,0.00424078921,-0.07936005982,0.002305424299,-0.07948317903,0.06560663105,0.003568158369,0.02350086076,0.00836561002,0.0003359010919,0.0004171581726,0.1321519613,-0.2446207553,0.1321519613,-0.2446207553,0,0.02548314018,0.00469629869,0.008429693986,0.3542247743,0.101435,0.002451845595,8.999760486e-05,0.0002074733675,0.000788267736,0.001412221078,ok,4,1,1.407443536,1.593806723,-1.413756842,1.57072789,0.07668079388,0.01854480818,0.1391205149,-1.365807823,1.608015888,1.277874248,1.489297425,-0.01288613479,0.06284011185,-0.5628347881,1.407877543,1.592782579,-1.411792461,1.570769278,0.07440065253,0.0187347317,0.1414866723,-1.365331096,1.604639913,1.274332,1.490471853,-0.01036373117,0.06208140979,-0.5663682906
