t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.1,16.273,0,-0.07599621722,0,0.04,5,-0.0001939728702,-0.07817919273,-0.006895742616,0.0282204466,0.005712676816,0.0009704620568,7.117666575e-05,0.0001100125193,0.2747204304,0.09860289842,0.2747204304,0.09860289842,0,0.009833483272,0.002449505533,0.008507942475,1.14677348,0.13841,0.009702769738,2.465333877e-05,0.0001104952636,0.0002363547167,0.0003017000074,ok,4,1,1.413319287,1.607972023,-1.430538169,1.577502073,0.09383387703,0.01623236203,0.1207910059,-1.36822884,1.603135443,1.270581145,1.494302664,-0.005737866634,0.06263102154,-0.5710869761,1.420655033,1.604035486,-1.425747723,1.588606024,0.09113435252,0.01248975527,0.1250550151,-1.376373393,1.603242831,1.270965983,1.505770399,-0.008342434763,0.05893463927,-0.5708039885
0.11,16.283,0,-0.07559621722,0,0.04,5,-0.0001081440265,-0.07788919109,-0.008586486931,0.02926385008,0.006196316849,0.001150000804,4.144668035e-05,5.910118528e-05,0.2161124647,0.1770412028,0.2161124647,0.1770412028,0,0.009438003819,0.003805618846,0.008511983544,1.189626595,0.092507,0.01013130089,1.332527398e-05,2.388456376e-05,0.0001557393469,0.0001016022951,ok,4,1,1.414174715,1.607494453,-1.430014171,1.578789472,0.09350406459,0.0157768632,0.1213166214,-1.369209644,1.603129495,1.270736149,1.495639098,-0.006024960773,0.06219280998,-0.5711202585,1.421913897,1.604325807,-1.426027339,1.590326395,0.09159217968,0.01200358515,0.124679284,-1.377897385,1.604170037,1.272131657,1.507535364,-0.00968525821,0.05836520592,-0.5696693874
0.12,16.293,0,-0.07519621722,0,0.04,6,-3.101149199e-05,-0.07758728816,-0.01424613503,0.03135961699,0.006583324066,0.001453031494,5.137016503e-05,6.524665654e-05,0.1843608022,0.1827833205,0.1843608022,0.1827833205,0,0.009348736099,0.004194781302,0.008514655491,1.223536916,0.04816,0.01047775024,5.229883895e-05,6.024202062e-05,0.0001352861851,0.00013970107,ok,4,1,1.415071833,1.607084545,-1.429596332,1.580109095,0.09324965647,0.01531413261,0.1217353086,-1.370254261,1.603170401,1.270995202,1.497057614,-0.006430568323,0.0617595589,-0.5709966844,1.42313266,1.604351093,-1.426004391,1.592040314,0.09179175514,0.01149521658,0.1246104433,-1.379184706,1.604332722,1.272329946,1.509292983,-0.01022081386,0.05779248722,-0.5694555987
0.13,16.303,0,-0.07479621722,0,0.04,6,-7.937381411e-05,-0.07725827801,-0.01196099784,0.03299232731,0.006918438015,0.001770412727,4.449987564e-05,6.090736096e-05,0.1966676414,0.1035353169,0.1966676414,0.1035353169,0,0.009868452636,0.00332344248,0.008514607773,1.253731222,0.039881,0.01078676672,4.574645974e-05,3.595439725e-05,0.00013469436,8.268906667e-05,ok,4,1,1.416008154,1.60674294,-1.429162615,1.581509719,0.09306510268,0.01486230351,0.1220664932,-1.371296519,1.603289205,1.27111774,1.498506216,-0.006871773811,0.06129810653,-0.5707856304,1.424272518,1.603849426,-1.425383361,1.59374802,0.09147953288,0.01093691831,0.1251513505,-1.380163322,1.603493477,1.271267691,1.511043529,-0.009703358887,0.05721133743,-0.570447996
0.14,16.313,0,-0.07439621722,0,0.04,7,-0.0001880743836,-0.07691057458,-0.004059393867,0.03336070364,0.007270145513,0.001962789871,6.139247695e-05,8.168621455e-05,0.3083585203,0.1389288455,0.3083585203,0.1389288455,0,0.01189552332,0.004046722554,0.008507833499,1.283095508,0.107541,0.01108040957,5.683162805e-06,5.171114027e-05,0.0001896501183,0.0002260630384,ok,4,1,1.416977498,1.606415235,-1.428661819,1.582981021,0.09289120682,0.01441021101,0.122405653,-1.372314283,1.603380252,1.271040368,1.499963119,-0.007219548811,0.06080021757,-0.5706883741,1.425219191,1.602043774,-1.423287987,1.595455727,0.08990275573,0.01024181346,0.1272001404,-1.381530906,1.603922942,1.271799016,1.512794074,-0.01051924157,0.05664774651,-0.5699133546
0.15,16.323,0,-0.07399621722,0,0.04,7,0.0001709832767,-0.07657212937,-0.007128957216,0.03345756145,0.007796050329,0.002206160618,9.740801438e-05,5.798681723e-05,0.2851180136,0.1560805589,0.2851180136,0.1560805589,0,0.01207282053,0.004547369001,0.008509319059,1.304572896,0.049743,0.01129518346,8.065523391e-05,1.42616848e-05,0.0002681716751,0.0002105625967,ok,4,1,1.417973782,1.605974701,-1.427908323,1.584404168,0.09256539062,0.0138986306,0.1229136609,-1.373378734,1.603440817,1.271192581,1.501498891,-0.007614217623,0.06031512903,-0.5706388693,1.426402599,1.601838305,-1.423006869,1.597163433,0.08988178299,0.009714145669,0.1273985046,-1.382844704,1.604176427,1.27210785,1.51454462,-0.01114903558,0.05608191972,-0.5695905051
0.16,16.333,0,-0.07359621722,0,0.04,8,0.0001431902058,-0.07622781045,-0.02061653524,0.03440300381,0.008291468242,0.002480166879,6.652504625e-05,4.596321999e-05,0.2555019557,0.1750735193,0.2555019557,0.1750735193,0,0.01212399758,0.005106269669,0.008511367713,1.325002213,0.04547,0.01149947663,2.592861051e-05,1.782682724e-05,0.0001313863814,0.0001688300488,ok,4,1,1.418973325,1.605500992,-1.42740976,1.585891431,0.09223357795,0.01339612567,0.1234963226,-1.374497288,1.603489215,1.271334109,1.503045143,-0.008029469773,0.05981531406,-0.5705303946,1.427602153,1.601741939,-1.42284938,1.59887114,0.08996683229,0.009197900136,0.1274707043,-1.384173336,1.604477647,1.272474896,1.516295165,-0.01182761829,0.05551699415,-0.5692101759
0.17,16.343,0,-0.07319621722,0,0.04,8,4.941649799e-05,-0.07587428703,-0.02245401957,0.03533988216,0.008748279001,0.002788150987,3.879840561e-05,2.737212345e-05,0.2026756853,0.1683487296,0.2026756853,0.1683487296,0,0.01178841428,0.005313381931,0.008515141093,1.344555709,0.118563,0.01169501159,3.134565838e-05,2.174010646e-05,9.251249357e-05,6.153703431e-05,ok,4,1,1.419977953,1.605012194,-1.426940531,1.58743013,0.09194962523,0.01290247809,0.1239945837,-1.37564557,1.603587168,1.271467899,1.504600153,-0.008469233947,0.05930520631,-0.5703711759,1.428851351,1.601980158,-1.423069048,1.600578846,0.09037543768,0.008716858445,0.1271560088,-1.385415988,1.604498599,1.272490384,1.518045711,-0.0122120321,0.05494812413,-0.5691671881
0.18,16.353,0,-0.07279621722,0,0.04,9,-0.0001244202896,-0.07551102385,-0.01725594296,0.03595622457,0.00912056497,0.003090552029,5.885804874e-05,5.363340729e-05,0.1960836649,0.163229987,0.1960836649,0.163229987,0,0.01206181994,0.005539001835,0.008516198848,1.362854471,0.051158,0.01188167118,5.567200471e-05,4.614061181e-06,0.0001926794502,0.0001297588475,ok,4,1,1.421003205,1.604610326,-1.42651355,1.589007244,0.09174793625,0.01241653334,0.1243791053,-1.37680676,1.603710545,1.271562558,1.506164039,-0.008900667232,0.05878213361,-0.570213182,1.430021902,1.60169146,-1.422694599,1.602283326,0.09027493697,0.00818309954,0.1274508073,-1.386662642,1.60453495,1.2725239,1.519792584,-0.01261244682,0.05438235048,-0.5691057823
0.19,16.363,0,-0.07239621722,0,0.04,9,-0.0001438996267,-0.07514285773,-0.009547638435,0.03626761202,0.009473689803,0.003384079144,5.152364286e-05,5.149252382e-05,0.2353354394,0.1795509905,0.2353354394,0.1795509905,0,0.01300372139,0.006077344001,0.008514278492,1.376623868,0.037245,0.01202984571,2.600391406e-05,8.983401578e-06,0.0001523362614,0.0001405993651,ok,4,1,1.422058008,1.604262536,-1.426020854,1.590581609,0.09157439581,0.01191756176,0.1247186105,-1.377971096,1.603825596,1.271670954,1.507762738,-0.009333671875,0.05825934607,-0.5700797557,1.431105108,1.600824199,-1.421670057,1.603978597,0.0896182382,0.007596010499,0.1284151691,-1.387984592,1.604823098,1.2728686,1.521528977,-0.01327590232,0.05382847921,-0.5687416286
