t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,position_error_m,clearance_L_m,clearance_R_m,collision,rotation_L_rad,rotation_R_rad,margin_L_rad,margin_R_rad
0,-0.516317273239,-0.16,1.08641553721,1.64933614313,-1.59431199394,1.34894325721,0.612028202808,-0.00291655498879,-0.235650570026,-0.844848744999,1.49225651046,0.456926519401,0.879244560761,1.01632859092,0.783635471318,-0.976717269793,2.81229868784e-15,0.00811441753744,0.00567034620999,0,5.87817289124e-15,2.3876248942e-16,0,2.22044604925e-16
0.005,-0.533413149075,-0.16,1.08293622053,1.64641123451,-1.59065250293,1.35346317156,0.62390181583,-0.0075511776248,-0.243918491106,-0.836534161593,1.49475469287,0.436384177543,0.873197184142,1.04549731777,0.803825526797,-0.978525530818,2.33047687034e-16,0.00808734075719,0.00742708951588,0,3.01821944811e-16,3.57605576449e-16,0.00292490862708,0.00249818241105
0.01,-0.550510043654,-0.16,1.07934102704,1.64569787653,-1.58994852193,1.35787881811,0.638566644867,-0.0105679874548,-0.25427124372,-0.839305437843,1.5025445034,0.445424768965,0.867174363139,1.0545379092,0.811734218088,-0.969638856101,3.2752755289e-16,0.00807570712537,0.00942252193523,0,2.03960993327e-16,3.80818230672e-16,0.00363826660349,0.0102879929445
0.015,-0.567590437579,-0.16,1.07564624533,1.64689184684,-1.59173861428,1.36218502138,0.655592538933,-0.0120895828028,-0.266350817496,-0.842020785181,1.51036031887,0.454600141667,0.861184230434,1.0637132819,0.819451679214,-0.960471617421,1.55313465461e-16,0.00807712400935,0.0114273323398,0,1.88758321594e-16,4.80139369708e-16,0.00244429629898,0.0181038084171
0.02,-0.584636729107,-0.16,1.07201765923,1.64111133429,-1.58370853849,1.36637703308,0.663622614721,-0.0183647824027,-0.272063425766,-0.844629030798,1.51816885087,0.463770389181,0.855234859686,1.07310605014,0.827021209297,-0.951078849182,3.40501075846e-16,0.00803110156574,0.0134378232642,0,3.98367452759e-16,2.57394619382e-16,0.00822480884911,0.0259123404131
0.025,-0.60163125527,-0.16,1.06829066976,1.63540026078,-1.57567962943,1.37045054642,0.671651523785,-0.024532567026,-0.277876851686,-0.847126566347,1.52595858318,0.472920219559,0.849334237223,1.08271113558,0.834435082086,-0.941473763743,3.60622267053e-16,0.00798730386655,0.01545102177,0,3.62951247685e-16,4.94952814848e-16,0.0139358823526,0.0337020727221
0.03,-0.618556313115,-0.16,1.06447101019,1.6297666084,-1.56765992377,1.37440170827,0.679671229445,-0.0305845096238,-0.283782709937,-0.84951311794,1.53371940913,0.482042060527,0.843490233603,1.09251661087,0.841682917136,-0.931668288445,3.61888430622e-16,0.00794572624923,0.0174639947065,0,4.46036504398e-16,5.41767222638e-16,0.019569534739,0.0414628986731
0.035,-0.635394181054,-0.16,1.06056490534,1.62421809283,-1.55965763,1.378227129,0.687673523215,-0.0365126210971,-0.289772085845,-0.851788809035,1.54144126783,0.491128222564,0.837710575237,1.10250915738,0.848754973354,-0.921675741939,4.29315147273e-16,0.00790635358109,0.0194737982497,0,3.51357523664e-16,1.04600229512e-15,0.0251180503056,0.0491847573764
0.04,-0.65212714028,-0.16,1.05657905358,1.61876213003,-1.55168112186,1.38192388983,0.69565003135,-0.0423093859749,-0.295835560409,-0.853954146445,1.54911417289,0.50017089047,0.832002816325,1.11267407332,0.855642200802,-0.911510825999,1.15277563369e-16,0.00786916078097,0.0214774884392,0,2.08166817117e-16,2.85761140889e-16,0.0305740131013,0.0568576624363
0.045,-0.668737496239,-0.16,1.05252060572,1.61340580448,-1.54373892997,1.3854895478,0.703592223243,-0.0479677953565,-0.301963238746,-0.856010004626,1.55672824022,0.509162116268,0.826374311312,1.12299529635,0.862336288874,-0.901189602965,1.77722398948e-16,0.00783411342492,0.0234721314664,0,1.52655665886e-16,4.9728201743e-16,0.0359303386571,0.0644717297653
0.05,-0.685207600125,-0.16,1.0483971409,1.60815583943,-1.53583973151,1.38892213811,0.711491421696,-0.0534813767396,-0.308144781784,-0.857957608357,1.56427371476,0.518093813629,0.820832188128,1.13345544114,0.868829710117,-0.890729458176,2.88778057671e-16,0.00780116842658,0.0254548136247,0,3.94968765215e-16,4.62777927105e-16,0.0411803037095,0.072017204305
0.055,-0.701519870369,-0.16,1.04421663966,1.60301856955,-1.52799233816,1.39222017387,0.71933881505,-0.0588442203749,-0.314369441016,-0.859798513947,1.57174099593,0.526957753993,0.815383322451,1.14403585236,0.875115758975,-0.880149046956,3.48053147525e-16,0.00777027478192,0.0274226508407,0,1.30922788334e-16,2.91102932917e-16,0.0463175735812,0.0775951472062
0.06,-0.717656814101,-0.16,1.03998745432,1.59799991624,-1.52020568206,1.39538264325,0.727125471153,-0.0640510018194,-0.320626096064,-0.861534589097,1.57912066162,0.535745564516,0.810034313251,1.15471667323,0.881188584808,-0.869468226094,1.41526221675e-16,0.00774137436689,0.029372797712,0,3.45832690107e-16,5.36228813751e-16,0.0513362268955,0.0702154815128
0.065,-0.73360104856,-0.16,1.03571827696,1.59310536581,-1.51248880014,1.39840900403,0.73484235307,-0.0690970003952,-0.32690329479,-0.863167991572,1.58640349062,0.544448727985,0.804791459864,1.16547692927,0.887043218528,-0.858707970045,1.39470041365e-16,0.00771440277568,0.0313024559817,0,3.58143734129e-16,1.97240424043e-16,0.0562307773287,0.0629326525177
0.07,-0.749335322417,-0.16,1.03141810514,1.588339951,-1.50485081675,1.40129917551,0.742480336458,-0.0739781133016,-0.333189295617,-0.864701146828,1.59358048323,0.553058584798,0.799660740839,1.17629462682,0.892675592322,-0.847890272503,2.97968740703e-16,0.00768929018736,0.0332088823919,0,7.32768222902e-16,3.00222453187e-16,0.0609961921302,0.0557556599016
0.075,-0.764842536997,-0.16,1.02709620573,1.58370823596,-1.49730092475,1.40405352787,0.750030228457,-0.078690865173,-0.339472111727,-0.866136724766,1.60064288014,0.561566337077,0.794647794819,1.18714686501,0.898082551978,-0.837038034306,8.77708367144e-17,0.00766596224786,0.0350893958653,0,3.21593591375e-16,4.38195407844e-16,0.0656279071774,0.0486932629994
0.08,-0.780105767363,-0.16,1.02276207716,1.57921430477,-1.48984836527,1.40667286903,0.757482787944,-0.0832324129257,-0.345739556749,-0.86747761578,1.60758217918,0.569963054976,0.789757903661,1.19800996026,0.90326186144,-0.826174939063,1.35973995551e-16,0.00764434095475,0.0369413839747,0,1.42205008407e-16,2.19427091786e-16,0.0701218383675,0.0417539639559
0.085,-0.795108283247,-0.16,1.01842541036,1.57486175394,-1.48250240624,1.4091584291,0.764828746965,-0.08760054579,-0.351979291539,-0.868726906275,1.61439015021,0.578239685202,0.784995978033,1.20885958115,0.908212199359,-0.815325318172,2.22910279182e-16,0.00762434553257,0.0377648985649,0,1.11886302283e-16,5.28814738755e-16,0.0744743891931,0.0349459929197
0.09,-0.809833569793,-0.16,1.0140960487,1.57065368874,-1.47527232006,1.4115118425,0.772058833147,-0.0917936804785,-0.358178871638,-0.869887853848,1.62105884781,0.586387061754,0.780366545666,1.21967089205,0.9129331475,-0.80451400727,1.39470041365e-16,0.00760589328692,0.0377961833526,0,4.74490474613e-16,1.69399988699e-16,0.0783971782862,0.0282772953271
0.095,-0.824265348089,-0.16,1.00978394745,1.56659272351,-1.46816736035,1.41373512778,0.77916379286,-0.0958108514988,-0.364325794984,-0.870963862293,1.62758062183,0.594395918844,0.775873742448,1.23041870297,0.91742517101,-0.793766196351,2.67665077907e-16,0.00758890042661,0.0378290955137,0,5.80217678358e-16,5.85668953501e-16,0.0743362130595,0.0217555213087
